label,nodeType,order,path,price,description,link,imageLink
Beauty Parlour,ProductFamily ,1,"Inventory,Others,",,,https://drive.google.com/file/d/1_bIntsQpmwE8qX_8R241RRxweDE0s7lj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food290622/BeautyParlour.jpg
Clean Ups,ProductClass,2,"Inventory,Others,Beauty Parlour,",,,https://drive.google.com/file/d/1J4W0_Jz_X7JYUreaTj1X8yonszn9H2b7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/CleanUps.jpg
Vegeterian,ProductLine ,2,"Inventory,Others,Beauty Parlour,Clean Ups,",,,,
NonVegeterian,ProductLine ,2,"Inventory,Others,Beauty Parlour,Clean Ups,",,,,
Frout Clean Up Non Member,ProductType,3,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",700,,https://drive.google.com/file/d/1L_OFwnMibNZXfF8H31zKNg7zOLC20OiD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/FroutCleanUpNonMember.jpg
Frout Clean Up Slivers Card,ProductType,4,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",560,,https://drive.google.com/file/d/1ZZ2tZw4yxRoFaq1yGc2vz51IwFLFjPfJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/FroutCleanUpSliversCard.jpg
Frout Clean Up Gold Cards,ProductType,5,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",490,,https://drive.google.com/file/d/1erYe4fZATM5ulCemmmgO0x8LxBNzFC0J/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/FroutCleanUpGoldCards.jpg
Sara Organic Clean Up Non Member,ProductType,6,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",1200,,https://drive.google.com/file/d/12R8IQSMMpEUArz25NIZtsjAOkiB_NyDN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/SaraOrganicCleanUpNonMember.jpg
Sara Organic Clean Up Slivers Card,ProductType,7,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",960,,https://drive.google.com/file/d/1Ukv9eN86Hzt4p8lYlAO4qk6EO5w-GesJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/SaraOrganicCleanUpSliversCard.jpeg
Sara Organic Clean Up Gold Cards,ProductType,8,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",840,,https://drive.google.com/file/d/1GO1Ah-_HN9J_wHkc3sc4xzlChNWZYGYQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/SaraOrganicCleanUpGoldCards.jpeg
Whitening Clean Up Non Member,ProductType,9,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",1000,,https://drive.google.com/file/d/1ARntiwyJ-Xx3XDWApcpaT1FR9iPsrYeA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/WhiteningCleanUpNonMember.jpg
Whitening Clean Up Slivers Card,ProductType,10,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",800,,https://drive.google.com/file/d/13wfLQs-S1tazQUK_P1YSaWrNgfK5knsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/WhiteningCleanUpSliversCard.jpg
Whitening Clean Up Gold Cards,ProductType,11,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",700,,https://drive.google.com/file/d/1UX9p-XBo74GE9p4xJTxaPdKLL5b_B58W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/WhiteningCleanUpGoldCards.jpg
O3+ Skin Lightening Clean Up Non Member,ProductType,12,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",1500,,https://drive.google.com/file/d/1tBOHjHbOyyHpjb1lCiKLYKsxSwvJfv2f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/O3+SkinLighteningCleanUpNonMember.jpg
O3+ Skin Lightening Clean Up Slivers Card,ProductType,13,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",800,,https://drive.google.com/file/d/10I-lAIlulO6BBQfEN7v7l3sEsW84HHIo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/O3+SkinLighteningCleanUpSliversCard.jpg
O3+ Skin Lightening Clean Up,ProductType,14,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",700,,https://drive.google.com/file/d/1QtytufOWnF3nOtaQ1b0wiE8M7n6AGWQx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/O3+SkinLighteningCleanUp.jpg
Blueberry Detox Non Member,ProductType,15,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",900,,,
Blueberry Detox Slivers Card,ProductType,16,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",720,,,
Blueberry Detox Gold Cards,ProductType,17,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",630,,,
Anti Oxidant Non Member,ProductType,18,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",900,,https://drive.google.com/file/d/1zH3gy-Je2cf59sVoTwFOSv7sioZHeY37/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/AntiOxidantNonMember.jpg
Anti Oxidant Slivers Card,ProductType,19,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",720,,https://drive.google.com/file/d/1RApQsMXPX7DD9HbmoLbLS6cTMo7_jYV6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/AntiOxidantSliversCard.jpg
Anti Oxidant Gold Cards,ProductType,20,"Inventory,Others,Beauty Parlour,Clean Ups,Vegeterian,",630,,https://drive.google.com/file/d/1jBBURNLN-rZihQcyBdOfFEQDUMbs7w00/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/inventory010722/AntiOxidantGoldCards.jpg
