label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato 
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Starters,Vegeterian,",,,,,,
Paneer Chilli Dry,ProductType,4,"Inventory,Food,Restaurant,Starters,Vegeterian,",160,,https://drive.google.com/file/d/1BwMOrfcmYnZt2KHib5uG2oK7XhU3RoBt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilliDry.jpg,,160
Paneer Chilli Gravy,ProductType,5,"Inventory,Food,Restaurant,Starters,Vegeterian,",150,,https://drive.google.com/file/d/1meSVNe3NqxYOfhTYNfjMMZdiUfLuKCFi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilliGravy.jpg,,150
Paneer Manchurian (Dry),ProductType,6,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/1i7epRFPqWvag7hzdI8YVeQ4WgQIgwqJE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerManchurianDry.jpg,,140
Veg Manchurian Dry,ProductType,7,"Inventory,Food,Restaurant,Starters,Vegeterian,",120,,https://drive.google.com/file/d/1WUVLy-4rg52XSvwqhUfVZYomOF7VhOB2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/veg-manchurian-dry.jpg,,
Veg Manchurian Gravy,ProductType,8,"Inventory,Food,Restaurant,Starters,Vegeterian,",110,,https://drive.google.com/file/d/1wPkxuJ9K-9j-NR_MKQVMCchKSpYneBfK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurianGravy.jpg,,
Paneer 65 Dry,ProductType,9,"Inventory,Food,Restaurant,Starters,Vegeterian,",155,,https://drive.google.com/file/d/1QjvnMGrTAuPl_NlGUOZ1mTV5Hg0eHEe_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/Paneer65Dry.jpg,,155
Veg 65 Dry,ProductType,10,"Inventory,Food,Restaurant,Starters,Vegeterian,",120,,https://drive.google.com/file/d/1MlbpSCsydSVXlZpRqmYaDs17Feb7QsT0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-65-Dry.jpg,,
Veg 65 Gravy,ProductType,11,"Inventory,Food,Restaurant,Starters,Vegeterian,",110,,https://drive.google.com/file/d/1X5nLXXZL0r7m7kVPKMkxCdyQ1Rvi46US/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/Veg65Gravy.jpg,,
Soya Chilli Dry,ProductType,12,"Inventory,Food,Restaurant,Starters,Vegeterian,",100,,https://drive.google.com/file/d/1tdN-_WBHisKdmS5Bs-raPAQS-kpbft5M/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/SoyaChilliDry.jpg,,
Soya Chilli Gravy,ProductType,13,"Inventory,Food,Restaurant,Starters,Vegeterian,",90,,https://drive.google.com/file/d/1xJgFloGZh24z507Zs94_0UFyD1Olr6kE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/SoyaChilliGravy.jpg,,
Chana Chilli (Dry),ProductType,14,"Inventory,Food,Restaurant,Starters,Vegeterian,",100,,https://drive.google.com/file/d/1TvPpB9nFbliHy7LptLxLuyWjNOZfapXs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChanaChilliDry.jpeg,,
Chana Roast,ProductType,15,"Inventory,Food,Restaurant,Starters,Vegeterian,",90,,https://drive.google.com/file/d/1VwIaIOqpwZcXMFxcjxhg4ORhmIWHfk3Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChanaRoast.jpg,,90
Chilli Mushroom (Dry),ProductType,16,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/1RTkrZP5KBXnrxMge2iHMT_uN1gTCRKHB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ChilliMushroomDry.jpg,,140
Chilli Baby Corn (Dry),ProductType,17,"Inventory,Food,Restaurant,Starters,Vegeterian,",135,,,,,135
Veg Crispy,ProductType,18,"Inventory,Food,Restaurant,Starters,Vegeterian,",120,,https://drive.google.com/file/d/1eRoWy7sVeONn6q-umwbzYIj5GCmDsI26/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegCrispy.jpg,,120
Spring Roll,ProductType,19,"Inventory,Food,Restaurant,Starters,Vegeterian,",120,,https://drive.google.com/file/d/1YC42FryMY2Iv_dd9LqFaQO_j8p4CzRCu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SpringRoll.jpg,,
American Roll,ProductType,20,"Inventory,Food,Restaurant,Starters,Vegeterian,",110,,https://drive.google.com/file/d/17IBfQqN_EhbojLOZzBOpMvPhlp39aRLx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/AmericanRoll.jpg,,
Dragon Potato,ProductType,21,"Inventory,Food,Restaurant,Starters,Vegeterian,",130,,https://drive.google.com/file/d/1RsHqwywmpW_0GrCKPvQaK9y3v4h9ej7e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DragonPotato.jpg,,
Paneer Tikka (Tandoor),ProductType,22,"Inventory,Food,Restaurant,Starters,Vegeterian,",170,,https://drive.google.com/file/d/1w7-ky8H-JsPQdL9wqcS_Zah3aV4hAswz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerTikkaTandoor.jpg,,170
Paneer Takatak (Tandoor),ProductType,23,"Inventory,Food,Restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/10jxyW4Fjj2yr4qR8hhHSaQLEevunsG6g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerTakatakTandoor.jpg,,190
Hara Bhara Kebab (Tandoor),ProductType,24,"Inventory,Food,Restaurant,Starters,Vegeterian,",120,,https://drive.google.com/file/d/1GokwFA_twH9wBVVPNsOEsZTxlWIYg1UD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/HaraBharaKebabTandoor.jpg,,120
Veg Kebab,ProductType,25,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/191cQnQevxinZW8hva4bDKZa9jNqqIQz1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/VegKebab.jpg,,
Reshmi Kebab (Tandoor),ProductType,26,"Inventory,Food,Restaurant,Starters,Vegeterian,",150,,https://drive.google.com/file/d/1oNsoID1ihIo1fEJTGR4nWdVkBeam-lj1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ReshmiKebabTandoor.jpg,,
Aloo Tikki (Tandoor),ProductType,27,"Inventory,Food,Restaurant,Starters,Vegeterian,",99,,https://drive.google.com/file/d/1ydz-XeLebRNRfmM-jEZUjrXsbzjPf_2B/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/AlooTikkiTandoor.jpg,,
Mushroom Tikka (Tandoor),ProductType,28,"Inventory,Food,Restaurant,Starters,Vegeterian,",160,,https://drive.google.com/file/d/1O3rbkBHOtEXOf02u6nb4yzX9IOcNRMSD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/MushroomTikkaTandoor.jpg,,160
Plain Finger Chips,ProductType,29,"Inventory,Food,Restaurant,Starters,Vegeterian,",75,,https://drive.google.com/file/d/1pr3AbrLata3AZj8oSDdFRxhUDtVnl9sm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Finger-Chips.jpg,,
