label,nodeType,order,path,price,description,link,imageLink,Zomato
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1rPHaBukwlz0XWULqOVgaU6r0p5LxJaQI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegStarters.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,,
Veg Manchurian,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",120,,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg,155
Veg Chilly,ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",120,,https://drive.google.com/file/d/1uajZYs-SoWFHXgfHEpp9emy3K1lt9Hkp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegChilly.jpg,
Veg Schezwan Sauce,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",130,,,,170
Veg Garlic Sauce,ProductType,7,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",130,,https://drive.google.com/file/d/1y_ItU_fr1MJ8Oh4d4WOG3gTaM6pWiBuX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/VegGarlicSauce.jpg,170
Veg Chow Chow,ProductType,8,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,https://drive.google.com/file/d/1hNKcKyYT2B6YFCQKIGa9o-7n64-5JGS3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VegChowChow.jpg,210
Veg Sweet & Sour,ProductType,9,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,https://drive.google.com/file/d/1dB4TPYAdq8sTlaiIdvI_VUs7omctxdim/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegSweetSour.jpg,
Paneer Manchurian,ProductType,10,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",130,,https://drive.google.com/file/d/1EqHE3hvCkPqEYjP6uu4p5S3htSY97pAP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerManchurian.jpg,170
Paneer Chilly,ProductType,11,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",130,,https://drive.google.com/file/d/1kCqkt77Pxcbez6FkI0cGxMSwSl6KLsdx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilly.jpg,
Paneer Schezwan Sauce,ProductType,12,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",140,,https://drive.google.com/file/d/1Zi4epTcwG6kltT61WCU_BcxCJtfd-hq1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/PaneerSchezwanSauce.jpg,180
Mushroom Schezwan Sauce,ProductType,13,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",170,,https://drive.google.com/file/d/1dkiE5POTel6zFsAJtAOEdEQ7SDfY5pDD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/MushroomSchezwanSauce.jpg,225
Mushroom Manchurian,ProductType,14,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,https://drive.google.com/file/d/1h9mq-N1nat_cG5ELIeoeIHppq06tVhlv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomManchurian.jpg,210
