label,nodeType,order,path,price,description,link,imageLink
Cake,ProductClass,1,"Inventory,Food,Bakery,",,,https://drive.google.com/file/d/1vuRdPyxKyDLB8LYiINXoI_Ni_F1TFc3j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/BlackForestCake500gm.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Bakery,Cake,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Bakery,Cake,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Black Forest Cake 500gm,ProductUnit,3,"Inventory,Food,Bakery,Cake,Vegeterian,Black Forest Cake,",280,Ice Cake,https://drive.google.com/file/d/1EGQ2Ky4zVQrxpwAHJqpctnkyvY6y_0hA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/BlackForestCake500gm.jpg
Pineapple Cake 500gm,ProductUnit,4,"Inventory,Food,Bakery,Cake,Vegeterian,Pineapple Cake,",250,Ice Cake,https://drive.google.com/file/d/1a2vZ3XcjKjh9Tb9tvqMJwHiMrcsvt14U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/PineappleCake500gm.jpg
Butterscotch Cake 500gm,ProductUnit,5,"Inventory,Food,Bakery,Cake,Vegeterian,Butterscotch Cake,",260,Ice Cake,https://drive.google.com/file/d/1sao6A5t_7ghFB4ECPkSEJNmepl3Y4CHB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ButterscotchCake500gm.png
Strawberry Cake 500gm,ProductUnit,6,"Inventory,Food,Bakery,Cake,Vegeterian,Strawberry Cake,",250,Ice Cake,https://drive.google.com/file/d/1P2wGvSOAkp_FwHyYhlvuoVUegul_MIpc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/StrawberryCake500gm.jpg
Orange Cake 500gm,ProductUnit,7,"Inventory,Food,Bakery,Cake,Vegeterian,Orange Cake,",250,Ice Cake,,
Choco Vanila Cake 500gm,ProductUnit,8,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Vanila Cake,",250,Ice Cake,,
Mango Cake 500gm,ProductUnit,9,"Inventory,Food,Bakery,Cake,Vegeterian,Mango Cake,",250,Ice Cake,https://drive.google.com/file/d/1pvjsWqRhNvdeMvTPkwzRGuVj3-vrpdc4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/MangoCake500gm.jpg
Mango Heart Cake 500gm,ProductUnit,10,"Inventory,Food,Bakery,Cake,Vegeterian,Mango Heart Cake,",250,Ice Cake,,
Oreo Choco Cake,ProductType ,11,"Inventory,Food,Bakery,Cake,Vegeterian,",280,Ice Cake,,
Vanila Cake 500gm,ProductUnit,12,"Inventory,Food,Bakery,Cake,Vegeterian,Vanila Cake,",150,Sada Cake,,
Orange Cake 500gm,ProductUnit,13,"Inventory,Food,Bakery,Cake,Vegeterian,Orange Cake,",150,Sada Cake,,
Strawberry Cake 500gm,ProductUnit,14,"Inventory,Food,Bakery,Cake,Vegeterian,Strawberry Cake,",150,Sada Cake,https://drive.google.com/file/d/1P2wGvSOAkp_FwHyYhlvuoVUegul_MIpc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/StrawberryCake500gm.jpg
Chocolate Cake 500gm,ProductUnit,15,"Inventory,Food,Bakery,Cake,Vegeterian,Chocolate Cake,",150,Sada Cake,https://drive.google.com/file/d/1Da9jfr2mqCAsQcVgk8pM33YMjBJ6lAJ5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocolateCake500gm.png
Dark Chocolate Cake 500gm,ProductUnit,16,"Inventory,Food,Bakery,Cake,Vegeterian,Dark Chocolate Cake,",160,Sada Cake,https://drive.google.com/file/d/1DFfclGfsPFCDFR2dmAyzS3zPK_o9xp5N/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/DarkChocolateCake500gm.png
Pineapple Cake 500gm,ProductUnit,17,"Inventory,Food,Bakery,Cake,Vegeterian,Pineapple Cake,",150,Sada Cake,https://drive.google.com/file/d/1a2vZ3XcjKjh9Tb9tvqMJwHiMrcsvt14U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/PineappleCake500gm.jpg
Guitar Cake 1Kg,ProductUnit,18,"Inventory,Food,Bakery,Cake,Vegeterian,Guitar Cake,",350,Sada Cake,https://drive.google.com/file/d/10OMBZhVlNAbmGJq_w1HBDP5bW2fSjxGf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/GuitarCake1Kg.jpg
Butterfly Cake 1Kg,ProductUnit,19,"Inventory,Food,Bakery,Cake,Vegeterian,Butterfly Cake,",350,Sada Cake,https://drive.google.com/file/d/12pWnoZEXuOHppmaeiDplpfax_qTbAlD7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ButterflyCake1Kg.png
Mickey Mouse Cake 1Kg,ProductUnit,20,"Inventory,Food,Bakery,Cake,Vegeterian,Mickey Mouse Cake,",350,Sada Cake,https://drive.google.com/file/d/1alXfXdqH3efDVSNflgXeu600uiEWG7Jx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/MickeyMouseCake1Kg.jpg
Pastry,ProductClass,1,"Inventory,Food,Bakery,",,,https://drive.google.com/file/d/1NxN0YubPhhfxHLn7xtA_L67FrmrfQ335/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery122021/PastriesBrownies.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Bakery,Pastry,",,,,
