label,nodeType,order,path,price,description,link,imageLink
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Veg Manchow Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",150,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg
Veg Sweet Corn Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",150,,https://drive.google.com/file/d/1DhM9DUO6aGaH98qUCjU6GjG9Q4SeSyg2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSweetCornSoup.jpg
Veg Hot & Sour Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",150,,https://drive.google.com/file/d/1qflrDTDVAq-39jgZpWoH-2bsNNsmbSOQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegHotSourSoup.jpg
Veg Shanghai Pepper Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",150,,https://drive.google.com/file/d/1bPCNMyLWRq9SswW0ssx7jlYb5mZycGSf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/VegShanghaiPepperSoup.jpg
Lemon Coriander Soup,ProductType,8,"Inventory,Food,Restaurant,Soups,Vegeterian,",150,,https://drive.google.com/file/d/1KHrpqE-RlZ6MBo-hCx_BdLBH0GRVxmyt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LemonCorianderSoup.jpg
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1rPHaBukwlz0XWULqOVgaU6r0p5LxJaQI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegStarters.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Veg Crispy,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",270,,https://drive.google.com/file/d/1eRoWy7sVeONn6q-umwbzYIj5GCmDsI26/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegCrispy.jpg
Schezwan Finger,ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",270,,https://drive.google.com/file/d/1fZycupdztAdwrlRQzCQPFTSAJ6q3zx8l/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/SchezwanFinger.jpg
Crispy Chilly,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",270,,https://drive.google.com/file/d/1S6TN6m7ANoxW8k33Y6THhaEPon-iX-04/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/CrispyChilly.jpg
Manchurian,ProductType,7,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",270,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurianDry22.jpg
Spring Roll,ProductType,8,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",270,,https://drive.google.com/file/d/1YC42FryMY2Iv_dd9LqFaQO_j8p4CzRCu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SpringRoll.jpg
Babycorn Mushroom Chilly Paper,ProductType,9,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",270,,https://drive.google.com/file/d/14gZGMmZVqVjkIne_pKIWWBkO-j8ngCXP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/BabycornMushroomChillyPaper.jpg
Gilhari Kabab,ProductType,10,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",225,,,
Hara Bhara Kabab,ProductType,11,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",225,,https://drive.google.com/file/d/1-SKLAYksJKTVuep7TVzhlh5LDLgDgn_g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/HaraBharaKabab.jpg
Aloo Methi,ProductType,12,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",225,,https://drive.google.com/file/d/15gA8gILheCEWu0zd0MSuWKyF2SBWY0-h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMethi.jpg
Cheese Gailu Kabab,ProductType,13,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",225,,,
Singri Tandoori,ProductType,14,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",225,,,
Tandoori Mushroom,ProductType,15,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",225,,https://drive.google.com/file/d/1uyGM20V3i21AG8Hl07SeAv9h8qnggNlu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/TandooriMushroom.jpg
Tandoori Aloo,ProductType,16,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",225,,https://drive.google.com/file/d/1bifA3ppfyWLeBS39kRXYBePekE6iUKBI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/TandooriAloo.jpg
Veg Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/13d5-RS6K5zB_it7T2SUJig2uLnC9EIKd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/VegEntree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Oriental Paneer,ProductType,4,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1s0U2n73vGusdKUyCB3mk7EFrJlems6lN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/OrientalPaneer.jpg
Manchurian Paneer,ProductType,5,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1mu9K5AKassd6f42lNMqZnoMsyYr5Uuns/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/ManchurianPaneer.jpg
Chilly Paneer,ProductType,6,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1s190zTCQwpxBBJbLP7iZvPQAKgjnWk94/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChillyPaneer.jpg
Satay Paneer,ProductType,7,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1ldn61oBCzEmj598M-hG4Lvn0WdigVdAy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/SatayPaneer.jpg
Salt & Pepper Paneer,ProductType,8,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1RVUpkcOyGHyItC1Q_c1v3k359jTNEO02/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/SaltPepperPaneer.jpg
Mix Vegetable,ProductType,9,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",270,,https://drive.google.com/file/d/1bCPEivgIo2NPhuhhL3nT0TDbp6-pm8Px/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixVegetable.jpg
Black Bean,ProductType,10,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",270,,https://drive.google.com/file/d/14uE3il_YuZVMVXAYjpqqBcDnxQzD4Q-K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/BlackBean.jpg
Schezwan,ProductType,11,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",270,,https://drive.google.com/file/d/1_PVkefkHv0B38gexS91mX6Z-hvgS--ii/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/Schezwan.jpg
Ginger Garlic,ProductType,12,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",270,,,
Koliwada Paneer,ProductType,13,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1yKESKxqFqBKwCCP9oRUhX5uPtTBNu0tC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/KoliwadaPaneer.jpg
Pakoda Paneer,ProductType,14,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1YOiDLxvQDUafps3IQrhIam_IR3J3PUKk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/PakodaPaneer.jpg
Kofta Bara Banki,ProductType,15,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",250,,https://drive.google.com/file/d/1wHB8s9qvMbGOXmkdHOS3Z-KgUsGd8cHH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/KoftaBaraBanki.jpg
Aloo Palak,ProductType,16,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",250,,https://drive.google.com/file/d/1QCdqn4vqczWuJfL6Hdl1PbYizCzuTvk_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooPalak.jpg
Aloo Gobi,ProductType,17,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",250,,https://drive.google.com/file/d/1Uuw5SMoYhoRvHYS3NhDOTKkhMNUrcQyW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooGobi.jpg
Milly Julli,ProductType,18,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",250,,https://drive.google.com/file/d/1HN4ZS-n-IzwjbS1_-9C0HzVw85riWXb0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/MillyJulli.jpg
Punchavati,ProductType,19,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",250,,,
Sitara,ProductType,20,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",250,,,
Kheema Masala,ProductType,21,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",250,,https://drive.google.com/file/d/1NjiBFEV3uqjzgF4rvyE7GAMBDiztRUv0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/kheemamasala.jpg
Paneer Bhuna Masala,ProductType,22,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",360,,https://drive.google.com/file/d/1XFSIe_33CqbLC7IBJNOvmlL4K5RUyx1H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBhunaMasala.jpg
Palak Paneer,ProductType,23,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",360,,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg
Pasanda Paneer,ProductType,24,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",360,,https://drive.google.com/file/d/13mhztoJXYNHKT-hGmlMU0c5yI6RBo1_0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/PasandaPaneer.jpg
Paneer Tikka Masala,ProductType,25,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",360,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg
Paneer Dhaba,ProductType,26,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",360,,https://drive.google.com/file/d/1E45qtHdiujTtyCENFYCkUhUSzgBIcPdU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/PaneerDhaba.jpg
Dal Makhani,ProductType,27,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",220,,https://drive.google.com/file/d/1bx4zFB3n5TKpwLaxvoc2JGDgMQI_4sWj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMakhani.jpg
Dal Kolhapuri,ProductType,28,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",150,,https://drive.google.com/file/d/1xrOq7mnzkFDeljYtoKkbDC4HMKFbZsJH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKolhapuri.jpg
Dal Tadka,ProductType,29,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",150,,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg
Shole Paneer Tikka,ProductType,30,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/11gco06hcWwbN08pAHhDFo41RZBgYVgqs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/SholePaneerTikka.jpg
