label,nodeType,order,path,price,description,link,imageLink,Zomato,,,,,,,,
Lassi,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1z2BJrtvZR9kkdK-COuqLNCQlIbTJNxnX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Lassi.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Lassi,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Lassi,",,,,,,,,,,,,,
Pista Mastani Lassi,ProductType,4,"Inventory,Food,Restaurant,Lassi,Vegeterian,",120,,https://drive.google.com/file/d/17YtDBRHHYmz8doAFS99vw0Tp9arn1-JI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/PistaMastaniLassi.jpg,120,,,,,,,,
Mango Mastani Lassi,ProductType,5,"Inventory,Food,Restaurant,Lassi,Vegeterian,",100,,https://drive.google.com/file/d/1AzS4_BFBZzO6ai_pJ9hQkX_y3dqRTRD0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/MangoMastaniLassi.jpg,100,,,,,,,,
Badam Mastani,ProductType,6,"Inventory,Food,Restaurant,Lassi,Vegeterian,",150,,https://drive.google.com/file/d/1pIJOt47zHrtrNf0lMyFAhd594s4QoDI8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BadamMastani.png,150,,,,,,,,
Vanilla Ice Cream Lassi,ProductType,7,"Inventory,Food,Restaurant,Lassi,Vegeterian,",75,,https://drive.google.com/file/d/1gmklsgbCUrl7Ss_RJw0sdEel6q9pGXVR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/VanillaIceCreamLassi.jpg,75,,,,,,,,
Rose Milk Lassi,ProductType,8,"Inventory,Food,Restaurant,Lassi,Vegeterian,",60,,https://drive.google.com/file/d/1nt-7TViq3ok8elX4s-3oIMs4X8QwCnuL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/RoseMilkLassi.jpg,60,,,,,,,,
Mixed Fruit Ice Cream juice,ProductType,9,"Inventory,Food,Restaurant,Lassi,Vegeterian,",65,,,,65,,,,,,,,
Kesar Lassi,ProductType,10,"Inventory,Food,Restaurant,Lassi,Vegeterian,",80,,https://drive.google.com/file/d/1rGND5pvO8aliTzgOjvEkfulBGp-q2FBu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/KesarLassi.jpg,80,,,,,,,,
Dry Fruit Mixed juice,ProductType,11,"Inventory,Food,Restaurant,Lassi,Vegeterian,",85,,https://drive.google.com/file/d/18yFkZoaFkbOZxKGzUaO-XcvcG-fFoyjW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/DryFruitMixedjuice.jpg,85,,,,,,,,
Dry Fruit Lassi,ProductType,12,"Inventory,Food,Restaurant,Lassi,Vegeterian,",100,,https://drive.google.com/file/d/1nDqopy0K6rm8RMo-39vvkRm5ypzxctit/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/DryFruitLassi.jpg,100,,,,,,,,
Ice Cream Lassi,ProductType,13,"Inventory,Food,Restaurant,Lassi,Vegeterian,",80,,https://drive.google.com/file/d/1lOLExyPwUwBjI2bjl2c128u3p9l0pE1S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/IceCreamLassi.jpg,80,,,,,,,,
Gulkand Lassi,ProductType,14,"Inventory,Food,Restaurant,Lassi,Vegeterian,",65,,https://drive.google.com/file/d/1mv1Bftz7-eN7eGm0XUL3UfEzE0fcRRJz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/GulkandLassi.jpg,65,,,,,,,,
Mango Lassi,ProductType,15,"Inventory,Food,Restaurant,Lassi,Vegeterian,",65,,https://drive.google.com/file/d/1RkvHqFFspNgXQ54LhM0OPgafaOn-kCox/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MangoLassi.jpg,65,,,,,,,,
Pista Lassi,ProductType,16,"Inventory,Food,Restaurant,Lassi,Vegeterian,",65,,https://drive.google.com/file/d/1urXzxxcdRQc4ghyXeSFTRIUoeEHeXjrq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/PistaLassi.jpg,65,,,,,,,,
Lassi,ProductType,17,"Inventory,Food,Restaurant,Lassi,Vegeterian,",60,,https://drive.google.com/file/d/1z2BJrtvZR9kkdK-COuqLNCQlIbTJNxnX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Lassi.jpg,60,,,,,,,,
Pineapple juice,ProductType,18,"Inventory,Food,Restaurant,Lassi,Vegeterian,",50,,https://drive.google.com/file/d/1ZEbR-NEdaJrVFOlCKFWiOWfhZr80EI-t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Pineapple-juice.jpg,50,,,,,,,,
Apple Lassi,ProductType,19,"Inventory,Food,Restaurant,Lassi,Vegeterian,",60,,https://drive.google.com/file/d/1ZaalJ1_mdrdp4r7c2xdzUmLYoP5eqJuK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/AppleLassi.jpeg,60,,,,,,,,
Papad,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/16hT2z2acPZOT8kC3lLy6aGyloDfdTzJO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Papad.jpg,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Papad,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Papad,",,,,,,,,,,,,,
Fried Papad,ProductType,4,"Inventory,Food,Restaurant,Papad,Vegeterian,",20,,https://drive.google.com/file/d/1_cipNx32xuCqWgNbl-QrhQvLC9UDOwAP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FriedPapad.jpg,20,,,,,,,,
Masala Papad,ProductType,5,"Inventory,Food,Restaurant,Papad,Vegeterian,",30,,https://drive.google.com/file/d/1ypAnHqCtC52zDbEKyPOq7b5i9Uwj2c_r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MasalaPapad.jpg,30,,,,,,,,
Masala Pav,ProductLine,6,"Inventory,Food,Restaurant,Papad,Vegeterian,",,,https://drive.google.com/file/d/1hlPAKukVuC00dFC-zteog7nNORmSUdEt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaPav.jpg,,,,,,,,,
Plain Masala Pav,ProductType,7,"Inventory,Food,Restaurant,Vegeterian,",65,,https://drive.google.com/file/d/19w6iWcvGdCOgUuaiJfGudvvEuyqb3fwC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/PlainMasalaPav.jpg,65,,,,,,,,
Pavbhaji Party,ProductClass,1,"Inventory,Food,Restaurant,",,,,,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pavbhaji Party,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Pavbhaji Party,",,,,,,,,,,,,,
Sada bhaji 500gm,ProductType,4,"Inventory,Food,Restaurant,Pavbhaji Party,Vegeterian,",180,,https://drive.google.com/file/d/1USsj-HijM8YZ7BtTeLW_huBcRIYqrOLG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/Sadabhaji500gm.jpg,180,,,,,,,,
Jain bhaji 500gm,ProductType,5,"Inventory,Food,Restaurant,Pavbhaji Party,Vegeterian,",220,,https://drive.google.com/file/d/17hUfSyF8M1N28AW7t9CwAeqfJ4nyPR_3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/Jainbhaji500gm.jpg,220,,,,,,,,
Cheese bhaji 500gm,ProductType,6,"Inventory,Food,Restaurant,Pavbhaji Party,Vegeterian,",260,,https://drive.google.com/file/d/1FuWI2o43EffGalLHETVVgvnRsUgsZXnI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/Cheesebhaji500gm.jpg,260,,,,,,,,
Paneer bhaji 500gm,ProductType,7,"Inventory,Food,Restaurant,Pavbhaji Party,Vegeterian,",260,,https://drive.google.com/file/d/1SPjrW97DURfigPwjhLHzg-CJcB3_XTYr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/Paneerbhaji500gm.jpg,260,,,,,,,,
Kacche Pav 12pcs,ProductType,8,"Inventory,Food,Restaurant,Pavbhaji Party,Vegeterian,",35,,https://drive.google.com/file/d/1-DDCJ0tJO04baAsgVSB9h9Yok4UDsJ6V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/KacchePav12pcs.jpg,35,,,,,,,,
Shadi Bhaji 500gm,ProductType,9,"Inventory,Food,Restaurant,Pavbhaji Party,Vegeterian,",160,,,,160,,,,,,,,
Butter Bhaji 500gm,ProductType,10,"Inventory,Food,Restaurant,Pavbhaji Party,Vegeterian,",180,,https://drive.google.com/file/d/1iFWspuB4zqW-gOzJeLKH6nWDK8OpUQHD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/ButterBhaji500gm.jpg,180,,,,,,,,
