label,nodeType,order,path,price,description,link,imageLink,zomato
Kabab,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1GnMPhOmDtuQHQ0wFNm4bwY1W_jQDDoif/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Kabab.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Kabab,",,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Kabab,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Chicken Tandoor,ProductType,3,"Inventory,Food,Restaurant,Kabab,NonVegeterian,",260,,https://drive.google.com/file/d/1U-soo9p63ukGir9Hu7tarA1nK945ysD_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ChickenTandoor.jpg,
Chicken Tandoor Full,ProductUnit,4,"Inventory,Food,Restaurant,Kabab,NonVegeterian,Chicken Tandoor,",260,,https://drive.google.com/file/d/1tBOx2YCVi228HDcYABhfRF_dYHCzLGs6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ChickenTandoorFull.jpg,
Chicken Tandoor Half,ProductUnit,5,"Inventory,Food,Restaurant,Kabab,NonVegeterian,Chicken Tandoor,",150,,https://drive.google.com/file/d/1Hyg0OdlzWc9QU53gpbbPKMAg-5iR24Bt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/ChickenTandoorBoiler.jpg,
Chicken Schezwan Tandoor,ProductType,6,"Inventory,Food,Restaurant,Kabab,NonVegeterian,",310,,https://drive.google.com/file/d/1Y32tNFgXFhJ_jQpYrhlraVB9OasscCdN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/ChickenSchezwanTandoor.jpg,
Chicken Schezwan Tandoor Full,ProductUnit,7,"Inventory,Food,Restaurant,Kabab,NonVegeterian,Chicken Schezwan Tandoor,",310,,https://drive.google.com/file/d/1J5Hj26RJA9iNAkHNMfM507XfW9-TnEGD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/ChickenSchezwanTandoorFull.jpg,
Chicken Schezwan Tandoor Half,ProductUnit,8,"Inventory,Food,Restaurant,Kabab,NonVegeterian,Chicken Schezwan Tandoor,",170,,https://drive.google.com/file/d/1pDPHvyraUps8K_0XkE9HZZ7lrlimNESz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/ChickenSchezwanTandoorHalf.jpg,200
Chicken Afghani Tandoor,ProductType,9,"Inventory,Food,Restaurant,Kabab,NonVegeterian,",310,,https://drive.google.com/file/d/152lsrxtJLaVKKAXwIBKD8Ozo72jV9X_o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenAfghaniTandoor.jpg,
Chicken Afghani Tandoor Full,ProductUnit,10,"Inventory,Food,Restaurant,Kabab,NonVegeterian,Chicken Afghani Tandoor,",310,,https://drive.google.com/file/d/1xnqd_Z8MiVCKDS42zoVSlrvj6TLhW0jp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/ChickenAfghaniTandoorFull.jpg,
Chicken Afghani Tandoor Half,ProductUnit,11,"Inventory,Food,Restaurant,Kabab,NonVegeterian,Chicken Afghani Tandoor,",170,,https://drive.google.com/file/d/1BREdnhuFTOj6JFXxat9iKk4Aj6GfAGax/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/ChickenAfghaniTandoorHalf.jpg,
Chicken Tikka,ProductType,12,"Inventory,Food,Restaurant,Kabab,NonVegeterian,",160,,https://drive.google.com/file/d/1jQaGGC76Aoq-iZGYlpkm9jvyTxErR0Aj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTikka.jpg,190
