label,nodeType,order,path,price,description,link,imageLink
Punjabi,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1-eeuVpggxR3Ol6od8ETDQ2qllLfUvHs6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/aprilimages/Punjabi.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Punjabi,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Punjabi,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Aloo Gobi,ProductType,4,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",150,,https://drive.google.com/file/d/1Uuw5SMoYhoRvHYS3NhDOTKkhMNUrcQyW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooGobi.jpg
Dum Aloo,ProductType,5,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",150,,https://drive.google.com/file/d/1V-hGDvpgOZi7F5evfIoNc_wuykHbEJDR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DumAloo.jpg
Chana Masala,ProductType,6,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",170,,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg
Aloo Matar,ProductType,7,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",170,,https://drive.google.com/file/d/1RPW48BzzhnUcWMeSLM0JLisb-P-VDNi9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMatar.jpg
Mix Vegetable,ProductType,8,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",170,,https://drive.google.com/file/d/1bCPEivgIo2NPhuhhL3nT0TDbp6-pm8Px/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixVegetable.jpg
Veg Kolhapuri,ProductType,9,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",200,,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg
Paneer Mutter,ProductType,10,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",200,,https://drive.google.com/file/d/16-YuLKQTtV-87TY7tLqWc-c_AkAvoTUN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMutter.jpg
Paneer Kurma,ProductType,11,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",200,,https://drive.google.com/file/d/1ue1CcCgXslCLV11mZc87vJ6CGuIPTzO6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKurma.jpg
Spl. Veg Kadai,ProductType,12,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",220,,https://drive.google.com/file/d/1lBZlp3JEO5W_OpGtlGeM9rMpNCRiyxmQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/Spl.VegKadai.jpg
Spl. Veg Handi Small,ProductType,13,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",250,,https://drive.google.com/file/d/1uNrGyOnXm3gzEOg7pcp8pd0B-HfXg1jo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/Spl.VegHandiSmall.jpg
Spl. Veg Hyderabadi,ProductType,14,"Inventory,Food,Restaurant,Punjabi,Vegeterian,",250,,,
