label,nodeType,order,path,price,description,ingredients,link,imageLink,Swiggy,Zomato
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Kachori,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,"  flour,  water,  moong dal,  cumin powder.,  coriander powder,  dry mango powder,etc",https://drive.google.com/file/d/1JBgQ5i-9Fkw4ZmnUszDkkS5R4G5fEYbg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Kachori.jpg,20,20
Samosa,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,"  all purpose flour,  cumin seeds,  crushed ginger,  raisins, boiled potato, boiled potato,  red chilli powder,  kasoori methi leaves,  carom seeds,  water,  refined oil,  coriander seeds,  green chilli,  cashews,  cumin powder,  garam masala powder,salt ,  coriander leaves,  ghee, handful raw peanuts.",https://drive.google.com/file/d/1zJbmh03GPlbT8l450-yeyeoWPWXaA2WJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Samosa.jpg,20,20
Moong Bhaji,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,"  moong dal,  water, or  green chilies,  ginger, ,  black peppercorns,  coriander seeds,  water,salt ,oil   ,",https://drive.google.com/file/d/1g9BlxMN4IPNyi71wNS0C04i7n-Sxr93A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/MoongBhaji.jpg,,
Khamang,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,,https://drive.google.com/file/d/1cJ_urb0qtZW2p1ru2kbDBo_oWZCtH_X7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/Khamang.jpg,29,
Dahi Kachori,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,"all purpose flour, to melted ghee, grated ginger,  urad dal, chopped green chillies, tea spoon coriander powder,  red chilli powder, p hing, tea spoon garam masala, tea spoon cumin seeds, tea spoon amchur powder, Salt, table spoon besan,As per need Curd,  Saunth, Chopped onion, Chopped tomatoes.",https://drive.google.com/file/d/1lftcyV8_Jn50Mb10yQqg8-8KcN87Thou/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/DahiKachori.jpg,37,37
Cheese Kachori,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,"Refined flour     ,Oil     ,Salt    ,Carom seeds   ,Baking soda    ,Paneer    ,Mozzarella cheese   ,Capsicum   ,Green coriander   to  ,Mango powder   , Red chilly powder   ,Green chilly  ,Ginger   ,Salt   .",https://drive.google.com/file/d/1EZuSpRgxgskLU-MfATxVhNlBHHFzX0kn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseKachori.jpg,37,37
Ragda,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",55,,"  dried white peas,  turmeric powder ,  red chili powder,  oil,,  water ,salt .",https://drive.google.com/file/d/1-q1zB4vt58wiAcZl88FuBn2YHnSfs-3k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/Ragda.jpg,79,76
Ragda Single,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",35,,"  dried white peas,  turmeric powder ,  red chili powder,  oil,,  water ,salt .",https://drive.google.com/file/d/1S-3TJGd0CDhywLfhjPQB8nYChbcq-uZB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/RagdaSingle.jpg,,
Dahi Ragda,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,"Potatoes  ,Salt  ,Sorghum flour   ,Oil   ,Finely chopped onion  ,Finely chopped green chilli  ,White Chickpeas  ,Green Peas   ,Finely chopped onions   ,Cumin seeds  ,Vegetable oil  ,Salt ,Red chilli powder,Amchur powder  ,Water  ,Turmeric powder a p,Yogurt  ,Tomato sauce  .",https://drive.google.com/file/d/1i5d3avCcBUOhiRAszDyex-HQn70N_4my/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/DahiRagda.jpg,89,96
Dahi Ragda Single,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,"Potatoes  ,Salt  ,Sorghum flour   ,Oil   ,Finely chopped onion  ,Finely chopped green chilli  ,White Chickpeas  ,Green Peas   ,Finely chopped onions   ,Cumin seeds  ,Vegetable oil  ,Salt ,Red chilli powder,Amchur powder  ,Water  ,Turmeric powder a p,Yogurt  ,Tomato sauce  .",,,,
Cheese Ragda,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,,https://drive.google.com/file/d/1PTkOZwuVoWs_cFqp5ChDfdD9r1qP5kZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseRagda.jpg,89,96
Cheese Ragda Single,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,,,,,
Paneer Ragda,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,"  dried white peas,  turmeric powder,  red chili powder,  oil, hing,  water,salt ,Paneer.",,,89,96
Paneer Ragda Single,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,"  dried white peas,  turmeric powder,  red chili powder,  oil, hing,  water,salt ,Paneer.",,,,
Mayonise Ragda,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,,,,,96
Mayonise Ragda Single,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,,,,,
Cheese Bhel,ProductType,20,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,,https://drive.google.com/file/d/1tbPkl3rqd5aDHo6J3_dvSg7COi8Pvucb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseBhel.jpg,59,76
Bhel,ProductType,21,"Inventory,Food,Restaurant,Snacks,Vegeterian,",35,,"  murmura, onion, potato,  mixture,  tomato,  chaat masala,  kashmiri red chilli powder,  lemon juice etc.",https://drive.google.com/file/d/1ifsuZmYM-sxTt_rj3Y2DZ5uV3IzFncWt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Bhel.jpg,49,54
Dessert,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Dessert,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Dessert,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Gulab Jamun,ProductType,4,"Inventory,Food,Restaurant,Dessert,Vegeterian,",20,,"  sugar,  water,  milk,  cardamom seeds,  saffron,  cardamom powder,   khoya, grated,  baking soda,  maida,  milk.",https://drive.google.com/file/d/1TbtnkGTLMpu0NDPKRVb7_KyhTDD652nr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/GulabJamun.jpg,34,34
