label,nodeType,order,path,price,ingredients,link,imageLink,description
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Chicken Pakoda,ProductType,4,"Inventory,Food,Restaurant,Snacks,Non Vegeterian,",100,"  Boneless Chicken breast ,Garlic Paste,Ginger Paste, Turmeric Powder,  Kashmiri Red Chilli Powder,Roasted Cumin Powder,  Garam Masala Powder, Green Chilies ,  Coriander Leaves , Onion, Egg White,  Chickpea Flour,  Rice Flour,Juice of One lemon,Salt to taste,Oil to deep fry.",https://drive.google.com/file/d/1MBVf5Xw3U8eGIhl0HsdSpL4JOt7ZW5Le/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenPakoda.jpg,
Chicken Liver Fry,ProductType,5,"Inventory,Food,Restaurant,Snacks,Non Vegeterian,",100,"  chicken liver,  coriander powder, medium onion,  garlic paste, large tomato,  vegetable oil,  tomato ketchup,  cumin powder,  garam masala powder,  ginger paste, green chilli, stalks coriander leaves,  soy sauce.",https://drive.google.com/file/d/1HWa1OH9rApx-AzPApPWEhU9eywLeBdGq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLiverFry.jpg,
Chicken Leg Piece,ProductType,6,"Inventory,Food,Restaurant,Snacks,Non Vegeterian,",50,"chicken Leg , chili powder,chopped garlic, chopped green chile peppers,salt,etc",https://drive.google.com/file/d/1ODdpZhyNV57PXbgk6pBg5Q8D-M37-6jZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLegPiece.jpg,
Chicken Lollipop,ProductType,7,"Inventory,Food,Restaurant,Snacks,Non Vegeterian,",100," chicken  ,  salt,  chili powder,  chopped garlic,  finely chopped green chilli  peppers,  cornstarch,etc",https://drive.google.com/file/d/1RkkCr_yex_M9CTZzbKIEWbdCEr0AKLJ6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLollipop.jpg,
Boil Egg 1 Piece,ProductType,8,"Inventory,Food,Restaurant,Snacks,Non Vegeterian,",10,,https://drive.google.com/file/d/1QqiBwClu6YqqdEv-AYMhz68BvPPKa7Kn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BoilEgg1Piece.jpg,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Chicken Biryani,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,",60,"  chopped chicken,  boiled basmati rice,  garam masala powder,  ghee,  water,  beaten yoghurt ,  ginger paste,  garlic paste,salt as required,  coriander leaves,7  red chilli powder,Etc",https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryani.jpg,
