label,nodeType,order,path,ingredients,price,link,imageLink,description
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Chicken Curry,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,","Chicken,coriander powder, onions thinly sliced, tsp Garlic paste,salt as required, tbsp ghee, cup water, tbsp ghee, cup Yoghurt, tsp Ginger Paste, tsp red chilli powder,
 Tomatoes finely chopped, tsp Garam masala powder, tsp turmeric,etc.",120,https://drive.google.com/file/d/1dU5-tSB4k1PcuEGJMCv4sWBNDgUrp2y5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenCurry.jpg,
Mutton Curry,ProductType,5,"Inventory,Food,Restaurant,Entree,NonVegeterian,","  mutton, tbsp coriander powder, onions thinly sliced, tsp Garlic paste,salt as required, tbsp ghee, cup water, tbsp ghee, cup Yoghurt, tsp Ginger Paste, tsp red chilli powder,
 Tomatoes finely chopped, tsp Garam masala powder, tsp turmeric,etc.",170,https://drive.google.com/file/d/1CP3wcgWMWMVL_sPTGa280Id7ztTSw8-C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonCurry.jpg,
Chicken Pakoda,ProductType,6,"Inventory,Food,Restaurant,Entree,NonVegeterian,","  Boneless Chicken breast, tsp Garlic Paste, tsp Ginger Paste, tsp Turmeric Powder, tsp Kashmiri Red Chilli Powder, tsp Roasted Cumin Powder, tsp Garam Masala Powder, Green Chilies,8- Curry Leaves , Egg White, tbsp Chickpea Flour, tbsp Rice Flour,Salt to taste,Oil to deep fry.",120,https://drive.google.com/file/d/1MBVf5Xw3U8eGIhl0HsdSpL4JOt7ZW5Le/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenPakoda.jpg,
Chicken Leg Piece,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterian,",,60,https://drive.google.com/file/d/1ODdpZhyNV57PXbgk6pBg5Q8D-M37-6jZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLegPiece.jpg,
Chicken Lollipop,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterian,"," chicken Pcs , teaspoon salt,chili powder, teaspoon chopped garli, teaspoon finely chopped green chile peppers, tablespoons cornstarch,etc",120,https://drive.google.com/file/d/1RkkCr_yex_M9CTZzbKIEWbdCEr0AKLJ6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLollipop.jpg,
Boil Egg 1 Piece,ProductType,9,"Inventory,Food,Restaurant,Entree,NonVegeterian,",,10,https://drive.google.com/file/d/1QqiBwClu6YqqdEv-AYMhz68BvPPKa7Kn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BoilEgg1Piece.jpg,
Chicken Petha,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterian,",,120,,,
Chicken Kaleji,ProductType,11,"Inventory,Food,Restaurant,Entree,NonVegeterian,","Chicken Liver Kaleji, ml Olive Oil, Onions, Tomatoes, tsp Garlic Paste, tsp Cumin Powder, tsp Salt, tsp Coriander Powder, tsp Garam Masala, tsp Turmeric Powder Haldi, tsp Chilli Powder, tsp Kashmiri Chilli,Coriander, ml Water.",120,https://drive.google.com/file/d/1TcEsaRldN0kUwzjGzDoezFl9UCYfG5Q2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food030822/ChickenKaleji.jpg,
Anda Curry,ProductType,12,"Inventory,Food,Restaurant,Entree,NonVegeterian,","- Hard Boiled Eggs, tablespoon Oil, Large Onions Roughly Chopped, Large Tomato Roughly Chopped,"" Ginger Piece Finely Chopped, teaspoon Coriander Seeds,Water as needed,Salt as needed,etc",80,https://drive.google.com/file/d/1BCryV9DFuzGTHFf0DaHehExwimD3aw2Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaCurry.jpg,
Boiled Bhurji 1 PLate,ProductType,13,"Inventory,Food,Restaurant,Entree,NonVegeterian,","-large hard-boiled eggs, tablespons vegetable oil, tablespon butter, cup chopped onions, teaspoons finely chopped green chilies, teaspon finely chopped ginger, teaspoon finely chopped garlic, cup finely chopped tomatoes, teaspoon salt, teaspoon coriander powder, teaspoon turmeric powder, teaspoon pav bhaji masala, teaspoon Kashmiri red chili powder, tablespoons chopped cilantro,",70,https://drive.google.com/file/d/1xRYxpFwgCHhvk5VU81ruUetI7KURDPlp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food030822/BoiledBhurji1PLate.jpg,
Boiled Egg Fry 1 Piece,ProductType,14,"Inventory,Food,Restaurant,Entree,NonVegeterian,",,15,https://drive.google.com/file/d/1DYJd8Gcc0ZqlWnMrSkE0PYkNoz_VTiKR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food030822/BoiledEggFry1Piece.jpg,
