label,nodeType,order,path,price,ingredients,link,imageLink,description
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Idli Chatney,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",35,"  coconut,  roasted  dal,few coriander leaves,few mint leaves,  ginger, clove garlic,, chilli, ball tamarind,  salt,  water,  urad dal, dried red chilli,few curry leaves.",https://drive.google.com/file/d/15zW9tT46GLwQAHd9b2RHAPIDrqS4847n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/IdliChatney.jpg,
Masala Idli,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,"Idli batter - , - onions,  - grated carrot,  - green peas , - green chillies, chopped,  piece ginger grated,  - red chilli powder,  - turmeric powder,  - peanuts ,  - grated fresh coconut,a sprig - curry leaves,  - mustard seeds,  - cumin seeds,  - channa dal,salt to taste,  - ghee,oil - .",https://drive.google.com/file/d/1YtZbisH0DJkfYglNuk3ExnAoQXBPsiUN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MasalaIdli.jpg,
Sheera,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",35,"  ghee, cashew  kaju ,  raisins, rava    suji, water, sugar.",https://drive.google.com/file/d/1t3rhL9TIVK5bGfVTlUXlxsqMfVJ5oiwU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheera.jpg,
Upma,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",35,"  soojisemolinarava,  jeera, oil,  mustard seeds,  split urad dal,  split chana dal,- cashew-nuts,  ginger, green chilies , stalks curry leaves,.  water,salt to taste,",https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg,
Masala Dosa,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,"  rice,  black  Dhuli Uradsplit and husked,  fenugreek seeds,  salt,Oil for cooking dosas,  potatoes peeled and cubed, boiled,   onions, sliced, green chillies , finely chopped,  oil,  mustard seeds,- Curry leaves,  salt,  turmeric, powdered,  water.",https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg,
Kanda Cut Dosa,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,"  unroasted rava sooji or semolina,  Rice Flour, all purpose flour or whole wheat flour, green chili finely chopped, medium onion,  ginger ,water or buttermilk ,9 to  black peppercorns , chopped coriander leaves,salt ,  mustard seeds,  cumin seeds, to  curry leaves – chopped,  oil.",https://drive.google.com/file/d/1w0wVd9UcuyGmN9D1mUaXB14jW3yMGDsp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/KandaCutDosa.jpg,
Butter Cut Dosa,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,"  parboiled rice,  urad dhal,  puffed rice,  maida,  butter, pes baking soda,salt to taste.",https://drive.google.com/file/d/1WmU3kguG2zQEkvKQuGDnkNIu8l40X1WV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterCutDosa.jpg.crdownload.jpg,
Paneer Masala Dosa,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",65,"  Paneer, Green Bell Pepper, Onion , Green Chillies, Tomato,  Turmeric powder,  Cumin powder,  Red Chilli powder,  Sambar Powder,Salt , to taste,Mint Leaves Pudina, Herb Butter,  Ragi Dosa Battter,Ghee , or oil for making dosa.",https://drive.google.com/file/d/1SXrMAWGUHEd9KWGlLBT5eS8iEB9rIufT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasalaDosa.jpg,
Mahesur Dosa,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",65,,,,
Dahivada,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,"""Urad daal  ,Mung daal  ,Dahi  ,Namak - swaad , ,Puddina chatni  ,oil  """,https://drive.google.com/file/d/1GgES1S5FPG0fDvn1d2SwSfHwcES00Tqn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dahivada.jpg,
Chutney Poha,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",35,,https://drive.google.com/file/d/1exSsyPSu3dM4sklIaJFl-3SG8VIIb8lh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ChutneyPoha.jpg,
Misal Pav,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,"  oil,  ginger paste,  garlic paste,  onion, chopped,  tomato, chopped,  coconut, grated,  oil,spice paste ,  red chilli paste,  garam masala,  turmeric powder,  cumin-coriander powder,  cinnamon & clove powder,  water ,  oil,  garlic paste,  ginger paste,  hing,   steamed matki moth soaked overnight,  potato,  turmeric powder,  garam masala,  cinnamon-clove powder,  water,to taste salt,onion, chopped,Mix dry farsan,coriander, chopped,To serve with: Paav, slice of lemon.",https://drive.google.com/file/d/10zM6xFtQkYtAL4YWGywPsxiCdULwwfcN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MisalPav.jpg,
Puri Bhaji,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45," boiled,peeled,mashed potato, cumin seeds, turmeric, red chilli powder, handful coriander leaves, asafoetida,  wheat flour, vegetable oil, coriander powder, chopped green chilli, lemon juice,salt ,  water.",https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png,
Butter Pavbhaji,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,Cheese Pavbhaji,https://drive.google.com/file/d/1ArO3Cpc9vRqLZf3xrNT4GWHAXqWY7wy9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterPavBhaji.jpg,
Idli Vada,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,"  Idli batter,For aloo mixture,   potatoes boiled,  grated or crushed ginger,- cloves crushed or chopped garlic,- curry leaves, chopped green chilli,  mustard seeds, p asafoetida hing,  turmeric,leaves Chopped coriander,  salt adjust as per taste,  lemon juice,  oil,  besan,  salt adjust as per taste,  red chilli powder,  baking soda, p asafoetida hing, Water.",https://drive.google.com/file/d/1a8DjWj-9MZr-g7cInbA_G23OamZdsMzi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/IdliVada.jpeg,
Vada Sambar,ProductType,19,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,,https://drive.google.com/file/d/1qWlTcmEbLkSqU7LCBblzPUto7LP3i08I/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaSambar.jpg,
Shabu Vada,ProductType,20,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,"  sabudana,water , potatoes,  roasted peanuts, to  curry leaves,  grated ginger, green chili,  grated fresh coconut, to   lemon juice, peanut oil , to  chopped coriander leaves.",https://drive.google.com/file/d/1DNtE1jcKTF5lbVdL8YmpoojHcpPy65YY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shabu-Vada.jpg,
Shabu Usal,ProductType,21,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",45,, ,,
Kanda Uttapa,ProductType,22,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",55," onion, chilli,  ginger,few curry leaves ,  coriander,  salt,  dosa rice,  methi ,  urad dal,  puffed rice,  salt,oil for roasting.",https://drive.google.com/file/d/1wg4XHZx10KFbbYpiz3haGYE9hkJJtrvI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KandaUttapa.jpg,
Tomato Uttapa,ProductType,23,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",55,"  of idli batter,, of tomato,A few of curry leaves,-  of gingelly oil, Indian sesame oil.",https://drive.google.com/file/d/1fKiPvTkGzoC1Aijk70CkU2GKiPpgVidb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Uttapa.jpg,
Butter Masala Uttapa,ProductType,24,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",65,,https://drive.google.com/file/d/1HLRWgo1OJLyIrB21WGABk_Z8xvuvhawv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ButterMasalaUttapa.jpg,
Paneer Masala Uttapa,ProductType,25,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",65,"measuring  used     ,Dosa Batter,  Paneer ,  onion,  Tomato,  Carrot, Green chilies, Coriander leaves ,  garam masala, sprig curry leaves,oil,salt adjust to taste.",https://drive.google.com/file/d/1xeBo5C3wCa126P5jHa8pLQlyXBW6KTYx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerMasalaUttapa.jpg,
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Lassi,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,,https://drive.google.com/file/d/1z2BJrtvZR9kkdK-COuqLNCQlIbTJNxnX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Lassi.jpg,
Thaumpsup,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,,,,
7Up,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,,https://drive.google.com/file/d/17LEVj2jQbUi3CWpbsdFRqsj29lqheVYT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/7Up.jpg,
Sprite,ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,,https://drive.google.com/file/d/1J1eAU2b-sOeLxkhbjgc3tW-R5ZVC_glZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sprite.jpg,
Maza,ProductType,8,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,,https://drive.google.com/file/d/1mKTIYptCl5lWfWX6LZs4qYaE2t9UJ7KU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/Maza.jpg,
Chaha,ProductType,9,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,"    Milk,  Tea Powder,  .   Water,  Sugar.",https://drive.google.com/file/d/14xl0LxX9cwjCS9A4wmbk7W5g69qDRzhi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/Chaha.jpg,
Coffee,ProductType,10,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,"Coffee powder,Water,Milk,Sugar.",https://drive.google.com/file/d/1Euh2dH6rEeREBGnpoYhanuCocHz7zE4U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Coffee.jpg,
Elaychi Dudh,ProductType,11,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,,https://drive.google.com/file/d/10itBncAk8T4FHiTyLlQnmWdpXubK6svm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ElaychiDudh.jpg,
Black Tea,ProductType,12,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,"  water,  tea powder,  cane sugar .",https://drive.google.com/file/d/105ewB4ragW0eEl4dU9Yd8hf8Ee9W8Qug/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BlackTea.jpg,
Boost Milk,ProductType,13,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,,https://drive.google.com/file/d/15JVKHPMMKKMGiBXis8PcmIS49wwS10Nh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BoostMilk.jpg,
Chaha,ProductType,14,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,"    Milk,  Tea Powder,  .   Water,  Sugar.",https://drive.google.com/file/d/14xl0LxX9cwjCS9A4wmbk7W5g69qDRzhi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/Chaha.jpg,
Coffee,ProductType,15,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,"Coffee powder,Water,Milk,Sugar.",https://drive.google.com/file/d/1Euh2dH6rEeREBGnpoYhanuCocHz7zE4U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Coffee.jpg,
