label,nodeType,order,path,price,description,link ,imageLink,,,,,,,,,,,,,,,,
Cake,ProductClass,1,"Inventory,Food,Bakery,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/BlackForestCake500gm.jpg,,,,,,,,,,,,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Bakery,Cake,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Bakery,Cake,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,,,,,,,,,,,,,,,
Dutch Almond Chocolate Cake 1Kg,ProductUnit,3,"Inventory,Food,Bakery,Cake,Vegeterian,Dutch Almond Chocolate Cake,",,,https://drive.google.com/file/d/1nICqjyLjbujNI_9HQI7f_M5CCenLU5HN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/DutchAlmondChocolateCake1Kg.jpg,,,,,,,,,,,,,,,,
Alpine Chocolate Cake 1Kg,ProductUnit,4,"Inventory,Food,Bakery,Cake,Vegeterian,Alpine Chocolate Cake,",,,https://drive.google.com/file/d/10nNbyz3Zisb0sedFh47HoD4xWhd9wr39/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/AlpineChocolateCake1Kg.png,,,,,,,,,,,,,,,,
Dutch Heart Chocolate Cake 1Kg,ProductUnit,5,"Inventory,Food,Bakery,Cake,Vegeterian,Dutch Heart Chocolate Cake,",,,https://drive.google.com/file/d/1jc_qjGoLWNHfjYBhsEXZxZRafbIZachy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/DutchHeartChocolateCake1Kg.jpg,,,,,,,,,,,,,,,,
Rainbow Cake 1Kg,ProductUnit,6,"Inventory,Food,Bakery,Cake,Vegeterian,Rainbow Cake,",,,https://drive.google.com/file/d/16iuxfwle7V53Brkbk806o-NUoiZtS32p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RainbowCake1Kg.jpg,,,,,,,,,,,,,,,,
Black Forest Cake 1Kg,ProductUnit,7,"Inventory,Food,Bakery,Cake,Vegeterian,Black Forest Cake,",,,https://drive.google.com/file/d/1bzpe-F5GK8IxWkF_evlDPsgGj2ZmMe22/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/BlackForestCake.jpg,,,,,,,,,,,,,,,,
Choco Forest Cake 1Kg,ProductUnit,8,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Forest Cake,",,,https://drive.google.com/file/d/1hIP-RSMMsLKtsTS03AytRb4yCyUMborx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoForestCake1Kg.jpg,,,,,,,,,,,,,,,,
Butterscotch Cake 1Kg,ProductUnit,9,"Inventory,Food,Bakery,Cake,Vegeterian,Butterscotch Cake,",,,https://drive.google.com/file/d/13jWRHCN-vWVTg9bDTx9528_EjwWhecvE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ButterscotchCake1Kg.jpg,,,,,,,,,,,,,,,,
