label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato 
Veg Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2022022/VegSoups.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Soups,",,,,,,
Veg Hot & Sour Soup,ProductType,4,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",80,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegHotSourSoup.jpg,,
Veg Manchow Soup,ProductType,5,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",80,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg,120,120
Veg Lung Fung Soup,ProductType,6,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",80,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/VegLungFungSoup2.jpg,,
Veg Tum Yum Soup,ProductType,7,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",80,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/VegTumYumSoup.jpg,,
Veg Clear Soup,ProductType,8,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",80,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg,110,110
Veg Tomato Soup,ProductType,9,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",80,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegTomatoSoup.jpg,110,110
Veg Sweet Corn Soup,ProductType,10,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",100,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSweetCornSoup.jpg,140,140
Veg Royal Soup,ProductType,11,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",100,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegRoyalSoup.jpg,140,140
Veg Asian Kitchen Spl. Soup,ProductType,12,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",120,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegAsianKitchenSplSoup.jpg,,
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegStarters.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,,,
Veg Aaloo Crispy,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegAalooCrispy.jpg,200,200
Veg Chilly (Dry Gravy),ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",150,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegChillyDryGravy.jpg,,
Veg Chinese Bhel,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",120,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegChineseBhel.jpg,160,160
Veg Crispy,ProductType,7,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",150,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegCrispy.jpg,200,200
Veg Hong Kong,ProductType,8,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegHongKong.jpg,210,210
Veg Hot Garli,ProductType,9,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegHotGarli.jpg,210,210
