label,nodeType,order,path,price,description,ingredients,link,imageLink,Swiggy,Zomato
Burger,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burger,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Burger,",,,,,,,
Aloo Tikki Burger,ProductType,4,"Inventory,Food,Restaurant,Burger,Vegeterian,",29,,"1 boiled and smashed potato,2 tablespoon of green peas boiled,1 tea spoon of turmeric,1/2 cup breadcrumbs,1/2 tsp chilli powder,1 tbsp vegetable oil for frying,1/4 tsp Cumin powder,1/4 tsp of black pepper,1/4 tsp salt,1/4 tsp ginger garlic paste,
1 tbsp maida,1 tbsp corn flour,2 burger buns",https://drive.google.com/file/d/1PEIcTAasovQPy8im_wFljuWMW_T-Ioz5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooTikkiBurger.jpg,45,
Vegetable Burger,ProductType,5,"Inventory,Food,Restaurant,Burger,Vegeterian,",29,,,https://drive.google.com/file/d/1ZcQYYafTgnHYxcSZdpXzv_xwwJDCbaAF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/VegetableBurger.jpg,,
Veg Tandoori Burger,ProductType,6,"Inventory,Food,Restaurant,Burger,Vegeterian,",39,,,https://drive.google.com/file/d/1yYLFwiLvlsOBPIwZkY1k_XTP-BfI-unV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegTandooriBurger.jpg,60,
Veg Crispy Burger,ProductType,7,"Inventory,Food,Restaurant,Burger,Vegeterian,",39,,,https://drive.google.com/file/d/10Y0sDyvVXb0vTJHCWqgv20mTEpa2vNrE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegCrispyBurger.jpg,,
Extra Cheese,ProductType,8,"Inventory,Food,Restaurant,Burger,Vegeterian,",15,,,https://drive.google.com/file/d/10YVSQDdgja9L1Tbrn0rPPPuAZJbTUmcF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraCheese.jpg,,
Fries,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/15PKFi42PpHzYRDPF5fKE5IeaSx6QUMYl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Fries.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Fries,",,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Fries,",,,,,,,
Medium Fries,ProductType,4,"Inventory,Food,Restaurant,Fries,Vegeterian,",39,,"potato 2 nos,corn flour 1 tsp,Chili Powder 1 tsp,
Oil 250 ml,Salt 1/2 tsp",https://drive.google.com/file/d/1dWtNlsS_EqqGEoMz-Sp2-IaJy6M7lyld/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food240522/MediumFries.jpg,60,
Large Fries,ProductType,5,"Inventory,Food,Restaurant,Fries,Vegeterian,",69,,"potatoes 4 nos,oil for frying 2 cups,red chilli flakes 1 tsp,Salt 1 tsp",https://drive.google.com/file/d/17q_6XMiWKYuF25eCEgfst_lRNltuwkoV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/LargeFries.jpg,100,
Cheese Fries,ProductType,6,"Inventory,Food,Restaurant,Fries,Vegeterian,",59,,"1 Frozen Fries,1 Three Cheese Blend,
1 can chili beans,1 bunch green onions",https://drive.google.com/file/d/1oF0PSSp2XknuVmAEejnclTBv8qHDhs4R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CheeseFries.jpg,,
Veg Combos,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1puY5G8-J-o0-3X-PJeZm2LnVvV3Cb8g7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegCombos.png,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Combos,",,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Combos,",,,,,,,
1 Veg Burger + Medium Fries +Coke 200ml,ProductType,4,"Inventory,Food,Restaurant,Veg Combos,Vegeterian,",79,,,https://drive.google.com/file/d/1bUqz18NJlPOwirIxqxp51sW4JxSG8lGJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/1VegBurgerMediumFriesCoke200ml2.jpg,,
2 Veg Burger + Large Fries + Coke 500ml,ProductType,5,"Inventory,Food,Restaurant,Veg Combos,Vegeterian,",159,,,https://drive.google.com/file/d/1O082f5Hss-q01Gjk_enOIyKz0X2mY5o7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/2VegBurgerLargeFriesCoke500ml2.jpg,,
Chicken Crispy Burger,ProductType,4,"Inventory,Food,Restaurant,Burger,NonVegeterian,",49,,Marinade: 1 kg Chicken boneless (slices) 1 n half tsp Salt 2 tbsp Hot Chilli Sauce 1 cup Yogurt 1/2 cup Milk 1 tbsp Vinegar Coating: 1 cup All purpose flour (maida) 1 cup Cornflour 2 tsp Baking powder Little Salt 1/2 tsp White pepper (powder) 1/2 tsp Black pepper (powder) 1 tsp Paprika 1/2 tsp Cayenne pepper 1 tsp Garlic salt 1/2 tsp Marjoram 1/2 tsp Parsely 1/2 tsp Basil 1/2 tsp Rosemary,https://drive.google.com/file/d/1uyCFL8L5M2nS8j5PBHrj045DHcgznkOq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenCrispyBurger.jpg,60,
