label,nodeType,order,path,price,link,imageLink,description
Pasta,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Pasta.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pasta,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Pasta,",,,,
Cheese Pasta,ProductType,4,"Inventory,Food,Restaurant,Pasta,Vegeterian,",180,https://drive.google.com/file/d/1pggTZVZu-r3xOjbwhBNIplWYa0Q1Mtr5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheesePasta.jpg,
Red Sauce Pasta,ProductType,5,"Inventory,Food,Restaurant,Pasta,Vegeterian,",150,https://drive.google.com/file/d/1bYA7qgN13lVrwUJoglzLq0jKQlv3DPB8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Red-Sauce-Pasta.gif,
Pink Sauce Pasta,ProductType,6,"Inventory,Food,Restaurant,Pasta,Vegeterian,",160,https://drive.google.com/file/d/1g685MfbYnt_vtaDjg2KkbDMxysATwxFk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Pink-Sauce-Pasta.jpg,
Cheese Pasta with Garlic Toast,ProductType,7,"Inventory,Food,Restaurant,Pasta,Vegeterian,",210, ,,
Cheese Pasta with Garlic Cheese Toast,ProductType,8,"Inventory,Food,Restaurant,Pasta,Vegeterian,",220, ,,
Sizzlers,ProductClass,1,"Inventory,Food,Restaurant,",,https://drive.google.com/file/d/1gMl8okzWmJEbl3fiCbOve3dcr2VOn3_W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Sizzlers.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sizzlers,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sizzlers,",,,,
Veg Sizzler,ProductType,4,"Inventory,Food,Restaurant,Sizzlers,Vegeterian,",310,https://drive.google.com/file/d/12s4KO_heQ-X8UOEkBIu7D1tiHtBiNe_P/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSizzler.jpg,
Paneer Masala Sizzler,ProductType,5,"Inventory,Food,Restaurant,Sizzlers,Vegeterian,",310, ,,
Mushroom and Noodles Sizzler,ProductType,6,"Inventory,Food,Restaurant,Sizzlers,Vegeterian,",320,https://drive.google.com/file/d/1KB1CZIwQvWwzMRCo1s1877GCk-F2U9r3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomandNoodlesSizzler.jpg,
Manchurian Sizzler,ProductType,7,"Inventory,Food,Restaurant,Sizzlers,Vegeterian,",320, ,,
Sandwiches,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwiches,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sandwiches,",,,,
Veg Sandwich Cold,ProductType,4,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",70,https://drive.google.com/file/d/1XTMmRev6nfPij9yyy5ZjOjrje2bo6heq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Sandwich-Cold.jpg,
Veg and Cheese Sandwich Cold,ProductType,5,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",75, ,,
Cheese Sandwich Cold,ProductType,6,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",75,https://drive.google.com/file/d/12SSrrJWeePfwqhe-AuXzerBbf6icV8vk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseSandwichCold.jpg,
Coleslaw Sandwich Cold,ProductType,7,"Inventory,Food,Restaurant,Sandwiches,Vegeterian,",90,https://drive.google.com/file/d/16I-6Vpl6UcZhQKYKAQKFeHlIDLrCB7R1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ColeslawSandwichCold.jpg,
