label,nodeType,order,path,price,ingredients,link,imageLink,Zomato,description
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,,
Bhel,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,"2 cup murmura,½ onion,½ potato,3 tbsp mixture,2 tbsp tomato,½ tsp chaat masala,¼ tsp kashmiri red chilli powder,1 tsp lemon juice etc.",https://drive.google.com/file/d/1ifsuZmYM-sxTt_rj3Y2DZ5uV3IzFncWt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Bhel.jpg,35,
Kachori,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,"2 cups flour,½ cup water,½ cup moong dal,½ teaspoon cumin powder.,1 teaspoon coriander powder,1 teaspoon dry mango powder,etc",https://drive.google.com/file/d/1JBgQ5i-9Fkw4ZmnUszDkkS5R4G5fEYbg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Kachori.jpg,35,
Panipuri,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,"Water: 4-5 cups,Mint leaves: 1/4 cup,Green chili: 2,Ginger: 1/2-inch piece,Amchoor powder: 1/2 tsp,Chaat masala: 1/2 tsp,Cumin powder: 1/4 tsp,Black salt: a pinch,Boondi: for garnishing,Boiled potato: 1,Boiled black gram: 1/4 cup,Coriander leaves: 1 tsp (chopped),Salt to taste,Puri 10-15.",https://drive.google.com/file/d/1IrpQZM017KHYCpzPK0sinEjqtxJg8PxB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Panipuri.jpg,30,
Ragda Kachori,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1_gGmQBtkGCrVMrYMkvKIf4_iJtHVhzUt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Ragda-Kachori.jpg,35,
Kachori Bhel,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1RoXxGE8pNpQgcw7zQfUbljsXHTG1105Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KachoriBhel.jpg,45,
Shevpuri,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,"Chaat Puri,chopped Potatoes,Tomato,Onion,Khajur Imli ki Chutney,Green Chutney,Chaat Masala,Nylon Sev,etc",https://drive.google.com/file/d/1HGo4KrFA4ekyzZPHR0u9mWx4wFC0OiCJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevpuri.jpg,30,
Suki Bhel,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,,https://drive.google.com/file/d/1m53BEKzEWByQAhsHqA3n_qXtGwqQyaf3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Suki-Bhel.jpg,,
Suki Panipuri,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,,,,
Dabeli,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30," Indian bun,spicy and sweet chutney,pomegranate,onions and sev,etc",https://drive.google.com/file/d/1ez_eS6pQ_O7svbNLhw87e3bCJ7OFHIMG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dabeli.jpg,40,
Butter Dabeli,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30," Indian bun,spicy and sweet chutney,pomegranate,onions and sev,,Butter.",https://drive.google.com/file/d/177buUU2Fw5gmXR7XvkOEtSoIvFf-BztW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterDabeli.jpg,,
Pav Bhaji,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,"2 tbsp Oil,5 tbsp Butter,1/4 cup Garlic chopped,
Green Chilly 2 chopped,Onion 1 cup chopped,
to taste Salt or 1 tsp,Tricolor Bell pepper 1 cup chopped,
1 cup Cauliflower florets,1 cup Carrot chopped,
Peas 1 cup(I have used frozen),1 tbsp Turmeric",https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,45,
Butter Pav Bhaji,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,"½ cup vegetable oil,2 teaspoons chopped garlic,1 teaspoon finely chopped green chile peppers,1 cup chopped onions,2 teaspoons grated fresh ginger,1 cup chopped roma (plum) tomatoes,2 cups cauliflower, finely chopped,1 cup chopped cabbage,1 cup green peas,1 cup grated carrots,4 potatoes, boiled and mashed,3 tablespoons pav bhaji masala,salt to taste,1 tablespoon lemon juice,1 tablespoon finely chopped green chile peppers,1cube Cheese,etc",https://drive.google.com/file/d/1N-maGiocBLWQslkOppBkMkUIx3Hmp7ON/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterPavBhaji.jpg,55,
Papadi Chaat,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1IEOwoKLaJnnxIVUpL_eN6lc6Vsm1eW_X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Papadi-Chaat.jpg,,
Only Puri 100n,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,,,,
Children Bhel,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,,,,,
