label,nodeType,order,path,price,description,ingredients,link,imageLink
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,
Pav Bhaji,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",65,,"  Oil,  Butter,/ cup Garlic chopped,
Green Chilly  chopped,Onion  cup chopped,
to taste Salt or  ,Tricolor Bell pepper  cup chopped,
 cup Cauliflower florets, cup Carrot chopped,
Peas  cup(I have used frozen),  Turmeric",https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg
Butter Pav Bhaji,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",75,,"  Oil,  Butter,/ cup Garlic chopped,
Green Chilly  chopped,Onion  cup chopped,
to taste Salt or  ,Tricolor Bell pepper  cup chopped,
 cup Cauliflower florets, cup Carrot chopped,
Peas  cup(I have used frozen),  Turmeric,Butter.",https://drive.google.com/file/d/1N-maGiocBLWQslkOppBkMkUIx3Hmp7ON/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterPavBhaji.jpg
Khadi Pav Bhaji,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,,https://drive.google.com/file/d/1zyPG9lvEB35DdVX33-3wg0a5DxWnR-9y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/KhadiPavBhaji.jpeg
Special Bhaji,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,,https://drive.google.com/file/d/1HiHl9NWsNLpy-feJv7PIMBQE_mUkeyB0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/SpecialBhaji.jpg
Butter Pav Jodi,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,,https://drive.google.com/file/d/1btBY0JB_VCo2cIjytYEqyHYASh_zAAMV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterPavJodi.jpg
Lasun Pav Jodi,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,,,,
Masala Pav Jodi,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,,"½ cup vegetable oil, teaspoons chopped garlic, teaspoon finely chopped green chile peppers, cup chopped onions, teaspoons grated fresh ginger, cup chopped roma (plum) tomatoes, cups cauliflower, finely chopped, cup chopped cabbage, cup green peas, cup grated carrots, potatoes, boiled and mashed, tablespoons pav bhaji masala,salt to taste, tablespoon lemon juice, tablespoon finely chopped green chile peppers,cube Cheese,etc",https://drive.google.com/file/d/1RfrC9hIqgjs8WxSPpWup3Q4Ux1-iWI71/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MasalaPavJodi.jpg
Special Bhel,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,,https://drive.google.com/file/d/1V6u2b1ymDWORoN6moMzYhp09VJBuQJes/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/SpecialBhel.jpg
Pani Puri,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,"Crisp Puffed Puri,Potato,Mint Water, Sweet Water,etc",https://drive.google.com/file/d/11eeXwN7YjS_AfF3yaxjo0P7NccaXXQ8v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Panipuri.jpg
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
Veg Pulao Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,," cup Cabbage, small onions, cup of capcicum, cup of soya chunks, small carrots, spoon of garam masala, spoon of ginger garlic paste, spoon of jeeraseeds, spoons of salt, spoon of ghee, cup of oil, cup of peas",https://drive.google.com/file/d/1wkAPJ4IbrOol1TWJRaQPzj2nGW3s_joe/view?usp=sharing,
Veg Pulao Rice Full,ProductUnit,5,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Pulao Rice,",70,," cup Cabbage, small onions, cup of capcicum, cup of soya chunks, small carrots, spoon of garam masala, spoon of ginger garlic paste, spoon of jeeraseeds, spoons of salt, spoon of ghee, cup of oil, cup of peas",https://drive.google.com/file/d/1G3HjPm3rJIFFZbuZNGolEBup6vAJmO0B/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/VegPulaoRiceFull.jpg
Veg Pulao Rice Half,ProductUnit,6,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Pulao Rice,",50,," cup Cabbage, small onions, cup of capcicum, cup of soya chunks, small carrots, spoon of garam masala, spoon of ginger garlic paste, spoon of jeeraseeds, spoons of salt, spoon of ghee, cup of oil, cup of peas",https://drive.google.com/file/d/13osansov36Z5IJjo1qAZJdn-LF48IGWX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/VegPulaoRiceHalf.jpg
Jeera Rice,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,,"½ cup basmati rice,  oil,½  salt,½  salt,  coriander,water,etc",https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRice.jpg
Jeera Rice Full,ProductUnit,8,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",70,,"½ cup basmati rice,  oil,½  salt,½  salt,  coriander,water,etc",https://drive.google.com/file/d/1XWi_RFUxoXm7T2NMDEQrUBKa57-mY2EL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceFull.gif
Jeera Rice Half,ProductUnit,9,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",50,,"½ cup basmati rice,  oil,½  salt,½  salt,  coriander,water,etc",https://drive.google.com/file/d/1gab5eRuLll1Ed8DokZQ1FuTko20Esbwa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceHalf.jpg
Veg Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1jGUX5UP4wRfWdRBwFaYZ_X00p2TnNvCJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/VegChinese.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Chinese,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Chinese,",,,,,
Veg Gravy Manchurian,ProductType,4,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",90,," cups grated cabbage, grated carrot,  maida,
  Salt,  chilli sauce,  soya sauce,
  tomato ketchup,  lemon juice,  sugar,
 capsicum, onion,  chopped garlic",https://drive.google.com/file/d/1aoDUvwJ6yLTLJkIMNZw7_jCnExFOQQ8A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/VegGravyManchurian.jpg
Veg Gravy Manchurian Full,ProductUnit,5,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,Veg Gravy Manchurian,",90,," cups grated cabbage, grated carrot,  maida,
  Salt,  chilli sauce,  soya sauce,
  tomato ketchup,  lemon juice,  sugar,
 capsicum, onion,  chopped garlic",https://drive.google.com/file/d/1l-4I0_FuA5gPJiueRMrE3Lf8DvKr17lP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/VegGravyManchurianFull.jpg
Veg Gravy Manchurian Half,ProductUnit,6,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,Veg Gravy Manchurian,",70,," cups grated cabbage, grated carrot,  maida,
  Salt,  chilli sauce,  soya sauce,
  tomato ketchup,  lemon juice,  sugar,
 capsicum, onion,  chopped garlic",https://drive.google.com/file/d/1iu_r96J2-Y6wbF11t9KGtvEQD6FklyWK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/VegGravyManchurianHalf.jpg
Dry Manchurian,ProductType,7,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",90,," cups grated cabbage, grated carrot,  maida,
  Salt,  chilli sauce,  soya sauce,
  tomato ketchup,  lemon juice,  sugar,
 capsicum, onion,  chopped garlic",https://drive.google.com/file/d/10SHdAy08fhPiD_LG1Q8k_tXI8yea2Utt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/veg-manchurian-dry.jpg
Dry Manchurian Full,ProductUnit,8,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,Dry Manchurian,",90,," cups grated cabbage, grated carrot,  maida,
  Salt,  chilli sauce,  soya sauce,
  tomato ketchup,  lemon juice,  sugar,
 capsicum, onion,  chopped garlic",https://drive.google.com/file/d/1SehpDhnhvaZChGy-faCgZ0fmUUVEfdQE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/DryManchurianFull.jpg
Dry Manchurian Half,ProductUnit,9,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,Dry Manchurian,",70,," cups grated cabbage, grated carrot,  maida,
  Salt,  chilli sauce,  soya sauce,
  tomato ketchup,  lemon juice,  sugar,
 capsicum, onion,  chopped garlic",https://drive.google.com/file/d/1x43CAthcY7hLZeF8s-rsESk40jfVbN-h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/DryManchurianHalf.jpg
Veg Fried Rice,ProductType,10,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",70,," cup rice,  soy sauce, capsicum, chopped,/ cup cabbage, chopped,/ cup spring onion, chopped,  ginger-garlic paste,  salt,  oil,etc",https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg
Veg Schezwan Rice,ProductType,11,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",80,," cups cooked Plain Rice,¾ cups Mixed Vegetables (french beans, carrot, capsicum, cabbage, celery),- cloves of Garlic, finely chopped (approx. / tablespoon),- tablespoon Schezwan Sauce,Salt to taste,etc",https://drive.google.com/file/d/1-I-WSFeFbKd9hlnc9-xzXQYn5XKPgbKD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanRice.jpg
Veg Manchurian Rice,ProductType,12,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",90,," cups cooked Plain Rice,¾ cups Mixed Vegetables (french beans, carrot, capsicum, cabbage, celery),- cloves of Garlic, finely chopped (approx. / tablespoon),- tablespoon Schezwan Sauce,Salt to taste,etc",https://drive.google.com/file/d/1jNrUl4zWkDBHdSQ9fMRkuIqsymylvahc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurianRice.jpg
Veg Hakka Noodles,ProductType,13,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",70,,#NAME?,https://drive.google.com/file/d/1Q90LHM1ZJtlXVlbMoWnysu0n9Ip0TJG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hakka-Noodles.jpg
Veg Schezwan Noodles,ProductType,14,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",80,," grams noodles,  olive oil, clove garlic (finely chopped),  spring onion (chopped),½ carrot (chopped),  cabbage (shredded),½ capsicum (chopped),  schezwan sauce,▢½  salt,etc",https://drive.google.com/file/d/110qPjMnVJgCASzjlU24PKREL29s_4OW1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanNoodles.jpg
Veg Manchurian Noodles,ProductType,15,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",90,,,https://drive.google.com/file/d/18nb4TV0DNqOCfS3RhzF1UoGG4z7bhQri/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurianNoodles.jpg
