label,nodeType,order,path,price,description,link,imageLink,Swiggy
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sandwich,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Grill Veg Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,,https://drive.google.com/file/d/141laSOihGKoGLNeRe1WZgkcIqIe6w6kz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GrillVegSandwich.jpg,65
Grill Veg Cheese Sandwich,ProductType,5,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",60,,https://drive.google.com/file/d/1pH46uCF_qm7n6-l59ctqMwuqZ1PT90UN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GrillVegCheeseSandwich.jpg,80
Grill Veg Cutlet Sandwich,ProductType,6,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,,https://drive.google.com/file/d/1JosZgUn4FnXocBe6WP6YFkLW9a_O46GL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GrillVegCutletSandwich.jpg,
Grill Chocolate Sandwich,ProductType,7,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",60,,https://drive.google.com/file/d/1BSXUuexSiXxU5C13D2RgQeEa8UEng-cv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GrillChocolateSandwich.jpg,
Grill White Chocolate Sandwich,ProductType,8,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,,,,
Grill Masala Chocolate,ProductType,9,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,,,,
Grill Pahadi Sandwich,ProductType,10,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",60,,https://drive.google.com/file/d/1qp4f804cbACaTD5_kdbdeOFtxt0SWP6N/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/GrillPahadiSandwich.jpg,
