label,nodeType,order,path,price,description,ingredients,link,imageLink
Veg Main Course,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1eeKrqhcD63NDpIGx25LAq5iA92Cm7coE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/VegMainCourse.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Main Course,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Main Course,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Paneer Masala,ProductType,4,"Inventory,Food,Restaurant,Veg Main Course,Vegeterian,",150,,"  paneer cut in    salt,  Kashmiri red chili powder,  turmeric powder,  vegetable oil,    ghee, green cardamoms , cloves, black peppercorns,  piece of cinnamon stick, whole dry red chilies,  cumin seeds,  asafetida hing,  finely chopped onions,  ginger garlic paste,  coriander powder,  turmeric powder,  cumin powder,  cumin powder, green chilies ,",https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg
Paneer Shahi,ProductType,5,"Inventory,Food,Restaurant,Veg Main Course,Vegeterian,",130,,"  paneer,  ginger, green cardamom,  red chilli,  garam masala powder,   ma puree,water ,  almonds, onion, green chilli,  yoghurt curd,  ghee,  milk,salt ,  cashews.",https://drive.google.com/file/d/10UCsN1lRXPZTgl0cmW_za9aQs8Z-H_x_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerShahi.jpg
Paneer Butter Masala,ProductType,6,"Inventory,Food,Restaurant,Veg Main Course,Vegeterian,",150,,"  oil , bay leaf,  cinnamon stick, cloves, large garlic cloves,.  ginger , large white onion , large , whole cashews ,  water,  unsalted butter,  red chili powder,  kashmiri red chili powder,  garam masala,  cardamom powder,  sugar,  salt,  ma paste,  cream,  paneer   crushed kasuri methi,chopped cilantro.",https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg
Kaju Curry,ProductType,7,"Inventory,Food,Restaurant,Veg Main Course,Vegeterian,",130,,"  cashews  ,  Butter,.  chopped , tej patta ,  water,   cashews,  Ginger Garlic Paste, or  green chilies,  kashmiri red chili powder,  Garam Masala,⅔    water,  Butter,    sugar,  kasuri methi,    chopped coriander leaves,salt .",https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg
Mix Veg,ProductType,8,"Inventory,Food,Restaurant,Veg Main Course,Vegeterian,",150,,"  Chopped Potaes,  Chopped Cauliflower,  Chopped Carrots,  Chopped French Beans,  Chopped Capsicum Green Bell Peppers,  Green Peas, Onion, Sized , Green Chillies, Cloves of Garlic,  Piece of Ginger, Cashews,  Cream or   Milk,  Cumin Seeds",https://drive.google.com/file/d/1ck00uoIiKEXjtfN1K8Zx7xfA2Dsc5VeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MixVeg.jpg
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Tandoori Roti,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",15,,"  whole wheat flour,  oil  neutral oil or   softened butter,  salt  , water.",https://drive.google.com/file/d/1p6eNQrcVnNmzujXu2Tlh9MKJdIX9WyOK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriRoti.jpg
Romali ,ProductType,5,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",18,,,https://drive.google.com/file/d/1Em0P-TfxwzaIw_1n8Rv8sikzEuWALiuq/view?usp=sharing,
Laccha Paratha,ProductType,6,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",25,,"  whole wheat flour atta  ,    oil or ghee ,  salt,  water,oil or ghee .",https://drive.google.com/file/d/1EQFxVvfOVDYeOTq1kgFx5I-_55U1l3DF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/LacchaParatha.jpg
Kashmiri Roti,ProductType,7,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",30,,,https://drive.google.com/file/d/1QvyjfsIl9n241zfVSmB1IdzDcLYtrlCH/view?usp=sharing,
Chapati,ProductType,8,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",15,,"   whole wheat flour,salt ,water ,
  ghee.",https://drive.google.com/file/d/1BCZG8M0F-__45K4lUhTp357cF_FXpX8k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chapati.jpg
Paratha,ProductType,9,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",15,,"whole wheat flour  ,Salt  ,water  ,ghee clarified butter  ",https://drive.google.com/file/d/1TzQe_S2wAAEOYGt6H0PIyCfvU5Kmrnwx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paratha.jpg
Jawari Roti,ProductType,10,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",20,,"jawar flour  ,rice flour  ,hot water  ,salt   ",https://drive.google.com/file/d/1o8KrKrHgfcxhV2PAA7wtsQxJ5iWS6VzK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JawariRoti.jpg
Main Course,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1m5XsBb7LQLRcRXeE4fsSnXTi-B3tSBuH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MainCourse.jpg
