label,nodeType,order,path,price,ingredients,link,imageLink,Swiggy ,Zomato,description
Burger,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burger,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burger,",,,,,,,
Veg Burger,ProductType,3,"Inventory,Food,Restaurant,Burger,Vegeterian,",70,"1 boiled and smashed potato

2 tablespoon of green peas boiled

1 tea spoon of turmeric

1/2 cup breadcrumbs

1/2 tsp chilli powder

1 tbsp vegetable oil for frying

1/4 tsp Cumin powder

1/4 tsp of black pepper

1/4 tsp salt

1/4 tsp ginger garlic paste",https://drive.google.com/file/d/1d4T4ocGTOibUjikI_CZrc4fkIRChDq8d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Burger.jpg,70,70,
Indian Burger,ProductType,4,"Inventory,Food,Restaurant,Burger,Vegeterian,",80,,https://drive.google.com/file/d/1ejoM9dZarvuvvYEFXNPw1e3L1VCeMUEC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IndianBurger.jpg,80,80,
Veg Cheese Burger,ProductType,5,"Inventory,Food,Restaurant,Burger,Vegeterian,",90,,https://drive.google.com/file/d/1BRIGvcNMtmyGxtykXr10OQnq4woHNBxu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCheeseBurger.jpg,90,90,
Veg Corn Burger,ProductType,6,"Inventory,Food,Restaurant,Burger,Vegeterian,",80,,https://drive.google.com/file/d/1817hCXD6CllN0aZ5oMPURqJKBI0qM7lu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Corn-Burger.jpg,80,80,
Schezwan Burger,ProductType,7,"Inventory,Food,Restaurant,Burger,Vegeterian,",70,,https://drive.google.com/file/d/1jM6gSOcmk6buy7fqsOaCQdOrS3WkqvwP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Burger.jpg,70,70,
American Burger,ProductType,8,"Inventory,Food,Restaurant,Burger,Vegeterian,",110,,https://drive.google.com/file/d/1U41ymEMDAxmIZlxdvvHXY7EAr7cu2zrO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AmericanBurger.jpg,110,110,
Schezwan Cheese Burger,ProductType,9,"Inventory,Food,Restaurant,Burger,Vegeterian,",90,,https://drive.google.com/file/d/1wKDyGBRjkyL1vOmzUlLGhOCi4s2GHbHW/view?usp=sharing,,90,90,
Grill Cheese Burger,ProductType,10,"Inventory,Food,Restaurant,Burger,Vegeterian,",100,,https://drive.google.com/file/d/1I2FwnjmZY-TMOTr2cLK8pFILIKlXh7zU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/GrillCheeseBurger.jpg,100,100,
