label,nodeType,order,path,price,ingredients,link,imageLink,description
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1rPHaBukwlz0XWULqOVgaU6r0p5LxJaQI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegStarters.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,,
Veg Manchurian Dry,ProductType,3,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",80,"2 cups grated cabbage,1 grated carrot,3 tsp maida,2 tsp Salt,
2 tsp chilli sauce,2 tsp soya sauce,2 tsp tomato ketchup,
2 tsp lemon juice,1 tsp sugar,1 capsicum,1 onion",https://drive.google.com/file/d/1WUVLy-4rg52XSvwqhUfVZYomOF7VhOB2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/veg-manchurian-dry.jpg,
Paneer Chilli Dry,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",90,"Paneer 250 gms,medium onions 1 nos,large capsicum 1 nos,
green chilli 1 nos,garlic 5-6 nos,Soya sauce 1 tbsp,
Green chilli sauce 1 tbsp,Red chilli sauce 1 tbsp,Tomato sauce 1-2 tbsp,
Vinegar 1 tbsp,Maida 2 tbsp",https://drive.google.com/file/d/1BwMOrfcmYnZt2KHib5uG2oK7XhU3RoBt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilliDry.jpg,
Paneer 65,ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",100,"200g paneer,Maida 2 tbsp,Corn flour 3 tbsp,Rice flour 3 tbsp,
1 pinch red food colouring,1/2 teaspoon salt or as per taste,
Soy sauce 1 tbsp,Lemon juice 1 tbsp,Ginger garlic paste 1 tbsp,
Coriander powder 1 tsp,Chilli powder 1 teaspoon",https://drive.google.com/file/d/18eQOtotfInWqsh70Rc6NLKcegEIaW-3Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paneer65.jpg,
Chilli Mushroom,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",80,,https://drive.google.com/file/d/1xbLjOs4xk_IXUkFD-XFfmBwJXzkgM4hV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChilliMushroom.jpg,
Veg Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1D-Nog4z8En2b458mwiL_0-7ohryNjyVy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/VegSnacks.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Snacks,",,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Snacks,",,,,,
Spicy Potato Crispy,ProductType,3,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",40,"Boiled potatoes 4 nos,Grated Paneer 100 gms,Onion,cut into small pieces 1 nos,
Coriander leaves 1 tsp,Green chili 2-3 nos,Red chili powder 1 tbsp,
Amchur Powder 1/2 tsp,Bread cumbs 1 tbsp,salt,as per taste 1 tsp",https://drive.google.com/file/d/14hG_I4lcQlAyLyAqw6_vddMG6qYOEOMr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/SpicyPotatoCrispy.jpg,
Aloo Patis,ProductType,4,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1U0EFppeuglgMK2dViuKll1wdJncxIxc8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooPatis.jpg,
