label,nodeType,order,path,price,description,link,imageLink
Juices,ProductClass,1,"Inventory,Ice Cream,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OrengeJuice.jpg
Vegeterian,ProductLine,2,"Inventory,Ice Cream,Juices,",,,,
NonVegeterian,ProductLine,3,"Inventory,Ice Cream,Juices,",,,,
Sugarcane Juice,ProductType,4,"Inventory,Ice Cream,Juices,Vegeterian,",10,,https://drive.google.com/file/d/1SHqn2LPwTUXR6wWfUJkcwi12rjc-StHn/view?usp=sharing,https://drive.google.com/file/d/1SHqn2LPwTUXR6wWfUJkcwi12rjc-StHn/view?usp=sharing
Without Ice Sugarcane Juice,ProductType,5,"Inventory,Ice Cream,Juices,Vegeterian,",15,,https://drive.google.com/file/d/1UlAcpJ7qbEZzVzXI8ATIPeSSlwt4uj4d/view?usp=sharing,
Pineapple Juice,ProductType,6,"Inventory,Ice Cream,Juices,Vegeterian,",30,,https://drive.google.com/file/d/1cmdhrTjA5B8AXRvMUgnkKYK2EKhd4h9x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Pineapple-juice.jpg
Orange Juice,ProductType,7,"Inventory,Ice Cream,Juices,Vegeterian,",30,,https://drive.google.com/file/d/1j80vvKuqCQogkjKBmGOBZMFTfVIxYuJM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OrengeJuice.jpg
Mosambi Juice,ProductType,8,"Inventory,Ice Cream,Juices,Vegeterian,",30,,https://drive.google.com/file/d/1oMSUzAgQZveNg02BgFvjJSEcm_8ANf70/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MosambiJuice.jpg
Mix Juice,ProductType,9,"Inventory,Ice Cream,Juices,Vegeterian,",30,,https://drive.google.com/file/d/1L5IHjoQIkIx3300TL2BHvtOKnAh1pbNb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixJuice.jpg
Watermelon Juice,ProductType,10,"Inventory,Ice Cream,Juices,Vegeterian,",30,,https://drive.google.com/file/d/1TDU37UjAkUD2A2QEtVBsSa6UcfOV3nFf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Watermelon-Juice.jpg
Grape Juice,ProductType,11,"Inventory,Ice Cream,Juices,Vegeterian,",40,,https://drive.google.com/file/d/1FMZylTnL7wLZUqsYfiyvMKsvfiK2crFW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/GrapeJuice.jpg
Shake,ProductClass,1,"Inventory,Ice Cream,",,,https://drive.google.com/file/d/1WVjjMhoFCtzUTpAl1j-_VT2Riy0PJO0k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/Shake.jpg
Vegeterian,ProductLine,2,"Inventory,Ice Cream,Shake,",,,,
NonVegeterian,ProductLine,3,"Inventory,Ice Cream,Shake,",,,,
Pineapple Shake,ProductType,4,"Inventory,Ice Cream,Shake,Vegeterian,",30,,https://drive.google.com/file/d/1St8ZJbOVaVCb-AJtu0P_x9gDwI2adoKb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PineappleShake.jpg
Chikoo Shake,ProductType,5,"Inventory,Ice Cream,Shake,Vegeterian,",30,,https://drive.google.com/file/d/1foWanHlzbwhYpYkrlqFAt8QHDGDlcl4s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/ChikooShake.jpg
Banana Shake,ProductType,6,"Inventory,Ice Cream,Shake,Vegeterian,",30,,https://drive.google.com/file/d/1XDC00YtWZJ0IdH41Pnm4qvG4xVLnwqho/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/BananaShake.jpg
Mango Shake,ProductType,7,"Inventory,Ice Cream,Shake,Vegeterian,",40,,https://drive.google.com/file/d/1GuSXG_n0eiI0Wv_5z5lA4V93edCGPgOl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoShake.jpg
