label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1rPHaBukwlz0XWULqOVgaU6r0p5LxJaQI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegStarters.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,,,
Veg Seekh Kebab,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",240,,https://drive.google.com/file/d/1VUka7iRCrWas4ZU_EIDjwCaMnBNG0NeY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/VegSeekhKebab.jpg,,
Stuffed Mushroom,ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",240,,https://drive.google.com/file/d/1ZTINBZ4lvrK2vqg2kyOmYSFPPflgqwZ8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/StuffedMushroom.jpg,,
Aatishi Aloo,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",240,,https://drive.google.com/file/d/1KqSdouNxj0GVrLf57fvGCI13TfSXm_6X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/AatishiAloo.jpg,,
Cajun Potato,ProductType,7,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",240,,https://drive.google.com/file/d/117N7dje-jcF2qEW3d3-8Cvue_JgrMT-o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/CajunPotato.jpeg,,290
Nizami Aloo,ProductType,8,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",240,,,,,290
Subz Karara Kofta,ProductType,9,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",260,,,,,
Surkh Paneer Tikka,ProductType,10,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",260,,https://drive.google.com/file/d/1ovcva9LTIPiXnbAz6p9e8YcAZ4BPHOOW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/SurkhPaneerTikka.jpg,,290
Deccan Paneer Tikka,ProductType,11,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",260,,https://drive.google.com/file/d/1Tz8uhBDAHsyoSDSIuTdKNwMf1Po9YRSp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/DeccanPaneerTikka.jpg,,290
Paneer Burrah,ProductType,12,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",290,,,,,
Cheese Corn Seekh,ProductType,13,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",290,,https://drive.google.com/file/d/1mCyUm1Nwzaq_p32PezkXfHy_8Wzs_XA4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/CheeseCornSeekh.jpg,,
Nizami Paneer,ProductType,14,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",290,,https://drive.google.com/file/d/1KjIysATlhoV84zkQ9vLyywP8Nw0VEOBv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/NizamiPaneer.jpg,,
Bihari Paneer,ProductType,15,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",260,,,,,
Afghani Paneer Tikka,ProductType,16,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",290,,https://drive.google.com/file/d/1ECjO_yYKDaPjbSClv813DhTJaJybvk24/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/AfghaniPaneerTikka.jpg,,
