label,nodeType,order,path,price,description,link,imageLink,Zomato
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pizza,",,,,,
Bread Pizza,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",100,"Tomato, Dices,Onion,Capsicum and Cheese ",https://drive.google.com/file/d/1jZ9T1Qzbz215ZOwew0J9vlwUFveLoA6s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/BreadPizza.jpg,120
Only Cheese Pizza,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",110,,https://drive.google.com/file/d/1mnlbas87-oTmJ_k7r3LMYFLvAj5J-dgc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/OnlyCheesePizza.jpg,130
Onion Capsicum Pizza,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",110,"Onion,Capsicum, Cheese ",https://drive.google.com/file/d/1SUf6jYdstoPHcr9gWMnpn92dvtOVZ04t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionCapsicumPizza.jpg,130
Onion Capsicum ( Extra Cheese) Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",120,"Onion,Capsicum, Cheese ",https://drive.google.com/file/d/1kiUkflSndQT2WfpT9gW_vPIfDiaEQBUt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/OnionCapsicum(ExtraCheese)Pizza.jpg,
Veg Cheese Pizza,ProductType,8,"Inventory,Food,Cafe,Pizza,Vegeterian,",110,"Tomato Dices, Onion,Capsicum and Cheese ",https://drive.google.com/file/d/1UFOQLI5i5KUwUIcCqJbFbheY3m10p-o9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Cheese-Pizza.jpg,130
Cheese Burst,ProductType,9,"Inventory,Food,Cafe,Pizza,Vegeterian,",130,"Tomato,capsicum,Onion and cheese ",https://drive.google.com/file/d/1hx78bXeeImX5uaHcqmqPB8e4aEwWQzE4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CheeseBurst.jpg,150
Margherita Pizza,ProductType,10,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/1KXIyjmMNTjfzRPrpG1lV1FB59-ItEwbd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargheritaPizza.jpg,190
Cheese And Paneer Pizza,ProductType,11,"Inventory,Food,Cafe,Pizza,Vegeterian,",130,"Tomato Dices, Onion,Capsicum and Paneer  ",https://drive.google.com/file/d/1gPvDXMG4pbjkCBOnS3-hGQbScELmDMGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CheeseAndPaneerPizza.jpg,150
Cheese Schezwan Pizza,ProductType,12,"Inventory,Food,Cafe,Pizza,Vegeterian,",130,"Tomato,Capsicum, Onion and Cheese ",https://drive.google.com/file/d/1uTphA32IBNb_eVdl0Dyp2jtfKWnukZ_n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CheeseSchezwanPizza.jpg,150
Schezwan Cheese and Paneer Pizza,ProductType,13,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,"Tomato Dices,Capsicum, Paneer and Cheese ",https://drive.google.com/file/d/1qyxdHwRS9RshThwb5Io7UhBziR9gjw0i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SchezwanCheesePaneerPizza.jpg,160
Golden Corn Pizza,ProductType,14,"Inventory,Food,Cafe,Pizza,Vegeterian,",120,"American Corn,Oregano,Onion and Cheese ",https://drive.google.com/file/d/1g8tPGH9nypbJpDl8OzpjdAAkOKLDhtig/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GoldenCornPizza.jpg,140
Corn and Paneer Pizza,ProductType,15,"Inventory,Food,Cafe,Pizza,Vegeterian,",130,"Paneer Dices,Corn,Onion",https://drive.google.com/file/d/1x4iXlootX6CEJZxZBJ6Iz-eG2i9Sbfa8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CornPaneerPizza.jpg,
Maxican Pizza,ProductType,16,"Inventory,Food,Cafe,Pizza,Vegeterian,",120,"Mushroom,Olive,Jalapeno slices",https://drive.google.com/file/d/1KtnxpqklPifuzsBxP-J39zHgHKF-_sWV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/MaxicanPizza.jpg,
Veg Paradise Pizza,ProductType,17,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,"Corn, Olive, Capsicum and Cheese ",https://drive.google.com/file/d/1-2wiZPzKc7Sr7lF_oums8KszHUGiEikt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegParadisePizza.jpg,160
Condiment Delight Pizza,ProductType,18,"Inventory,Food,Cafe,Pizza,Vegeterian,",120,"Jaapeno Slices, Chilli Flakes,Capsicum, Onion and Cheese ",https://drive.google.com/file/d/1dHnHQo0IqE6iX6xxg6wQT7RfREPfkAaQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CondimentDelightPizza.jpg,140
Spicy Paneer Pizza,ProductType,19,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,"Jalapeno, Capsicum, Paneer ",https://drive.google.com/file/d/17oqW6uO26aO4L9lhIQcZ4B-Vf4DXXSTp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SpicyPaneerPizza.jpg,160
Yummy Tummy Pizza,ProductType,20,"Inventory,Food,Cafe,Pizza,Vegeterian,",130,"Corn, Capsicum, Paneer Dices,Oregano, Chilli Flake ",https://drive.google.com/file/d/10D7vurr4kGQdYd-uKVZgNUfHCI2Ka2ME/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/YummyTummyPizza.jpg,150
Mushroom Pizza,ProductType,21,"Inventory,Food,Cafe,Pizza,Vegeterian,",120,Mushroom and Cheese ,https://drive.google.com/file/d/17Y0M3ohDa80ytB2RQqwzXmaFidzmbIyo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomPizza.jpg,
Chocolate Pizza,ProductType,22,"Inventory,Food,Cafe,Pizza,Vegeterian,",100,Chocolate Sauce and Choco Crunch,https://drive.google.com/file/d/1eeaaBBIIAgG4tWPEQgXhTh2hS-HbM4-Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChocolatePizza.jpg,120
Choice Of Topping Pizza,ProductType,23,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,"Black Olive, Paneer, Mushroom,Golden Corn ,Jalapeno,Capsicum,Tomato,Onion  ",https://drive.google.com/file/d/1EUf2354Qmibs7RAmNFk4VWfPKt7Uoh44/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChoiceOfToppingPizza.jpg,190
Bro's Special Pizza,ProductType,24,"Inventory,Food,Cafe,Pizza,Vegeterian,",200,,https://drive.google.com/file/d/1JvavBVFUUNFSigqZwTHI2vNvtziovsMT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/BrosSpecialPizza.jpg,
