label,nodeType,order,path,price,description,link,imageLink
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Beverages,",,,,
Cold Coffee,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",,,https://drive.google.com/file/d/12q3woJzjR7FpBQfmLThIsX0ExUZ8wRPo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ColdCoffee.jpg
Kaffe,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",50,,,
White Kaffe,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",70,,,
Kaffe With Ice Cream,ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",80,,,
Moka Kaffe,ProductType,8,"Inventory,Food,Restaurant,Beverages,Vegeterian,",80,,https://drive.google.com/file/d/1avAMcnDASGNHoYPYBiHxYtwjrdxWYM25/view?usp=sharing,
Irish,ProductType,9,"Inventory,Food,Restaurant,Beverages,Vegeterian,",90,,https://drive.google.com/file/d/1yy4s1Hc0e9tYvY_I0mwFYToqSlldf39N/view?usp=sharing,
Eclairs,ProductType,10,"Inventory,Food,Restaurant,Beverages,Vegeterian,",100,,,
Jamacon,ProductType,11,"Inventory,Food,Restaurant,Beverages,Vegeterian,",110,,,
Caramel,ProductType,12,"Inventory,Food,Restaurant,Beverages,Vegeterian,",120,,https://drive.google.com/file/d/17cq8c2-Ss3x6VbJ_tesUhLuSWiFTbRnd/view?usp=sharing,
5 Star,ProductType,13,"Inventory,Food,Restaurant,Beverages,Vegeterian,",130,,,
Black Forest,ProductType,14,"Inventory,Food,Restaurant,Beverages,Vegeterian,",140,,https://drive.google.com/file/d/1tR6fwzAKgv7ca9NID_pvaXhonN4-0-ai/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BlackForest.jpg
Coffee,ProductType,15,"Inventory,Food,Restaurant,Beverages,Vegeterian,",50,,https://drive.google.com/file/d/1Euh2dH6rEeREBGnpoYhanuCocHz7zE4U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Coffee.jpg
Expreso,ProductType,16,"Inventory,Food,Restaurant,Beverages,Vegeterian,",70,,https://drive.google.com/file/d/11KB3-Jt3EZ_2Sp_kYcSpBYg-IXETUzJz/view?usp=sharing,
Americano,ProductType,17,"Inventory,Food,Restaurant,Beverages,Vegeterian,",70,,,
Kaffe Latte,ProductType,18,"Inventory,Food,Restaurant,Beverages,Vegeterian,",80,,https://drive.google.com/file/d/1PNF_G0zWHbIoDj8f0T5tDZt3MZ9D434_/view?usp=sharing,
Coffee With Bread Butter,ProductType,19,"Inventory,Food,Restaurant,Beverages,Vegeterian,",80,,,
Espreso Kon Panna,ProductType,20,"Inventory,Food,Restaurant,Beverages,Vegeterian,",90,,,
Kaffe Mocha,ProductType,21,"Inventory,Food,Restaurant,Beverages,Vegeterian,",100,,https://drive.google.com/file/d/1ly2HxLtu7K7ipVJZzmoopjUYjz4HJ9K3/view?usp=sharing,
Hazelnut Latte,ProductType,22,"Inventory,Food,Restaurant,Beverages,Vegeterian,",110,,https://drive.google.com/file/d/1unYnTsf4V8TZsF23sAl2XbCE9jJLvflR/view?usp=sharing,
After Dinner Mint Delight,ProductType,23,"Inventory,Food,Restaurant,Beverages,Vegeterian,",120,,,
Caramel Latte,ProductType,24,"Inventory,Food,Restaurant,Beverages,Vegeterian,",130,,https://drive.google.com/file/d/1KwuQJDIXkTUyXtiSN4S1nlx_tIRcCvkU/view?usp=sharing,
Cappuccino Latte,ProductType,25,"Inventory,Food,Restaurant,Beverages,Vegeterian,",140,,,
Thick Milk Shake,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1NFFg82z0hkajuFA8kdBHM8C1ba3Zy2aK/view?usp=sharing,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Thick Milk Shake,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Thick Milk Shake,",,,,
Mango Thick Milk Shake,ProductType,4,"Inventory,Food,Restaurant,Thick Milk Shake,Vegeterian,",110,,https://drive.google.com/file/d/1ebHOMGdQ7uJ4ZHZ3UgBDBNVb2T4rBmg6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/MangoThickMilkshake.jpg
Chocolate Thick Milk Shake,ProductType,5,"Inventory,Food,Restaurant,Thick Milk Shake,Vegeterian,",110,,https://drive.google.com/file/d/1i77sbngmVx0oJM_OJxhq5wCevGov2dP2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ChocolateThickMilkshake.jpg
Sitafal Thick Milk Shake,ProductType,6,"Inventory,Food,Restaurant,Thick Milk Shake,Vegeterian,",110,,https://drive.google.com/file/d/1nepxcUzqR6eUrS-o5k1sARTA-8kVJRE2/view?usp=sharing,
Pineapple Thick Milk Shake,ProductType,7,"Inventory,Food,Restaurant,Thick Milk Shake,Vegeterian,",110,,https://drive.google.com/file/d/1WO-tWaGRi0o5Te4jS2Ul3VLOlkoSgbgx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/PineappleThickMilkshake.jpg
Strawberry Thick Milk Shake,ProductType,8,"Inventory,Food,Restaurant,Thick Milk Shake,Vegeterian,",110,,https://drive.google.com/file/d/1i-66U_7ov4zqSoym4-BKWJQhmphVUft1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/StrawberryThickMilkshake.jpg
Litchi Thick Milk Shake,ProductType,9,"Inventory,Food,Restaurant,Thick Milk Shake,Vegeterian,",120,,https://drive.google.com/file/d/1PE48RROtFgfx9wmLbW4CCTwQA0tD5CPc/view?usp=sharing,
Anjeer Thick Milk Shake,ProductType,10,"Inventory,Food,Restaurant,Thick Milk Shake,Vegeterian,",120,,https://drive.google.com/file/d/1QiFGUEDYVRE_Zmg0oePcDMvnJu1yL_9q/view?usp=sharing,
