label,nodeType,order,path,price,description,link,imageLink,Zomato
Sandwich,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Sandwich,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Sandwich,",,,,,
Bread Butter,ProductType,4,"Inventory,Food,Cafe,Sandwich,Vegeterian,",30,,https://drive.google.com/file/d/14FRb1qE5r6vwLMr-r43KXWtC8mgem1_1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BreadButter.jpg,
Bread Butter Jam Butter,ProductType,5,"Inventory,Food,Cafe,Sandwich,Vegeterian,",30,,https://drive.google.com/file/d/1OLXjMw8nevlcAR-jeqnZnxB9Xu-syehq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BREADBUTTERJAM.jpg,
Bombay Grilled Sandwich,ProductType,6,"Inventory,Food,Cafe,Sandwich,Vegeterian,",60,,https://drive.google.com/file/d/1pF2le7r9QrS_4RfWKQuO_EqeKdCx2P4A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/BombayGrilledSandwich.jpg,75
Schezwan Paneer Sandwich,ProductType,7,"Inventory,Food,Cafe,Sandwich,Vegeterian,",70,,https://drive.google.com/file/d/1MVg-gGpXuPdsZwHr1QKiFAqQboxXEI6q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/SchezwanPaneerSandwich.jpg,90
Tandoori Paneer Sandwich,ProductType,8,"Inventory,Food,Cafe,Sandwich,Vegeterian,",70,,https://drive.google.com/file/d/1jFhSS2o9pdhGEqTwGWnM1eC952O6qd7h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/TandooriPaneerSandwich.jpg,100
Cheese Corn Sandwich,ProductType,9,"Inventory,Food,Cafe,Sandwich,Vegeterian,",70,,https://drive.google.com/file/d/1BShjUTSoZBw1vjQPRoxlAfeYlSb3snvB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SpicyMayyoniesSandwich.jpg,100
Franky,ProductClass,1,"Inventory,Food,Cafe,",,,https://drive.google.com/file/d/1Jtsh9gEBmmlREpdSZhUrs15gQbp6OK_Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Franky.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Franky,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Franky,",,,,,
Veg Franky,ProductType,4,"Inventory,Food,Cafe,Franky,Vegeterian,",60,,https://drive.google.com/file/d/1Jtsh9gEBmmlREpdSZhUrs15gQbp6OK_Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Franky.jpg,90
Schezwan Paneer Franky,ProductType,5,"Inventory,Food,Cafe,Franky,Vegeterian,",70,,https://drive.google.com/file/d/1IxPb4IN9_I7CDuYsh9GxgIWPl0UUmDwn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/SchezwanPaneerFranky.jpg,90
Tandoori Paneer Franky,ProductType,6,"Inventory,Food,Cafe,Franky,Vegeterian,",80,,https://drive.google.com/file/d/1zy24j_A8tV3FAJ-aA1idLVq7tfrW8Wp9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/TandooriPaneerFranky.jpg,100
Burgers,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Burgers,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Burgers,",,,,,
Aloo Tikki,ProductType,4,"Inventory,Food,Cafe,Burgers,Vegeterian,",40,,https://drive.google.com/file/d/1KZrAO6tUtS82Llulc3_bVTApuAQR3P9E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooTikki.jpg,65
Aloo Tikki With Cheese,ProductType,5,"Inventory,Food,Cafe,Burgers,Vegeterian,",55,,https://drive.google.com/file/d/1cfQn2psT3K55DAIzy7EpjYPdldGaUYoW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/AlooTikkiWithCheese.jpg,85
Veggie Burger,ProductType,6,"Inventory,Food,Cafe,Burgers,Vegeterian,",60,,https://drive.google.com/file/d/1rM81oL71SExBPYxRwBk1lPuxtHvrl6c6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VeggieBurger.jpg,
Veggie Burger With Cheese,ProductType,7,"Inventory,Food,Cafe,Burgers,Vegeterian,",70,,https://drive.google.com/file/d/1Yb3KqsR7yf3-6-ewktT86L4hu7IK5W27/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/VeggieBurgerWithCheese.jpg,
Frisco Burger,ProductType,8,"Inventory,Food,Cafe,Burgers,Vegeterian,",60,,https://drive.google.com/file/d/1DdIEweY6oRzQI37EfV26Ir_qCDOS6nrf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/FriscoBurger.jpg,
Frisco Burger With Cheese,ProductType,9,"Inventory,Food,Cafe,Burgers,Vegeterian,",70,,https://drive.google.com/file/d/1adrfiYOyBSZmcZNbV8U17WCTlxFnNe8m/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/FriscoBurgerWithCheese.jpg,
Potato Herb,ProductType,10,"Inventory,Food,Cafe,Burgers,Vegeterian,",60,,https://drive.google.com/file/d/1M9MA2NZXhD9rhDooITt85oV2WsBGA7Qz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/PotatoHerb.jpg,
Potato Herb With Cheese,ProductType,11,"Inventory,Food,Cafe,Burgers,Vegeterian,",70,,https://drive.google.com/file/d/1ahpv8uTojJrlj8l3zSu1BM63-Ur5uCQj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/PotatoHerbWithCheese.jpg,
Maggi,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery-2/Maggi.png,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Maggi,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Maggi,",,,,,
Plain Maggi,ProductType,4,"Inventory,Food,Cafe,Maggi,Vegeterian,",40,,https://drive.google.com/file/d/1_YcVGC4h24w-PjmhpvOMk_0nb91Rww2r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Maggi.jpg,50
Pari Pari Maggi,ProductType,5,"Inventory,Food,Cafe,Maggi,Vegeterian,",50,,https://drive.google.com/file/d/1HHJqjo_4744gBdFv4lJWUuKiQWGiAul4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/PeriPeriMaggie.jpg,65
Cheese Maggi,ProductType,6,"Inventory,Food,Cafe,Maggi,Vegeterian,",60,,https://drive.google.com/file/d/1s_px5AkcwichWNunPlHPy12ov-lEQYuu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseMaggi.jpg,75
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pizza,",,,,,
Cheese Burst Pizza,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",90,,https://drive.google.com/file/d/1ODzpyHsBYlJzSe7PpXjikJvkrTIfeU3n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/CheeseBurstPizza.jpg,130
Exotic Veg Pizza ,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",100,,https://drive.google.com/file/d/1sCmG_PdCyXQzZN9LZAjUxlaCybTLO2PA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1415062022/ExoticVegPizza.jpg,165
Cheese Corn Pizza ,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",110,,https://drive.google.com/file/d/1nIzHZfR-QrpqULIBeIEmewHY8EAVTm9o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseCornPizza.jpg,165
Tandoori Paneer Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",110,,https://drive.google.com/file/d/1cEBSKoVa2Km5N561EZJ1ubU9rj5WqHtN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoori-Paneer-Pizza.jpg,165
Schezwan Paneer Pizza ,ProductType,8,"Inventory,Food,Cafe,Pizza,Vegeterian,",110,,https://drive.google.com/file/d/1CgIxHu44uphYDf-KaljmIbsm1EEpG4ca/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food211221/SchezwanPaneerPizza.jpg,165
Mexicon Paneer Salsa Pizza ,ProductType,9,"Inventory,Food,Cafe,Pizza,Vegeterian,",120,,https://drive.google.com/file/d/1poeBXMjqpmQSM16jR3ZrA25ONRYFUGS5/view?usp=sharing,,
Snacks,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Snacks,",,,,,
French Fries,ProductType,4,"Inventory,Food,Cafe,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1OkJBwMbikkeQriYIH41haxxTopeFdL7y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FrenchFries.jpg,65
