label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pizza,",,,,,,
Classic Veggi Pizza,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,,https://drive.google.com/file/d/1eYV1HYVyi0mcx0bMq2n0LOiVaJOnQvnB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ClassicVeggiPizza.jpg,120,160
Cheese Chilli Corn Pizza,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",150,,https://drive.google.com/file/d/1-32jEvXmM4AKc8Bs7v6o2UVxyaaf-M45/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CheeseChilliCornPizza.jpg,130,
Maxicon Corn Pizza,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/1BBxd4RiAolCrlwyZFEE_f8AhIeZaLHnc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/MaxiconCornPizza.jpg,,
Tandoori Paneer Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,,https://drive.google.com/file/d/1cEBSKoVa2Km5N561EZJ1ubU9rj5WqHtN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoori-Paneer-Pizza.jpg,150,170
Spiscy Paneer Pizza,ProductType,8,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,,https://drive.google.com/file/d/1hZWSMXfK7Yh2c76Z1N1LK6PXGiTsDWid/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SpiscyPaneerPizza.jpg,,
Mushroom Cheese Pizza,ProductType,9,"Inventory,Food,Cafe,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1P7Rvr6SF8bLu92VRSGtHLskqpmcNtQCs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/MushroomCheesePizza.jpg,160,
Veg Suprime Cheese Pizza,ProductType,10,"Inventory,Food,Cafe,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/132ZKSvHCQSZkk9xL9piOR4vMH2YGgqN5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/VegSuprimeCheesePizza.jpg,,
Chilli Garlic Pizza,ProductType,11,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/1vAVCioa7ZSbx_3bLI1252oCgMUvRu6Im/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChilliGarlicPizza.jpg,,
Smoke Veg Pizza,ProductType,12,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,,https://drive.google.com/file/d/1Dk7O_1uqUdNJeXFfB27cW50d_V67K_Xa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SmokeVegPizza.jpg,,
Burger,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Burger,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Burger,",,,,,,
Masala Burger,ProductType,4,"Inventory,Food,Cafe,Burger,Vegeterian,",60,,https://drive.google.com/file/d/1JarQib_H2-NDC-S_LV5gFdltpkXs3Wii/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/MasalaBurger.jpg,50,
,ProductType,5,"Inventory,Food,Cafe,Burger,Vegeterian,",70,,,,60,70
Super Veg Burger,ProductType,6,"Inventory,Food,Cafe,Burger,Vegeterian,",80,,https://drive.google.com/file/d/1BURM4ofsocZ3mN6mz1koFTtXlmXsk5uN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SuperVegBurger.jpg,70,80
Veg Grill Burger,ProductType,7,"Inventory,Food,Cafe,Burger,Vegeterian,",90,,https://drive.google.com/file/d/1eNr2QsvlCaVh0qC52M3BgymfDjJgPHRf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseGrillBurger.jpg,80,80
Dream Veg Burger,ProductType,8,"Inventory,Food,Cafe,Burger,Vegeterian,",110,,https://drive.google.com/file/d/1Jmi9toczs5ePRhcMrHTPtX_eKVQ-rnF5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/DreamVegBurger.png,100,110
Dream Roshtri Burger,ProductType,9,"Inventory,Food,Cafe,Burger,Vegeterian,",110,, ,,100,
Dream Super Burger,ProductType,10,"Inventory,Food,Cafe,Burger,Vegeterian,",120,,https://drive.google.com/file/d/1CoPlKM6V_EwioxYHvk_a4Movp_dSiyN1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/DreamSuperBurger.jpg,110,
Maggie,ProductClass,1,"Inventory,Food,Cafe,",,,https://drive.google.com/file/d/1tlzElR_-mFvrwPO5I7sxPlf89r-100c9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Maggie.png,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Maggie,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Maggie,",,,,,,
Classic Maggie,ProductType,4,"Inventory,Food,Cafe,Maggie,Vegeterian,",50,,https://drive.google.com/file/d/1_Y5Mr8VC7kITrAr1VB-rdveBb0NOcFcs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ClassicMaggie.jpg,,
Veg Masala Maggie,ProductType,5,"Inventory,Food,Cafe,Maggie,Vegeterian,",70,,https://drive.google.com/file/d/1H-mh0KuQhbrpaeF9RWzAmEqBkL37n1rN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegMasalaMaggie.jpg,,
Paneer Cheese Maggie,ProductType,6,"Inventory,Food,Cafe,Maggie,Vegeterian,",100,,https://drive.google.com/file/d/1e6MIHg12akpt3LDH40PqiFuYIWG2XEX9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PaneerCheeseMaggie.jpg,,100
Veg Masala Cheese Maggi,ProductType,7,"Inventory,Food,Cafe,Maggie,Vegeterian,",90,,https://drive.google.com/file/d/13PYZ2sryRyBKp1j04Om50jcr_BgRWZAY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegMasalaCheeseMaggi.jpg,80,
Pasta,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Pasta.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pasta,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pasta,",,,,,,
