label,nodeType,order,path,price,description,ingredients,link,imageLink,Swiggy ,Zomato 
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pizza,",,,,,,,
Cheese Pizza,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",150,," readymade pizza base,  shredded mozzarella,   ma ketchup,  powdered salt, pinch powdered black pepper,  chopped onion,  chopped ma,  chopped capsicum ( green pepper)
  chopped ma.",https://drive.google.com/file/d/1ibAkshRwNBPDtYX3ZUruYo60WtRPYT-G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheesePizza.jpg,,140
Cheese and Corn pizza,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,," readymade pizza base,  shredded mozzarella,   ma ketchup,  powdered salt, pinch powdered black pepper,  chopped onion,  chopped ma,  chopped capsicum ( green pepper)
  chopped ma, Corn.",https://drive.google.com/file/d/1zhSxdCGn4ia8rncG9V7gbPuSOXSI18AF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseCornPizza.jpg,,150
Onion and Capcicum Pizza,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,," pizza base, capsicum (green pepper),  pizza sauce, onion,black pepper ,oregano ,salt ,chilli flakes ,  mozzarella, ma.",https://drive.google.com/file/d/1TGCL6qDtr4Lr_Ql_M0nU5eFBLHp4Aegq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/OnionCapcicumPizza.png,,
Paneer Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,," medium pizza base,  pizza sauce,  cubed paneer, cubed capsicum ( green pepper),  mozzarella,  butter,",https://drive.google.com/file/d/1u7WOVmb81rwFFV_6ED2YJcMWRqayziuz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPizza.jpg,,150
Italian Pizza,ProductType,8,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,,,https://drive.google.com/file/d/1m6TAMQOI1rWdleb-mUWatEhWT1PqBLoa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ItalianPizza.jpg,,
Garlic Pizza,ProductType,9,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,," pizza dough,grated parmesan,olive oil, garlic cloves.",https://drive.google.com/file/d/1PxXGRUseqrCOzbbtLS_kXqJzd3PNafCZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/GarlicPizza.jpg,,150
Margherita Pizza,ProductType,10,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,," ball Best Pizza Dough, Best Homemade Pizza Sauce,  shredded mozzarella cheese or    ounces fresh mozzarella,  Best Basil Pes or Basil Cashew Pes,Semolina flour or cornmeal, for dusting the pizza peel.",https://drive.google.com/file/d/1KXIyjmMNTjfzRPrpG1lV1FB59-ItEwbd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargheritaPizza.jpg,,150
Paneer Masala Pizza,ProductType,11,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,,,https://drive.google.com/file/d/1Uhb4RBw7AKDJRQC-vLTJpoDbNmtodw4J/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PaneerMasalaPizza.jpg,,160
Paneer Tikka Pizza,ProductType,12,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,,"  whole wheat flour,  .  water,  dry active yeast,  olive oil,  salt ,    Paneer,  Hung Curd , bell pepper, onion,, ma ,  Ginger Garlic Paste,  Coriander Powder,  red chili powder, turmeric powder,  Garam Masala or tandoori masala, carom seeds,   lemon juice,  chaat masala,rock salt.",https://drive.google.com/file/d/1HY1LUJ8B1WSeKBagmPgHdLPidChbNsYK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerTikkaPizza.jpg,,160
Paneer Chilli pizza,ProductType,13,"Inventory,Food,Cafe,Pizza,Vegeterian,",180,,"Ready made Pizza base or Pizza dough ,Pizza Sauce ,Mozzarella Cheese ,Green Chillies – Sliced in thin pieces,Olive oil –  spray on p of the assembled pizza before baking,Pizza Seasoning – as needed,Paneer – Cubed  ,Onion – Cut in chunks,Thick yogurt ,Chilli Powder ,Turmeric Powder ,Garam Masala ,Salt .",https://drive.google.com/file/d/1W-x3gdpfiPHrJpRsmUCJy1sfjNhIl1zh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PaneerChillipizza.jpg,,170
All Topping Pizza,ProductType,14,"Inventory,Food,Cafe,Pizza,Vegeterian,",180,,,https://drive.google.com/file/d/1ui-HC6tQptq8ZpUfOhv5QsGKYtWJCC2v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AllToppingPizza.jpg,,160
Cafe Katta Special Pizza,ProductType,15,"Inventory,Food,Cafe,Pizza,Vegeterian,",180,,,https://drive.google.com/file/d/1LmEWpeS1TDo8TZC-DmA9WiTlsFtN4hhn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CaféKattaSpecialPizza.jpg,,160
Burger,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Burger,",,,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Burger,",,,,,,,
Veg burger,ProductType,4,"Inventory,Food,Cafe,Burger,Vegeterian,",70,," sliced onion, slices cheese slices,  powdered garam masala powder,  refined oil,  ginger paste, halved burger buns,  ma ketchup,  garlic paste, sliced ma,  powdered red chilli, pinch powdered salt,  breadcrumbs,  lemon juice,  butter, handful chopped coriander leaves, leaves lettuce looseleaf, peeled,sliced cucumber, mashed,boiled,peeled pota, chopped onion, chopped carrot,  shelled peas,  corn.",https://drive.google.com/file/d/1d4T4ocGTOibUjikI_CZrc4fkIRChDq8d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Burger.jpg,,55
Veg Cheese Burger,ProductType,5,"Inventory,Food,Cafe,Burger,Vegeterian,",80,," sliced onion, slices cheese slices,  powdered garam masala powder,  refined oil,  ginger paste, halved burger buns,  ma ketchup,  garlic paste, sliced ma,  powdered red chilli, pinch powdered salt,  breadcrumbs,  lemon juice,  butter, handful chopped coriander leaves, leaves lettuce looseleaf, peeled,sliced cucumber, mashed,boiled,peeled pota, chopped onion, chopped carrot,  shelled peas,  corn,Cheese.",https://drive.google.com/file/d/1BRIGvcNMtmyGxtykXr10OQnq4woHNBxu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCheeseBurger.jpg,,65
Sweet Corn Cheese Burger,ProductType,6,"Inventory,Food,Cafe,Burger,Vegeterian,",90,,,https://drive.google.com/file/d/1YpcoxLLme0lKQCacle_-tehMPyxQxOhE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SweetCornCheeseBurger.png,,75
Paneer Masala Burger,ProductType,7,"Inventory,Food,Cafe,Burger,Vegeterian,",90,,,https://drive.google.com/file/d/1LKBt2l_79D5J72NlOPyadeQwO3p-iYTs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PaneerMasalaBurger.JPG,,75
