label,nodeType,order,path,price,description,Ingredients,link,imageLink,Swiggy 
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pizza,",,,,,,
Veg Supreme Pizza,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,Exotic Veg , pizza base  teaspoon lemon juice  teaspoon garam masala powder / teaspoon chaat masala powder  / teaspoon minced garlic  teaspoon virgin olive oil For Garnishing  cup grated cheese- goat cheese  tablespoon chopped black olives  cup pizza sauce For Toppings / cup chopped onion / cup chopped carrot / cup sliced capsicum ( green pepper) / cup chopped tomato,https://drive.google.com/file/d/15J6mb-ZLaBTTfl8tenP8KxM-ErzBFO75/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegSupremePizza.png,
Veg Maxican Pizza,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,Exotic Veg ,"Pizza base-,Tomato- (cut into thin slices),Capsicum-(cut into thin slices),Carrot-(cut into thin slices),Pizza sauce- ,Chilli flakes-/ ,Mozzarella cheese Grated-,Oregano-/ ,
Black pepper powder-/ ",https://drive.google.com/file/d/1-6jltmBiwnGagyFScLPxqHuaI_Xl1p0l/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegMaxicanPizza.jpg,
Veg Exotica Pizza,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,Exotic Veg ,,https://drive.google.com/file/d/1jxCZmeV8_t-sxR1g7MWHvkLhnNheoDXn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegExoticaPizza.png,
Veg Tandoori Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,Exotic Veg ,"Pizza base ,Mozeralla cheese  cup,Salt  teaspoon,
Red chilly powder / teaspoon,Chilly flakes  teaspoon,Tomato ,
Capsicum ,Tandoori masala  teaspoon",https://drive.google.com/file/d/10JJASCn5dRJA7TbIHYp8JiZrya2zTa8h/view?usp=sharing,,
Extra Topping,ProductType,8,"Inventory,Food,Cafe,Pizza,Vegeterian,",45,Exotic Veg ,,,,
Crc Favourite Pizza,ProductType,9,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,Signature Veg ,,https://drive.google.com/file/d/1YTZIxbW3a1579WM2yHGpYhRVD5SWqjGC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CrcFavouritePizza.jpg,
Veg Spicy Pizza,ProductType,10,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,Signature Veg ,,https://drive.google.com/file/d/1Zd5Q4y5Qh1Qy48t-iA3BVSRUnnBiaUex/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegSpicyPizza.jpg,
Double Cheese Pizza,ProductType,11,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,Classic Veg ," pizza base,  pizza sauce,  chopped onion,
  chopped capsicum,  chopped green chili,
  boiled sweet corn, cup mozzarella cheese,
/ cup processed cheese,  oregano,  chili flakes,
  salt",https://drive.google.com/file/d/1GDbl-RFiNDshRr7wbWbUnUz7x-N67Utt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DoubleCheesePizza.jpg,
Farmer Choice Pizza,ProductType,12,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,Classic Veg ,,https://drive.google.com/file/d/1yTCBjCibVzH-JgUfFIuujk8zsk3X-D2h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/FarmerChoicePizza.jp.jpg,
Chilly Garlic Pizza,ProductType,13,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,Classic Veg ,,https://drive.google.com/file/d/14TzZE5mzneBpyQ2Hd-r2FljrfQJguOfJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerGrillSandwich.jpg,
Sandwich,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Sandwich,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Sandwich,",,,,,,
Veg Grill Sandwich,ProductType,4,"Inventory,Food,Cafe,Sandwich,Vegeterian,",60,," bread slice, boiled potato,/ red chilli powder,
/ cup aloo bhujiya sev,/ salt",https://drive.google.com/file/d/1Z_7tWSGBha_rd-j_GxKxVMvpxQ98tUK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Grill-Sandwich.jpg,75
Cheese Grill Sandwich,ProductType,5,"Inventory,Food,Cafe,Sandwich,Vegeterian,",70,,"ounce of grated cheese, medium carrot finely grated,
 mayonnaise, grated onion, butter,
 pepper sauce, mustard, pack White floured bread sliced",https://drive.google.com/file/d/114V2AWJXeQosuSrLPbnn-7qNzQrDG8q_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseGrillSandwich.jpg,99
Paneer Grill Sandwich,ProductType,6,"Inventory,Food,Cafe,Sandwich,Vegeterian,",80,,Paneer  pack /  Chilli powder /  Pepper powder /  jeers powder /  Cinnamon powder   Honey   oil for mixing Masala   Oil for frying  salt  Chilli flakes   finely chopped Coriander leaves,https://drive.google.com/file/d/1TMfttEFTe1DgW-gxITtG4N9BGhiKpE24/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerGrillSandwich.jpg,
Potato Pop Grill sandwich,ProductType,7,"Inventory,Food,Cafe,Sandwich,Vegeterian,",,,,https://drive.google.com/file/d/1ZizBAUqnwXK3avJbkZcfcjKenw_cCw7l/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PotatoPopGrillsandwich.jpg.jpg,
Cheese Corn Grill Sandwich,ProductType,8,"Inventory,Food,Cafe,Sandwich,Vegeterian,",80,," bread slice,  butter,  oil,  ginger garlic paste,
 cup chopped palak, cup boiled sweet corn kernal,
 cheese cube,  salt,  black paper powder,
  chili flakes",https://drive.google.com/file/d/15aMRxp9xfp05Jy_u_WPSSK8_cSVttZLZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseCornGrillSandwich.jpg,
Jam Sandwich,ProductType,9,"Inventory,Food,Cafe,Sandwich,Vegeterian,",,,,https://drive.google.com/file/d/1aRKtMrT3Um6w8E7JGSjEus4C_KNO5T7t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/JamSandwich.jpg,
Chocolate Sandwich,ProductType,10,"Inventory,Food,Cafe,Sandwich,Vegeterian,",80,,"Bread slice ,Chocolate spread ,
Oil  (if required )",https://drive.google.com/file/d/1Eg5xgm79V5-0vaW7QEk45JaQ6CPTSpRh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChocolateSandwich.jpg,
Grill Paneer Sezwan sandwich,ProductType,11,"Inventory,Food,Cafe,Sandwich,Vegeterian,",90,," slices Bread,  cottage cheese/paneer,
 cup red,yellow,green capsicum, onions, small tomato,
 green chilli,  black pepper,  oil,
  oregano/mixed herbs,  red chilli flakes",https://drive.google.com/file/d/1tDW5VASPr10_4aB_2A5m_ymFx97eG4GA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/GrillPaneerSezwansandwich.jpg,
