label,nodeType,order,path,price,description,link,imageLink
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegeterian.jpg,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
NonVegeterian ,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegeterian.jpg
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,
Chicken Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian ,",100,,https://drive.google.com/file/d/1lG9zkNFhc3URyGvbqLoe5-QIZDdQCsIA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2/ChickenRice.jpg
Chicken Rice Full,ProductType,5,"Inventory,Food,Restaurant,Rice,NonVegeterian ,",100,,https://drive.google.com/file/d/1p9SgatvlGOj2mOKUELE9GgMKd8PuPjVs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2/ChickenRiceFull.jpg
Chicken Rice Half,ProductType,6,"Inventory,Food,Restaurant,Rice,NonVegeterian ,",50,,https://drive.google.com/file/d/1b7O9bgxpjho6oIzkMcWcoVpuErfG-i_L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2/ChickenRiceHalf.jpg
Chicken Schezwan Rice,ProductType,7,"Inventory,Food,Restaurant,Rice,NonVegeterian ,",120,,https://drive.google.com/file/d/1qhlBeL0qw1qVJHTfNNlpSjtDE2cMntTk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRice.jpg
Chicken Schezwan Rice Full,ProductType,8,"Inventory,Food,Restaurant,Rice,NonVegeterian ,",120,,https://drive.google.com/file/d/18hYnh0v5bknsWQAES4M4jqWwoHZjWrZ8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRiceFull.jpg
Chicken Schezwan Rice Half,ProductType,9,"Inventory,Food,Restaurant,Rice,NonVegeterian ,",70,,https://drive.google.com/file/d/1oY_GmqQen2qZqQu-Pwb5kyWXv1KLN-GH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRiceHalf.jpg
Chicken Singapuri Rice,ProductType,10,"Inventory,Food,Restaurant,Rice,NonVegeterian ,",150,,https://drive.google.com/file/d/1x5GuRerf1dr7r379n6Vf0ypAO8Def5Dr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSingapuriRice.jpg
