label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato,,,,,,,,,,,,,,,,
Ice Cream,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1qkYDEbRphUMbXzGECK6SMPvufS5OKmNi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IceCream.jpg,,,,,,,,,,,,,,,,,,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Ice Cream,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Ice Cream,",,,,,,,,,,,,,,,,,,,,,,
Vanila Gold Ice Cream,ProductType,4,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1N_aDiL8C2r_yzuTsgqWsjE2PteVK9bGd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/VanilaGoldIceCream.jpg,60,60,,,,,,,,,,,,,,,,
Choco Chips Ice Cream,ProductType,5,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1b0swBT7MzzVrQMKcacHRbD_Im4gwrQQl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/ChocoChipsIceCream.jpg,60,60,,,,,,,,,,,,,,,,
Fruit Over Load Ice Cream,ProductType,6,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,,,60,60,,,,,,,,,,,,,,,,
Butterscotch Ice Cream,ProductType,7,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1OmVwWWpp-I5NkeTGpbc4MKub0QdimcUL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterscotchIceCream.jpg,60,60,,,,,,,,,,,,,,,,
Black Currant Ice Cream,ProductType,8,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1GUQHrL508yTQj4LcFwEVuZefzyiufJIG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/BlackCurrantIceCream.jpeg,60,60,,,,,,,,,,,,,,,,
Mango Ice Cream,ProductType,9,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1uqPSpgSPzXUjCg8HRC_bT9Pu8KSeUOT5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoIceCream.jpg,60,60,,,,,,,,,,,,,,,,
Strawberry Ice Cream,ProductType,10,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1OjhtOcogtVerazjOYpKXg7y_kYaViLP8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/StrawberryIceCream.jpg,60,60,,,,,,,,,,,,,,,,
Sitafal Ice Cream,ProductType,11,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1LHiGgpbe8Sis9ZlKaXGJDV3zEHyZMypJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SitafalIceCream.jpg,60,60,,,,,,,,,,,,,,,,
Anjeer Badam Ice Cream,ProductType,12,"Inventory,Food,Restaurant,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1nNL6NVstS8KtGX8DwyvtpuzkIXpHeNts/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/AnjeerBadamIceCream.jpeg,60,60,,,,,,,,,,,,,,,,
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,,,,,,,,,,,,,,,,,,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,,,,,,,,,,,,,,,,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Beverages,",,,,,,,,,,,,,,,,,,,,,,
Mineral Water,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1dE6p3x7iaL_Ob1eUU_qTV5Mgo1QFiBzv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MineralWater.jpg,20,20,,,,,,,,,,,,,,,,
Mineral Water 500ml,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",10,,https://drive.google.com/file/d/1T4y1KW65hB4ExOf-F7BRHzBXIc9fGbN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MineralWater500ml.jpg,10,10,,,,,,,,,,,,,,,,
