label,nodeType,order,path,price,ingredients,link,imageLink,description
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
Chicken Dam Biryani 1Plate,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,",80,"  chopped chicken,  garam masala powder, ml water, boiled basmati rice, ml ghee, cup wheat flour,3  beaten yoghurt (curd),5  ginger paste,  mint leaves,5  garlic paste,salt as required,  thinly sliced onion,
  red chilli powder, dashes saffron, tablespoon onion,3 tablespoon water,etc.",https://drive.google.com/file/d/1wRIg_Tx5t43DPeuZt9guGmvhvtSRxaxe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenDamBiryani1Plate.png,
Chicken Dam Biryani 1kg,ProductType,5,"Inventory,Food,Restaurant,Rice,NonVegeterian,",850," Chicken , rice, tsp Red chilli powder, tsp Ginger-garlic paste,/ cup Yogurt,/ tsp Turmeric powder, tsp Coriander powder, tsp Garam masala powder, / tsp Salt, cups Water,5 Cardamoms, stick Cinnamon, Black cardamom,5 Black peppercorn, tbsp Ghee,",https://drive.google.com/file/d/1Y12PF72ROKLl8oZTSMZtSdiAn1ynnPUP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenDamBiryani1kg.jpg,
Mutton Dam Biryani 1Plate,ProductType,6,"Inventory,Food,Restaurant,Rice,NonVegeterian,",200,"  chopped Mutton,  garam masala powder, ml water, boiled basmati rice, ml ghee, cup wheat flour,3  beaten yoghurt (curd),5  ginger paste,  mint leaves,5  garlic paste,salt as required,  thinly sliced onion,
  red chilli powder, dashes saffron, tablespoon onion,3 tablespoon water,etc.",https://drive.google.com/file/d/1lYyBW9aB3k2SLxg6-xbczLZ3Cfp0cHJB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonDamBiryani1Plate.jpg,
Mutton Dam Biryani 1kg,ProductType,7,"Inventory,Food,Restaurant,Rice,NonVegeterian,",1400," Mutton , rice, tsp Red chilli powder, tsp Ginger-garlic paste,/ cup Yogurt,/ tsp Turmeric powder, tsp Coriander powder, tsp Garam masala powder, / tsp Salt, cups Water,5 Cardamoms, stick Cinnamon, Black cardamom,5 Black peppercorn, tbsp Ghee,",https://drive.google.com/file/d/1HwoFgZMLz2tY6mU79PCHx8L35fnfB5w7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonDamBiryani1kg.jpg,
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Chicken Curry 1Plate,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",140,,https://drive.google.com/file/d/1w5_fPV30YvkY4pNBw9foLEcYAqxljlGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenCurry1Plate.jpg,
