label,nodeType,order,path,price,ingredients,link,imageLink
Rice,ProductClass,1,"Inventory,Food,Restaurant,",@,,@,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",@,,@,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",@,,,
Chicken Dam Biryani 1Plate,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,",80,"  chopped chicken,  garam masala powder,  water, boiled basmati rice,  ghee,  wheat flour,  beaten yoghurt (curd),  ginger paste,  mint leaves,  garlic paste,salt ,  thinly sliced onion,
  red chilli powder, dashes saffron,  onion,  water,etc.",https://drive.google.com/file/d/1wRIg_Tx5t43DPeuZt9guGmvhvtSRxaxe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenDamBiryani1Plate.png
Chicken Dam Biryani 1kg,ProductType,5,"Inventory,Food,Restaurant,Rice,NonVegeterian,",850," Chicken , rice,  Red chilli powder,  Ginger-garlic paste,  Yogurt,  Turmeric powder,  Coriander powder,  Garam masala powder,   Salt,  Water, Cardamoms, stick Cinnamon, Black cardamom, Black peppercorn,  Ghee,",https://drive.google.com/file/d/1Y12PF72ROKLl8oZTSMZtSdiAn1ynnPUP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenDamBiryani1kg.jpg
Mutton Dam Biryani 1Plate,ProductType,6,"Inventory,Food,Restaurant,Rice,NonVegeterian,",200,"  chopped Mutton,  garam masala powder,  water, boiled basmati rice,  ghee,  wheat flour,  beaten yoghurt (curd),  ginger paste,  mint leaves,  garlic paste,salt ,  thinly sliced onion,
  red chilli powder, dashes saffron,  onion,  water,etc.",https://drive.google.com/file/d/1lYyBW9aB3k2SLxg6-xbczLZ3Cfp0cHJB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonDamBiryani1Plate.jpg
Mutton Dam Biryani 1kg,ProductType,7,"Inventory,Food,Restaurant,Rice,NonVegeterian,",1400," Mutton , rice,  Red chilli powder,  Ginger-garlic paste,  Yogurt,  Turmeric powder,  Coriander powder,  Garam masala powder,   Salt,  Water, Cardamoms, stick Cinnamon, Black cardamom, Black peppercorn,  Ghee,",https://drive.google.com/file/d/1HwoFgZMLz2tY6mU79PCHx8L35fnfB5w7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonDamBiryani1kg.jpg
Entree,ProductClass,1,"Inventory,Food,Restaurant,",@,,@,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",@,,@,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",@,,,
Chicken Curry 1Plate,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",140,,https://drive.google.com/file/d/1w5_fPV30YvkY4pNBw9foLEcYAqxljlGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenCurry1Plate.jpg
