label,nodeType,order,path,price,description,link,imageLink,Swiggy
Kaeng Phet (Red Curry),ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1nJCfGP9PZ89B3WmHIwlQVo__BQJKC7KF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/KaengPhetRedCurry.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),",,,,,
Mix Vegetables,ProductType,4,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,",400,,https://drive.google.com/file/d/1g2Vu6CmKby4VHMUiU6gF2pLXOepdJwhK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/MixVegetables.jpg,
Mix Vegetables Full,ProductUnit,5,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,Mix Vegetables,",400,,https://drive.google.com/file/d/1n0F-7O_5QfEF5Wdtd0583Bt5XKifV5to/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/MixVegetablesFull.jpg,
Mix Vegetables Half,ProductUnit,6,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,Mix Vegetables,",300,,https://drive.google.com/file/d/133o32wUYWOfz8_iRsB3snjuWSJfhPpJ7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/MixVegetablesHalf.jpg,
Potato With Vegetables,ProductType,7,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,",400,,https://drive.google.com/file/d/1mi-bew-vefgB7EJMYqzbRKjEXP_tl1pb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/PotatoWithVegetables.jpg,
Potato With Vegetables Full,ProductUnit,8,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,Potato With Vegetables,",400,,https://drive.google.com/file/d/1hnHGIQz0obZiI-blMAMGubkzWV3SNIGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/PotatoWithVegetablesFull.png,
Potato With Vegetables Half,ProductUnit,9,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,Potato With Vegetables,",300,,https://drive.google.com/file/d/15Nxh9j2yEW0afFN56pBVHVdj0W85YO7Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/PotatoWithVegetablesHalf.jpg,
Bean Curd With Vegetables,ProductType,10,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,",400,,,,
Bean Curd With Vegetables Full,ProductUnit,11,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,Bean Curd With Vegetables,",400,,,,
Bean Curd With Vegetables Half,ProductUnit,12,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,Bean Curd With Vegetables,",300,,,,
Cottage Cheese,ProductType,13,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,",400,,https://drive.google.com/file/d/17icqGp9btB8-I1fvi9lCxWS7zUOyKZwD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/CottageCheese.jpg,
Cottage Cheese Full,ProductUnit,14,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,Cottage Cheese,",400,,https://drive.google.com/file/d/1Lg9kmwV6haSpEhaBGRUQddo73wC0KjW9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/CottageCheeseFull.jpg,
Cottage Cheese Half,ProductUnit,15,"Inventory,Food,Restaurant,Kaeng Phet (Red Curry),Vegeterian,Cottage Cheese,",300,,https://drive.google.com/file/d/1Lg9kmwV6haSpEhaBGRUQddo73wC0KjW9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/CottageCheeseFull.jpg,
Kaeng Khiao Wan (Green Curry),ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1EAPpombaAXdnHeR6gHQ2WT4C70YYqbj5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/KaengKhiaoWanGreenCurry.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Kaeng Khiao Wan (Green Curry),",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Kaeng Khiao Wan (Green Curry),",,,,,
Mix Vegetables,ProductType,4,"Inventory,Food,Restaurant,Kaeng Khiao Wan (Green Curry),Vegeterian,",400,,https://drive.google.com/file/d/1g2Vu6CmKby4VHMUiU6gF2pLXOepdJwhK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/MixVegetables.jpg,
Mix Vegetables Full,ProductUnit,5,"Inventory,Food,Restaurant,Kaeng Khiao Wan (Green Curry),Vegeterian,Mix Vegetables,",400,,https://drive.google.com/file/d/1n0F-7O_5QfEF5Wdtd0583Bt5XKifV5to/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/MixVegetablesFull.jpg,
