label,nodeType,order,path,price,description,ingredients,link,imageLink
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Mutton Curry,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",130,," coriander powder, onions thinly sliced,  Garlic paste,salt ,  ghee,  water,  ghee,  Yoghurt,  Ginger Paste,  red chilli powder,
 Tomatoes finely chopped,  Garam masala powder,  turmeric,etc.""",https://drive.google.com/file/d/1CP3wcgWMWMVL_sPTGa280Id7ztTSw8-C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonCurry.jpg
Mutton Masala,ProductType,5,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,," washed and ,  oil, onions finely sliced,  gingergarlic paste,  salt,  chilli powder red,  turmeric powder,  coriander powder,          cumin powder, tomatoes finely chopped, tomatoes finely chopped,  yogurt,          coriander leaves chopped,  n masala powder,          garam masala powder,""",https://drive.google.com/file/d/1-4YOHkbknBQIIukm4yZwJM6f8unGYrqS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonMasala.jpg
Mutton Lapeta,ProductType,6,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,,https://drive.google.com/file/d/1tjF1qRWH5WNXuSK7LBxRrKGKkV2CAIpn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonLapeta.jpg
Mutton Hyderabadi,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,,https://drive.google.com/file/d/1kPUTpvkvYdUE34RBwE5zp36JGKWgXkbj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonHyderabadi.jpg
Mutton Mughlai,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,,https://drive.google.com/file/d/1bo2qiBXkIDblnParmmXE38A0LYlKOlTs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonMughlai.jpg
Mutton Rada,ProductType,9,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,,https://drive.google.com/file/d/14iK7SckVuFb7tuHX2P30w65s3FdgIsSz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MuttonRada.jpg
Mutton Maharaja,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterian,",200,,"Coriander, Ground, Coriander, Fresh, Garlic  , Green chile , Onions , large, Red chile,  Lemon juice,  Garam masala,  Pepper, Ground, Poppy seeds  , ground, Salt,  Turmeric,Almonds,  Cumin seeds, Black, Pistachios  ,  Yogurt.",https://drive.google.com/file/d/1QYlDYZaAtY8pK8esV8Zrq21tPP5vwxE1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MuttonMaharaja.jpg
Mutton Punjabi,ProductType,11,"Inventory,Food,Restaurant,Entree,NonVegeterian,",200,,"  coriander powder, onion,  garlic paste,clove, green cardamom, cinnamon stick,salt ,  water,  ghee,  yoghurt (curd),  ginger paste,  red chilli powder, tomato, peppercorns,  garam masala powder,  turmeric.",https://drive.google.com/file/d/1ceXqHGANRKZspBGQ8mPk2TX8yJ0ZEWwQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MuttonPunjabi.jpg
Mutton Fry,ProductType,12,"Inventory,Food,Restaurant,Entree,NonVegeterian,",130,,"finely chopped,   Ginger garlic paste,  Turmeric powder,  Chilli powder,  Vegetable oil,  Water,to taste Salt,  Oil, Cloves,  Garam masal, Curry leaves, Onion, finely chopped, Green chillies, sliced,For garnishing Spring onion.",https://drive.google.com/file/d/19UlcaHpNTF7E8S6xFlTvhyUuq3L1fZAq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonFry.jpg
Mutton 65,ProductType,13,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,,"Salt  ,Oil  ,Curry leaves  ,onion  ,Egg  , Pepper powder  ,",https://drive.google.com/file/d/17FU5WThDFgl1RHg7gsaWyoBpQ1CSgTQg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mutton65.jpg
Methi Mutton,ProductType,14,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,," potato, small bunch  methi leaves,  coconut paste,  onion paste,  ginger garlic paste, chopped tomato,  chilli powder,  coriander powder,  turmeric powder,  garam masala,Oil  required ,Salt  required ,Ghee.",https://drive.google.com/file/d/1xAXll5t9PRqhooFMBgyXzwqabGwPFldy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MethiMutton.jpg
Mutton Vharadi,ProductType,15,"Inventory,Food,Restaurant,Entree,NonVegeterian,",160,,,https://drive.google.com/file/d/1nvePXbyxY07xAVQKslkcijrWMmFwktWZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MuttonVharadi.jpg
Mutton Malvani,ProductType,16,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,", Onions , . Cumin Seeds or Jeera, . Carraway Seeds or Shahi Jeera, . Coriander Powder, Peppercorns, Cloves, Green Cardamoms, Black Cardamom,. . Poppy Seeds or Khus khusPosto, Almonds, Cashew, Dried Red Chilies, . Turmeric Powder,Salt to Taste,   Water.",https://drive.google.com/file/d/1U6-prvcNol57Jwxj5DTbUo1HTRC6R2hR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonMalvani.jpg
Mutton Ukkad,ProductType,17,"Inventory,Food,Restaurant,Entree,NonVegeterian,",130,,,https://drive.google.com/file/d/1NWl-KjpZxO_cKTMN8WuNfEd_WfGvxLjM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonUkkad.jpg
Mutton Danish Special,ProductType,18,"Inventory,Food,Restaurant,Entree,NonVegeterian,",380,,,,
