label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Veg Seekh Kabab,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",220,,https://drive.google.com/file/d/10MBSTG04AZlMyzKjsK7C7Avj9fHUSFpH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSeekhKabab.jpg,,
Corn Palak Seekh,ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",230,,https://drive.google.com/file/d/1QxM4i_LzzbusX0e-mK9g725EZ9ctYZMf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CornPalakSeekh.jpg,,
Sabz Methi Seekh,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",230,,,,241,295
Malai Paneer Seekh,ProductType,7,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",240,,https://drive.google.com/file/d/1dFpyRSQWT6zx3QMph9XgNWP0lGM_tcwu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MalaiPaneerSeekh.jpg,,
Corn Cheese Balls,ProductType,8,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",250,,https://drive.google.com/file/d/15jfsACArS7t4AS2VqvdJNxQ0E9IL8gwx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/CornCheeseBalls.jpg,,
Spinach Cheese Balls,ProductType,9,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",240,,https://drive.google.com/file/d/1aOBvSHH5qY7VS8cKKQd7VBZ46OEjTlCk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SpinachCheeseBalls.jpg,,
Veg Cheese Balls,ProductType,10,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",240,,https://drive.google.com/file/d/1_jAW7aPFCMGPbikCb0PkGb1qEuwMH1ZZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/VegCheeseBalls.jpg,,
