label,nodeType,order,path,price,description,link,imageLink,Zomato
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Sabja Maratha,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,,,,
Sabja Bhuna,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,,,,
Sabja Angara,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,,,
Sabja Begam Bahar,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",250,,,,
Sabja Mamataz,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,,,
Sabja Lajawab,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,,,
Sabja Patiyala,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",220,,,,
Sabja Sabnam,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,,,
Sabja Maharaja,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",220,,,,
Garden Veli Spl,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",300,,,,
Paneer Butter Masala,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,210
Paneer Tikka Masala,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,210
Paneer Rajwada,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,https://drive.google.com/file/d/1WTgQYVC59AUvBzwV4dSwVHzRDkOnuPX8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerRajwada.jpg,230
Paneer Kadai,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,https://drive.google.com/file/d/1XGINKnRA5noOl2-dVsUXFUaDbO_Zft62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadai.jpg,
Paneer Handi,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",220,,https://drive.google.com/file/d/16FIXd77bHP3EkwponZbxdiXpg0NC_-Vi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHandi.jpg,250
Paneer Kofta,ProductType,19,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,,https://drive.google.com/file/d/1KcYDcZ4QMe9pvL3rJhN3-ef5umFHRmhR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKofta.jpg,260
Paneer Bhurji,ProductType,20,"Inventory,Food,Restaurant,Entree,Vegeterian,",220,,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg,250
Paneer Lasuniya,ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",250,,https://drive.google.com/file/d/17RTptF2HLsHq7eFSghhZjE4ei11JQCDM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerLasuniya.jpg,
Paneer Dhuvadhar,ProductType,22,"Inventory,Food,Restaurant,Entree,Vegeterian,",250,,https://drive.google.com/file/d/1F1Af-mVdH3jdXpqKHPcTIyd4ddp63U8M/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerDhuvadhar.jpg,
Paneer Maharaja,ProductType,23,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,https://drive.google.com/file/d/1uxRcqyWz2PPNy_OT68WoRCRXooizCZGZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMaharaja.jpg,230
Paneer Kaju Masala,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,https://drive.google.com/file/d/1AGNrAkqtM6JP5SPTBrIrjqgW4lHKZBeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKajuMasala.jpg,230
Paneer Kaju Angara,ProductType,25,"Inventory,Food,Restaurant,Entree,Vegeterian,",250,,https://drive.google.com/file/d/1LMUDLjEfG7jp_xJZuggSWoAzLX6I-Fwx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerKajuAngara.jpg,280
Kaju Masala,ProductType,26,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,https://drive.google.com/file/d/1jk05_NhTywUDWFYjKrbLV45fLqWAkGm0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuMasala.jpg,230
Paneer Mushroom Masala,ProductType,27,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,https://drive.google.com/file/d/1hFQHV54beax3XvRNrLGy-Pw57tKxjhA3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMushroomMasala.jpg,230
Mushroom Masala,ProductType,28,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,210
Mushroom Maratha,ProductType,29,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,,https://drive.google.com/file/d/1AqqHvioA8ACjaPdC3nLhyXkoiIkpGKii/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomMaratha.jpg,210
