label,nodeType,order,path,price,description,ingredients,link,imageLink
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,
Onion Pakoda,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,," grams onion, chilli ,  coriander,  chilli powder,¼  turmeric,¼  cumin powder,¼  ajwain,  ginger paste,¾  salt,½ cup besan / gram flour,¼ cup rice flour,oil (for frying).",https://drive.google.com/file/d/1GSiQ3dldo8AURsDTZvnk5venQv5TLYWe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionPakoda.jpg
Finger Chips,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,," large potato,cold water,oil (for frying),½  chilli powder,½  salt",https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg
Matki Fry,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,",cup Ankurit moth,/ cup Onion chopped,/ cup Tomato chopped,  Green chilli chopped,/  Turmeric powder,  Coriander chilli powder  oon,as per taste Salt, cup Water,  Coriander,  Oil.",https://drive.google.com/file/d/1wRz1Wq71HsdPwf6VK_T6eNbhILB5XxLr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MatkiFry.jpg
Paneer Pakoda,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",160,," to  grams Paneer , cup besan, pinch turmeric powder, to  pinches red chili powder, pinch asafoetida (hing), to  pinches Garam Masala,½ teaspoon carom seeds (ajwain),⅔ to ¾ cup water or as required.",https://drive.google.com/file/d/1GXXvajp0oAFz1nuXU7rs31No579wKwgl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPakoda.jpg
Paneer Chilli,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",180,,"¼ cup corn flour,  maida / plain flour,  ginger garlic paste,½  kashmiri red chilli powder,¼  pepper powder,½  salt,¼ cup water, cubes paneer / cottage cheese,oil ( for frying), clove garlic, chilli,  spring onion,½ onion,½ capsicum,  chilli sauce,  tomato saue,  vinegar,  soy sauce,¼  kashmiri red chilli powder,¼  pepper powder,¼  salt,  corn flour,  water.",https://drive.google.com/file/d/1Kk0U0y2YhiaEMjyJl-zWAzSE1Y1J7mHd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paneerchilli.jpg
Soyabean Roast,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,," cups soya chunks, onions (sliced), green chilies (slit),  ginger garlic paste,  chili powder,¼ teaspoon turmeric powder,  coriander powder,½  chicken masala, sprigs curry leaves,  sliced coconut pieces,  mustard seeds,salt (as required),oil (as required).",https://drive.google.com/file/d/1kyP3UX3RO5K8__8zfLlJoGx_1pkW-wGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SoyabeanRoast.jpg
Soyabean Fry,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,," cup soya chunks,. to  cups water, pinch salt, inch cinnamon, cloves, green cardamom, cup thinly sliced onions, teaspoon finely chopped ginger, teaspoon finely chopped garlic, to  curry leaves, to  green chillies,½ cup finely chopped tomatoes,¼ teaspoon turmeric powder.",https://drive.google.com/file/d/1yeQta5qvP54FwQW3ZecQX2CKGKMIr9w1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SoyabeanFry.jpg
Soyabean Chilly,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,," cup soya chunks, spoon maida , spoon cornflour, pod Chopped garlic, inch Chopped ginger,- Chopped green chillies, Chopped onion, Chopped capsicum,- Chopped beans,/ cup Tomato sauce, spoon soya sauce,as per taste Salt,as needed Oil, pinch sugar,leaves Few chopped coriander,  black pepper powder.",https://drive.google.com/file/d/1lvyqgd8UAqcAO43z_qJcnOt32Wo24JxS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/SoyabeanChilly.jpg
Chilli Cut Pakoda,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,,https://drive.google.com/file/d/1IwEFAhrcfKvdgWoGT55sWrpc_I-kYk0T/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChillicutPakoda.jpg
Veg Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/13d5-RS6K5zB_it7T2SUJig2uLnC9EIKd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/VegEntree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Entree,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Entree,",,,,,
Dal Fry,ProductType,4,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",100,,"½ cup toor dal,. cups water , pinch turmeric powder, to  tablespoons oil (,½ to ¾ teaspoon mustard seeds, teaspoon cumin seeds,⅓ cup finely chopped onions, green chilies , to  dry red chilies, to  curry leaves, to  pinches asafoetida powder ,¼ to ½ teaspoon Garam Masala,etc.",https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg
Jeera Dal,ProductType,5,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",90,,"Masoor Dal / cups,Toowar Dal / cups,Dry Red Chilli  nos,turmeric powder  ,Asafoetida / ,Cumin Seeds  ,green chilli  nos,Coriander leaves  sprig,Garlic chopped  ,Ghee  ,Salt as per taste  ./  kashmiri chilli powder,/  garam masala powder,  kasoori methi,  coriander leaves, cups water + as needed,salt to taste.",https://drive.google.com/file/d/1EJ7aQXFCzNGyeOGe3YgKlynwaIM20zh1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraDal.jpg
Dal Tadka,ProductType,6,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",110,,"½ cup toor da,  masoor dal ,¼  turmeric,½  salt,  oil,½ cup water,  ghee / clarified butter,½  cumin / jeera, bay leaf / tej patta,pinch hing / asafoetida, dried red chilli, clove garlic , inch ginger, chilli (slit),¼  turmeric,½  kashmiri red chilli powder,½  coriander powder,½  salt, tomato ,  coriander,  kasuri methi ,¼  garam masala.",https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg
Shev Bhaji,ProductType,7,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,,https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg
Aloo Gobi,ProductType,8,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,"  oil, florets gobi / cauliflower, potato / aloo (peeled & chopped),  oil,  cumin / jeera,   kasuri methi, onion (finely chopped),   ginger garlic paste, chilli (slit),¼  turmeric,½  kashmiri red chilli powder,½  coriander powder,¼  cumin powder / jeera powder,¾  salt, tomato (finely chopped),½  aamchur,¼  garam masala,  coriander (finely chopped).",https://drive.google.com/file/d/1Uuw5SMoYhoRvHYS3NhDOTKkhMNUrcQyW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooGobi.jpg
Baigan Masala,ProductType,9,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",130,,,https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg
Tawa Besan,ProductType,10,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,," Green chilies,  Garlic, Lemon,to taste Salt, Onion,/ cup Gramflour / besan,as needed Oil,/  Turmeric powder.",https://drive.google.com/file/d/1CArwuE_kuHJJKpUhuQUQ0YQrQFCgiwhH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Besan.jpg
Matki Masala,ProductType,11,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,,https://drive.google.com/file/d/1Rkde83_ZidHQIBT5A9z34-kzUFm4EJNb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MatkiMasala.jpg
Soyabean Masala,ProductType,12,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,,https://drive.google.com/file/d/1XJaHLE_WmdYQz2tocg2xXzmrZfS11UJo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Soyabean-Masala.jpg
Mushroom Masala,ProductType,13,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg
Kaju Curry,ProductType,14,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",170,,"""/  salt, cup water,  kasuri methi / dry fenugreek leaves, crushed,
  coriander leaves, finely chopped,FOR ONION TOMATO PASTE:   oil,
 onion, finely chopped, large tomato, finely chopped,  ginger-garlic paste,  ghee / clarified butter,  oil",https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg
Paneer Masala,ProductType,15,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg
Paneer Butter Masala,ProductType,16,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg
Paneer Tikka,ProductType,17,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",170,," to  grams Paneer,½ cup diced onions,½ diced capsicum, grams Hung Curd , tablespoon Ginger Garlic Paste, teaspoons kashmiri red chili powder,½ teaspoon turmeric powder, teaspoon cumin powder , teaspoon Coriander Powder,½ teaspoon Garam Masala, teaspoon ajwain , teaspoon chaat masala,½ teaspoon black pepper powder ,. teaspoons lemon juice, tablespoon mustard oil ,½ teaspoon black salt,salt as required.",https://drive.google.com/file/d/1PJwE1sbtvBu26CpKRTyXSOwWl4B0uAHa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerTikka.jpg
Palak Paneer,ProductType,18,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,"  Spinach, pureed,- Paneer cubes,  Oil,  Cumin seeds, Bay leaf,  Ginger, finely chopped,  Garlic, finely chopped, cup Onion paste (boiled), grated,/ cup Tomato, pureed,  Salt,/  Garam masala,/  Red pepper, powdered,/  Coriander powder, nos Black cardamom (crushed),  Cream.",https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg
Paneer Angara,ProductType,19,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",200,,,https://drive.google.com/file/d/1TWKrad110VxkZ1Kp11_hACH784etr3za/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerAngara.jpg
