label,nodeType,order,path,price,description,link,imageLink,ingredients
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Pav Bhaji,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,"½ cup vegetable oil,2 teaspoons chopped garlic,1 teaspoon finely chopped green chile peppers,1 cup chopped onions,2 teaspoons grated fresh ginger,1 cup chopped roma (plum) tomatoes,2 cups cauliflower, finely chopped,1 cup chopped cabbage,1 cup green peas,1 cup grated carrots,4 potatoes, boiled and mashed,3 tablespoons pav bhaji masala,salt to taste,1 tablespoon lemon juice,1 tablespoon finely chopped green chile peppers,etc"
Puri Bhaji,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png,"4 boiled,peeled,mashed potato,1 tablespoon cumin seeds,1 tablespoon turmeric,2 tablespoon red chilli powder,1 handful coriander leaves,1 tablespoon asafoetida,2 cup wheat flour,4 tablespoon vegetable oil,2 tablespoon coriander powder,2 chopped green chilli,2 tablespoon lemon juice,salt as required,2 cup water."
Poha,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1C1VIAEcUgAVE98U1_a1ZxX8cV2Twhf1E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Poha.jpg,"Thick poha – 2 cups,Oil – 2 tbsp,Curry leaves – 1 sprig,Mustard seed – 1 tsp,Peanuts – 1/4 cup,Onion – 1 cup (chopped),Green peas – 1/2 cup,Green chili – 2-3,Salt to taste,Turmeric powder – 1 tsp,"
Sheera,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1t3rhL9TIVK5bGfVTlUXlxsqMfVJ5oiwU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheera.jpg,"2 tbsp ghee,7 cashew / kaju ,2 tbsp raisins,½ cup rava / semolina / suji,1½ cup water,½ cup sugar."
Onion Pakoda,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1GSiQ3dldo8AURsDTZvnk5venQv5TLYWe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionPakoda.jpg,"400 grams onion,3 chilli ,2 tbsp coriander,1 tsp chilli powder,¼ tsp turmeric,¼ tsp cumin powder,¼ tsp ajwain,1 tsp ginger paste,¾ tsp salt,1½ cup besan / gram flour,¼ cup rice flour,oil (for frying)."
Sabudana Khichdi,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1e1uMS18TS-r3TfI7pxUzytlfmY73uUyZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaKhichdi.jpg,
Sabudana Vada,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1O6ziuAElEJ630iq-ZT8Wo5XdrYKapzLW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaVada.jpg,"1 cup sabudana,water as required,2 potatoes,½ cup roasted peanuts,8 to 10 curry leaves,1 teaspoon grated ginger,1 green chili,¼ cup grated fresh coconut,½ to 1 teaspoon lemon juice,3 tablespoons peanut oil ,1 to 2 tablespoons chopped coriander leaves."
Finger Chips,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,"3 Big sized potato ( finger chopped),Oil 200gm for deep fry,
Salt 1/2 tsp,Black pepper 1/2 tsp."
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,Main Courses,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Shevga Fry,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1f7PbcO_3bQCFZTl4CwK3BRaN7dNTFqkR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevga-Fry.jpg,"2 drumsticks,2 tea spns coriander powder,1 tea snp chilli powder,1/2 tea spn turmeric powder,8-9 leaves curry leaves,1 tsp mustard seeds,Oil,Salt."
Gobi Roast,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1bF0EyeQiiCh5T-1uxNEJ1c8xyBz_QVBS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiRoast.jpg,
Soyabean Roast,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1kyP3UX3RO5K8__8zfLlJoGx_1pkW-wGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SoyabeanRoast.jpg,"2 cups soya chunks,2 onions (sliced),2 green chilies (slit),1 tbsp ginger garlic paste,1 tbsp chili powder,¼ teaspoon turmeric powder,1 tbsp coriander powder,2½ tbsp chicken masala,3 sprigs curry leaves,4 tbsp sliced coconut pieces,1 tsp mustard seeds,salt (as required),oil (as required)."
Chana Roast,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,https://drive.google.com/file/d/1VwIaIOqpwZcXMFxcjxhg4ORhmIWHfk3Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChanaRoast.jpg,
Matki Fry,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,https://drive.google.com/file/d/1wRz1Wq71HsdPwf6VK_T6eNbhILB5XxLr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MatkiFry.jpg,"2,cup Ankurit moth,1/2 cup Onion chopped,1/2 cup Tomato chopped,1 tsp Green chilli chopped,1/2 tsp Turmeric powder,1 tbsp Coriander chilli powder 1 tspoon,as per taste Salt,1 cup Water,1 tbsp Coriander,1 tbsp Oil."
Kaju Malvani,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1UhLj7rv87c-VRaaAk7dKcT5TJl7Pu_Rt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/KajuMalvani.jpg,
Paneer Malvani,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,,https://drive.google.com/file/d/18uVeXsWEm_ksPbwVGgGsaU17FnMNximy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMalvani.jpg.crdownload.jpg,
Paneer Varadhi,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1ujS33pGFzrjEHoXCqs4GfwWzXzzJaRIk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerVaradhi.jpg,
Paneer Ludhyani,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1-8vW_dwT2CE2q2xTkMKw2E8NC5ikfcnG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/PaneerLudhyani.jpg,
Veg Hariyali,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1R4zhN94ldV8fP_YxvYmoKwLpvo08ZmzP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hariyali.jpg,
Veg Sabji,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1OLwS9geXwYAiZZ7HDGwwTONT3HbCWFcy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSabji.jpg,"1/2 Cup Chopped Potatoes,1/2 Cup Chopped Cauliflower,1/4 Cup Chopped Carrots,1/4 Cup Chopped French Beans,1/4 Cup Chopped Capsicum (Green Bell Peppers),1/4 Cup Green Peas,1 Small Onion,2 Medium Sized Tomatoes,1-2 Green Chillies,3-4 Cloves of Garlic,1 Inch Piece of Ginger,8-10 Cashews,2 Tablespoons Cream or 1/2 Cup Milk,1 Teaspoon Cumin Seeds"
Paneer Masala,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg,"200 grams paneer (cut into 1-inch pieces)½ teaspoon salt,½ teaspoon Kashmiri red chili powder,½ teaspoon turmeric powder,2 tablespoons vegetable oil,2 tablespoons vegetable oil,▢2 tablespoons ghee,2 green cardamoms ,2-3 cloves,5-6 black peppercorns,1 inch piece of cinnamon stick,3-4 whole dry red chilies,1 teaspoon cumin seeds,¼ teaspoon asafetida (hing),1 cup finely chopped onions,2 teaspoons ginger garlic paste,2 teaspoons coriander powder,½ teaspoon turmeric powder,½ teaspoon cumin powder,½ teaspoon cumin powder,2-3 green chilies ,"
Paneer Butter,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1Yne-Ud4IjCtH3X5aguD4hVeJkgdgDCsa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButter.jpg,"2 teaspoons oil ,1 bay leaf,1/2 inch cinnamon stick,3-4 cloves,6-7 large garlic cloves,1.5 inch ginger ,1 large white onion ,3-4 large tomatoes,10-15 whole cashews ,1 cup water,2 tablespoons unsalted butter,1/2 teaspoon red chili powder,1/2 teaspoon kashmiri red chili powder,1/2 teaspoon garam masala,1/4 teaspoon cardamom powder,1 teaspoon sugar,3/4 teaspoon salt,1/2 tablespoon tomato paste,3-4 tablespoons cream,250 grams paneer 2 teaspoons crushed kasuri methi,chopped cilantro."
Paneer Kolhapuri,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1-J-2JnzyS-Oe3Ngjai14xQnDzBM_v3Da/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKolhapuri.jpg,"200 grams cubed paneer,1 onion,2 big tomatoes,1-2 tablespoons kolhapuri masala powder,1/4 teaspoon turmeric powder,1 teaspoon cumin seeds,1/2 teaspoon sugar or jaggery,1 teaspoon crushed ginger garlic,Salt,1 tablespoon oil."
Kaju Curry,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg,"1 cup cashews – 120 grams,1 tablespoon Butter,1.5 cups chopped tomatoes,1 tej patta ,½ cup water,18 to 20 cashews,1 teaspoon Ginger Garlic Paste,1 or 2 green chilies,½ teaspoon kashmiri red chili powder,½ teaspoon Garam Masala,⅔ to ¾ cup water,2 tablespoons Butter,¼ to ½ teaspoon sugar,1 teaspoon kasuri methi,1 to 2 tablespoon chopped coriander leaves,salt as required."
Kaju Masala,ProductType,19,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1jk05_NhTywUDWFYjKrbLV45fLqWAkGm0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuMasala.jpg,"wheat flour 2 tbsp,oil 1/4 cups,Jeera,ajwain and salt 1 tsp,
Oil for frying 2 cups,Masala : Chaat masala 1/2 tsp,maida 1 cups,
rava 2 tbsp"
Paneer Tikka,ProductType,20,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,https://drive.google.com/file/d/1PJwE1sbtvBu26CpKRTyXSOwWl4B0uAHa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerTikka.jpg,"200 to 250 grams Paneer,½ cup diced onions,½ diced capsicum,200 grams Hung Curd ,1 tablespoon Ginger Garlic Paste,2 teaspoons kashmiri red chili powder,½ teaspoon turmeric powder,1 teaspoon cumin powder ,1 teaspoon Coriander Powder,½ teaspoon Garam Masala,1 teaspoon ajwain ,1 teaspoon chaat masala,½ teaspoon black pepper powder ,1.5 teaspoons lemon juice,1 tablespoon mustard oil ,½ teaspoon black salt,salt as required."
