label,nodeType,order,path,price,description,link,imageLink,Swiggy
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Tomato Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,,https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg,130
Sweet Corn Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,,https://drive.google.com/file/d/1_1FoZQ6LO1CAso_34uhApiZBAirl2JuB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sweet-Corn-Soup.jpg,
Manchow Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,,https://drive.google.com/file/d/1BijFXiqsbR-131VPPi7c_m-RTkvarToW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ManchowSoup.jpg,145
Hot & Sour Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,,https://drive.google.com/file/d/1teNyAur_VckwNp4ujk5k5x5svxiTBSGq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotSourSoup.jpg,140
Veg Noodles Soup,ProductType,8,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,,https://drive.google.com/file/d/10DUMjtrNxu0hNd5Qs19eZES33kSJTp2A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegNoodlesSoup.jpg,
Veg Clear Soup,ProductType,9,"Inventory,Food,Restaurant,Soups,Vegeterian,",80,,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg,125
Veg Chilli Soup,ProductType,10,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,,https://drive.google.com/file/d/1q9kBpvuoiRhMZFWUtLGZsofrfcmb7q7N/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/VegChilliSoup.jpg,
Babycorn Mushroom Soup,ProductType,11,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,https://drive.google.com/file/d/1GqaUJhisoG9KFePGrShVNZNt2h0hzLTZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/BabycornMushroomSoup.jpg,
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Veg Manchurian Dry,ProductType,4,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/1WUVLy-4rg52XSvwqhUfVZYomOF7VhOB2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/veg-manchurian-dry.jpg,205
Veg Manchurian Gravy,ProductType,5,"Inventory,Food,Restaurant,Starters,Vegeterian,",150,,https://drive.google.com/file/d/1wPkxuJ9K-9j-NR_MKQVMCchKSpYneBfK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurianGravy.jpg,205
Veg Schezwan,ProductType,6,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/1ls1HvmWM88ov8fyRBo60h8oC1kmhCwlx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegSchezwan.jpg,
Veg Ginger,ProductType,7,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/1XOLdu-ab445HYXKCcYKb8FSkWLs8Gvmm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/VegGinger.jpg,
Veg Garlic,ProductType,8,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/1YzJsilSXbMbqHLDUm2I-EqHiqEIJr7Ct/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/VegGarlic.jpg,
Veg Chilli,ProductType,9,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/1D9p-R2wrUPDWZJkAY5X_wRs1dBdt3dKR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegChilli.jpg,
Veg Singapore,ProductType,10,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,,,250
Veg 65,ProductType,11,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,,https://drive.google.com/file/d/1vNWQi-EBkMH-6PuGayKQApq8nSpw6IHV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg65.jpg,
Paneer 65,ProductType,12,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/18eQOtotfInWqsh70Rc6NLKcegEIaW-3Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paneer65.jpg,
Paneer Chilli,ProductType,13,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/1Kk0U0y2YhiaEMjyJl-zWAzSE1Y1J7mHd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paneerchilli.jpg,240
Paneer Chilly Gravy,ProductType,14,"Inventory,Food,Restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/1-CnU_SiC2c6mRpEpkBxiMDRT35xAq4a6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChillyGravy.jpg,
Veg Lolipop,ProductType,15,"Inventory,Food,Restaurant,Starters,Vegeterian,",160,,https://drive.google.com/file/d/1j4XskVsyWexf_t2k5kwlXKabSsGzfjrR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegLolipop.jpg,
Veg Crunchy,ProductType,16,"Inventory,Food,Restaurant,Starters,Vegeterian,",200,,https://drive.google.com/file/d/1JbF4IP87oga3A6abBI1p2fKiscph9msu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCrunchy.jpg,
Veg Crispy,ProductType,17,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,,https://drive.google.com/file/d/1eRoWy7sVeONn6q-umwbzYIj5GCmDsI26/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegCrispy.jpg,230
Chinese Bhel,ProductType,18,"Inventory,Food,Restaurant,Starters,Vegeterian,",150,,https://drive.google.com/file/d/1GPi9hn0ZkUeegyxQKlKo7r_UcsvbSsw4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChineseBhel.jpg,
Mushroom Chilly,ProductType,19,"Inventory,Food,Restaurant,Starters,Vegeterian,",200,,https://drive.google.com/file/d/1WAhzUSicYMIiq23onAGlgbbxsfYvizP5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomChilly.jpg,
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Hakka Noodles,ProductType,4,"Inventory,Food,Restaurant,Noodles,Vegeterian,",130,,https://drive.google.com/file/d/18FsWPwx8tncps1VikLC9UIbqDKRGPPyF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HakkaNoodles.jpg,
Schezwan Noodles,ProductType,5,"Inventory,Food,Restaurant,Noodles,Vegeterian,",140,,https://drive.google.com/file/d/18mRtY1WH0owVL-322PHRxXJadtxCVAmA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Noodles.jpg,
Chinese Noodles,ProductType,6,"Inventory,Food,Restaurant,Noodles,Vegeterian,",130,,https://drive.google.com/file/d/1ASTupgiP8P7urwGbQSxhs4pEz6UfvvcO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/ChineseNoodles.jpg,
Triple Noodles,ProductType,7,"Inventory,Food,Restaurant,Noodles,Vegeterian,",180,,https://drive.google.com/file/d/1gclBtJ5-c0ghqzq6E5TMixwDFnZPZEWx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Triple-Noodles.jpg,
Combination Noodles,ProductType,8,"Inventory,Food,Restaurant,Noodles,Vegeterian,",150,,https://drive.google.com/file/d/1CrScGxdZxtRXL_W_aFeOTicfQ2IxpkKj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/CombinationNoodles.gif,
Chopusey,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1tu3k41LqvwuIbtBOWGwowmsow-c4Td5W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/Chopusey.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chopusey,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chopusey,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Veg American Chopusey,ProductType,4,"Inventory,Food,Restaurant,Chopusey,Vegeterian,",150,,https://drive.google.com/file/d/18SdEgFwyDGszT1Fn1WbNxV6jxJOyzu5K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/VegAmericanChopusey.jpg,
Chinese Chopsuey,ProductType,5,"Inventory,Food,Restaurant,Chopusey,Vegeterian,",150,,https://drive.google.com/file/d/15Fy26Ag3zxvUh1GPFbgMJs_CKPB1YRVE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChineseChopsuey.jpg,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Veg Fried Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",140,,https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,195
Shezwan Fried Rice,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,,https://drive.google.com/file/d/15SHCqN4OrapHmjwP_p5cgPav_iEKXoRP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ShezwanFriedRice.jpg,
Manchurian Fried Rice,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",180,,https://drive.google.com/file/d/1xdMgwkI-tBO-QKfYvrZxFV24FzUkvrUk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ManchurianFriedRice.jpg,250
Triple Schezwan Rice,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",200,,https://drive.google.com/file/d/1Wl4uCQJ4U5m-A3H2fPPXgQruVbflJ0fq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/TripleSchezwanRice.jpg,
Manchow Fried Rice,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,,https://drive.google.com/file/d/1TopgIipwijL4WRN01DpokilgDp_2vCSo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/ManchowFriedRice.jpg,
Combination Schezwan Rice,ProductType,9,"Inventory,Food,Restaurant,Rice,Vegeterian,",160,,,,
Combination Rice,ProductType,10,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,,https://drive.google.com/file/d/1x1pF1QrtvnxmUJqQFQQpk0oPmQYeQgLf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food22240622/CombinationRice.jpg,
Triple Hong Kong Rice,ProductType,11,"Inventory,Food,Restaurant,Rice,Vegeterian,",200,,https://drive.google.com/file/d/1Kjg1vhflid_M_A4tDSRbbyRThLK2GX0z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/TripleHongKongRice.jpg,
