label,nodeType,order,path,price,description,link,imageLink,Zomato
Milk Shakes,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1LMn1olETnPk8E6b7ldlkHaoZKId7Oebo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Milkshakes.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Milk Shakes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Milk Shakes,",,,,,
Oreo Shake,ProductType,4,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",140,,https://drive.google.com/file/d/1e_eFRRnkBekms2_ce6lXpp43RDyRtZQu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OreoShake.jpg,140
Chocolate Shake,ProductType,5,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",125,,https://drive.google.com/file/d/1vd3hiiVRRj69WGpVL156_sxW22aFsHkp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChocolateShake.jpg,125
Vanilla Shake,ProductType,6,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",120,,https://drive.google.com/file/d/1wEXtyyGL4su_LY33Bc1lnttVbgAvsV5B/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VanillaShake.jpg,120
Butterscotch Shake,ProductType,7,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",125,,https://drive.google.com/file/d/1vMYOe4Hsu_alrgXfhtBvsSxPzcUWYTaC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterscotchShake.jpg,125
Strawberry Shake,ProductType,8,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",140,,https://drive.google.com/file/d/1Fdnyc6aGR4CFaJ03M1rjQ0pqahi_lzy3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/StrawberryShake.jpg,140
Kit Kat Shake,ProductType,9,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",150,,https://drive.google.com/file/d/18Ema0CfR8oH5SoBJIKCWdyfx6o9Tbq0c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KitkatShake.jpg,150
Bournvita Shake,ProductType,10,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",150,,https://drive.google.com/file/d/1iGdt3HH-i0qvDrd-_CdwSvJ1OM07220x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BournvitaShake.jpg,150
Banana Shake,ProductType,11,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",150,,https://drive.google.com/file/d/1XDC00YtWZJ0IdH41Pnm4qvG4xVLnwqho/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/BananaShake.jpg,150
Black Currant Shake,ProductType,12,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",160,,https://drive.google.com/file/d/131rIsZgg7cug09vYR7EOomV0FfM-KNp2/view?usp=sharing,,160
Brownie Shake,ProductType,13,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",170,,https://drive.google.com/file/d/1LUzsurjnvQTxTD0dLLkSRn3ns4qA9T-0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BrownieShake.jpg,170
Choco Caramel Shake,ProductType,14,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",150,,,,150
Choco Hazelnut Shake,ProductType,15,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",160,,https://drive.google.com/file/d/1MPhCYfnFDy3g7yzVD4s7FfPRMRGgvM6M/view?usp=sharing,,160
Dark Chocolate Shake,ProductType,16,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",180,,https://drive.google.com/file/d/1oHUdV3FkFokuMx9wZo-mkt0yWOeV8uci/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/DarkChocolateShake.jpg,180
Gems Shake,ProductType,17,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",140,,https://drive.google.com/file/d/1kyZpN4E3pbmyRNLKuALo1kxkVtFHJX3Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/GemsShake.jpg,140
Hide & Seek,ProductType,18,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",150,,https://drive.google.com/file/d/1BDQ3UZ1l00S7T-FZDPaaZ-XBMthK7rbg/view?usp=sharing,,150
Kesar Badam,ProductType,19,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",160,,https://drive.google.com/file/d/1wq-MptBfp9GaqTTut_l65PQ7Cts0owIk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/KesarBadam.jpg,160
Mango Shake,ProductType,20,"Inventory,Food,Restaurant,Milk Shakes,Vegeterian,",150,,https://drive.google.com/file/d/1GuSXG_n0eiI0Wv_5z5lA4V93edCGPgOl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoShake.jpg,150
