label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,,
Bread Toast Butter,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1Nwz0X78i94fjFHqLYv0BabQ3jOTn-wKy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/BreadToastButter.jpg,,
Bread Butter Jam,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1Ba37LLXhu4CmoxPS3xwsP_rNl-y5YdC4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BREADBUTTERJAM.jpg,,
Cheese Garlic Bread,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",90,,https://drive.google.com/file/d/1yUhtKoZxXnW4RAQZaLxq-d2yz5OeSvht/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseGarlicBread.jpg,,
Veg Sandwich,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",90,,https://drive.google.com/file/d/1PlGgNGtrT2Yat2aVQ8fMrdt-7q3J88A0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSandwich.jpg,,
Mix Veg Grilled Sandwich,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",100,,https://drive.google.com/file/d/1-AL-Vh77VI8Y3BwK1c3Z5sKNcL_TBcJB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MixVegGrilledSandwich.jpg,,
Veg Mayo Grilled Sandwich,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",140,,https://drive.google.com/file/d/1TQSm7hRdDf159BicfZDyAw2woBKj48nd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/VegMayoGrilledSandwich.jpg,,
Cheesy Veg Sandwich,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/1l-bzIJBRpCji4xSOym_BOF1SiUYNcuEf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/CheesyVegSandwich.jpg,,
Greek Sandwich,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",130,,,,,
Nutella Sandwich,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,https://drive.google.com/file/d/1aCAdJskKpS4X5gQ_iURCieIVjgGkvNNG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/NutellaSandwich.jpg,,
Nuttella Grilled Sandwich,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",130,,https://drive.google.com/file/d/1NBo11e1XoAUmtm8eBf0ioCRR_Fw5Zqbv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/NuttellaGrilledSandwich.jpg,,
Crispy Veg Burger,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",100,,https://drive.google.com/file/d/1UxmmhZxDWY8mDrW7NcW8FrVNFhxayN3q/view?usp=sharing,,,
Beetroot & Cheese Burger,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,https://drive.google.com/file/d/1nWHSaDt6caZOOl8Ln-Pn7dfc7HMdOlCr/view?usp=sharing,,,
Cheese Hariyali Tikki Burger,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/1_fSbW5y38OWJojnEwE7JMCwzC8SPZaM-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/CheeseHariyaliTikkiBurger.jpg,,
Schezwan Soya Chaap Burger,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,https://drive.google.com/file/d/1iM3gnVh1jx9Yfp-wd-yKFs-8Cjc3k66L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/SchezwanSoyaChaapBurger.jpg,,
Idli,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1WtX7q-cTFbqcE0y1XfEbdUyRXfQT0ai_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/Idli.jpg,,
Idli Vada,ProductType,19,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",65,,https://drive.google.com/file/d/1a8DjWj-9MZr-g7cInbA_G23OamZdsMzi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/IdliVada.jpeg,,
Podi Idli,ProductType,20,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1h6uuUBT9R0CTfGIw6bwYOB6itqKO1jQe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/PodiIdli.jpg,,
Schezwan Idli Pakoda,ProductType,21,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1A1OYZI3Z8VYmpU9cVTnsIPfBc2K2lLXD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/SchezwanIdliPakoda.jpg,,
Medu Vada,ProductType,22,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1L03nquyL_3smUJHJRw3DMuvTFmkRuXsM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/MeduVada.jpg,,
Upma With Chutney,ProductType,23,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1r5CuPiNll59G-nNAbumEDOi60dJ_ntPn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/UpmaWithChutney.jpeg,,
Dahi Vada,ProductType,24,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1-BwtRPHlb0C4bpqSXJrWa4FUJYm4O70Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dahivada.jpg,,
Sada Dosa,ProductType,25,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1BfV6qb8VSQOEdjF50P7dvolLiVExsGGj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SadaDosa.jpg,,
Masala Dosa,ProductType,26,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg,,
Cheese Dosa,ProductType,27,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/1H9Den3hRa_vDSF0ueBYGLC3Qlgj2s9QU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseDosa.png,,
Schezwan Dosa,ProductType,28,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/1pAC6hG9_qJwogxrUmDAwXpG9Hn5bDaER/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/SchezwanDosa.jpg,,
Chee Masala Dosa,ProductType,29,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,,,,
Rava Sada Dosa,ProductType,30,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",100,,https://drive.google.com/file/d/1knIwlmCdklOTuyr2vS28__UhdpRHtjmn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/10222/ravasadadosa.jpg,,
Rava Masala Dosa,ProductType,31,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/17Bx26DlKVy4Z5pnsEYFfSDcLS1-wIqZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/RavaMasalaDosa.jpg,,
Mysore Sada Dosa,ProductType,32,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",100,,https://drive.google.com/file/d/1kYa6E7Lofr9p2j_XIJN4pUfTUO3jNQrn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MysoreSadaDosa.jpg,,
Mysore Masala Dosa,ProductType,33,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/1jXxK1PO3BkkFzE7FRk7GMEaOVeb2wp-y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mysoremasaladosa.jpg,,
Mysore Cheese Dosa,ProductType,34,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,https://drive.google.com/file/d/1yHlcfc8zKGLpqSCcmK101flaiGTYgTgA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MysoreCheeseDosa.jpg,,
Paper Dosa,ProductType,35,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/18P7_DSAP2PRRWE2t4cq1cXZLjGwenZJQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paper-Dosa.jpg,,
Paper Masala Dosa,ProductType,36,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",125,,https://drive.google.com/file/d/1NMkJ2wBDEnFxdDmUUpagj8A2ZA9tlTZE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paper-masala-dosa.jpg,,
Peri Peri Cheese Dosa,ProductType,37,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,,,,
Paneer Chilli Dosa,ProductType,38,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",125,,https://drive.google.com/file/d/1aPpDI3Whh_6guW4TeQaSWFaPedhL-_8e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilliDosa.jpg,,
Palak Dosa,ProductType,39,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",90,,https://drive.google.com/file/d/1W2D4E31J9oE5DpWKpE0ztkudXVFn8eRb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/PalakDosa.jpg,,
Cutting Masala Dosa,ProductType,40,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/16uxHI4Ok9utrY68cAMS8GiNOh1hxAGPi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/CuttingMasalaDosa.jpg,,
Mix Veg Dosa,ProductType,41,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,https://drive.google.com/file/d/1pYxOBK_iYcPtCEJG1JeNKbabaCkcsNMJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MixVegDosa.jpg,,
Gun Powder Dosa,ProductType,42,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",100,,https://drive.google.com/file/d/1ljxM3QV1oa5aR_6UiETCyccbB_D1tenh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/GunPowderDosa.jpg,,
Pizza Dosa,ProductType,43,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,https://drive.google.com/file/d/1CC5vmjtZh8rFM92rUMSaEyJR00OZirh3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodlinksgapApril25/PizzaDosa.jpg,,
Plain Uttapam,ProductType,44,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1gbIrQNvM-HXwjLWYw195a1oh7UrDjPLp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PlainUttapam.jpg,,
Onion Uttapam,ProductType,45,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",100,,https://drive.google.com/file/d/1XYLjQ91jrBZDsVC890XhoHxvPwRpF9o2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionUttapam.jpg,,
Cheese Uttapam,ProductType,46,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/18cP7fgcwOlW1ldGfu1Z6_wXJHhwPbRoP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CheeseUttapam.jpg,,
Tomato Onion Uttapam,ProductType,47,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",120,,https://drive.google.com/file/d/10J9w-09v45juHmPxSk4n16a2xE8NdW0Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/10222/TomatoOnionUttapam.jpg,,
Poha,ProductType,48,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1C1VIAEcUgAVE98U1_a1ZxX8cV2Twhf1E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Poha.jpg,,
