label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Veg Chinese Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1xH5tatewCI4OdYxABxCoSkCB6XfF-5sJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/VegChineseRice.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Chinese Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Chinese Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Veg Manchurian Rice,ProductType,3,"Inventory,Food,Restaurant,Veg Chinese Rice,Vegeterian,",275,,https://drive.google.com/file/d/1jNrUl4zWkDBHdSQ9fMRkuIqsymylvahc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurianRice.jpg,,
Veg Hongkong Rice,ProductType,4,"Inventory,Food,Restaurant,Veg Chinese Rice,Vegeterian,",275,,https://drive.google.com/file/d/1tm51IijIFlGCGm3mo_gvQrAdv9B0MxzE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hong-Kong-Rice.jpg,,
Veg Singapore Rice,ProductType,5,"Inventory,Food,Restaurant,Veg Chinese Rice,Vegeterian,",275,,https://drive.google.com/file/d/1h1rfg0xvlE0AE9_kpzW1zCh0kyckxKmG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSingaporeRice.jpg,,
Veg Fried Rice,ProductType,6,"Inventory,Food,Restaurant,Veg Chinese Rice,Vegeterian,",220,,https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,,
Veg Schezwan Fried Rice,ProductType,7,"Inventory,Food,Restaurant,Veg Chinese Rice,Vegeterian,",225,,https://drive.google.com/file/d/1i4sLAmwV7ByQqxTBDx1VFC3PWNxqB3a5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanFriedRice.jpg,,
Veg Triple Rice,ProductType,8,"Inventory,Food,Restaurant,Veg Chinese Rice,Vegeterian,",275,,https://drive.google.com/file/d/1S84EA_U3l0u3TB0aIWPlx5c7vcMEU8LT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/VegTripleRice.jpg,,
Veg Burnt Chilly Rice,ProductType,9,"Inventory,Food,Restaurant,Veg Chinese Rice,Vegeterian,",240,,https://drive.google.com/file/d/11DywFQa-0JCT0XdoynyAofDlnH4rhJPL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220304/VegBurntChillyRice.jpg,,
