label,nodeType,order,path,price,description,ingredients,link,imageLink
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,
Puri Bhaji,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,," boiled,peeled,mashed potato, tablespoon cumin seeds, tablespoon turmeric, tablespoon red chilli powder, handful coriander leaves, tablespoon asafoetida, cup wheat flour, tablespoon vegetable oil, tablespoon coriander powder, chopped green chilli, tablespoon lemon juice,salt as required, cup water.",https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png
Aloo Vada,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,,https://drive.google.com/file/d/1guh9RCBy_N69Ni8tZ61vPxXfGKU41Yyy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooVada.jpg
Nastha,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",90,,,,
Dahi Dhapate,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,,https://drive.google.com/file/d/1VPw0uq8-6xiNwl7g419hkcbL4up-3LG2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/DahiDhapate.jpg
Extra Pav,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",15,,,https://drive.google.com/file/d/1zYqEN7zZK3kGGbNA9YdfHQqIKF7dB0-k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraPav.jpg
Chapati Misal,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,,https://drive.google.com/file/d/1yCySPMaWm8ts92PJ_RBlASUSDmBW3FQy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ChapatiMisal.jpg
Misal Pav,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,"  oil,  ginger paste,  garlic paste, cup onion, chopped, cup tomato, chopped,/ cup coconut, grated,  oil,spice paste ,  red chilli paste,  garam masala,/  turmeric powder,  cumin-coriander powder,/  cinnamon & clove powder, cups water ,  oil,  garlic paste,  ginger paste,/  hing, / cups steamed matki (moth) (soaked overnight), cup potato,/  turmeric powder,  garam masala,/  cinnamon-clove powder, cups water,to taste salt,onion, chopped,Mix dry farsan,coriander, chopped,To serve with: Paav, slice of lemon.",https://drive.google.com/file/d/10zM6xFtQkYtAL4YWGywPsxiCdULwwfcN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MisalPav.jpg
Special Dal Bhatti,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",160,,,https://drive.google.com/file/d/1s4Ew5joEkqd7y53WOg-8kl61RZOETp0c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/SpecialDalBhatti.jpg
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
Rice Plate,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",130,," cup Rice, cups Water,  Oil (optional),  Salt (optional)",https://drive.google.com/file/d/1_-wWJdEL94jVuCLPhGvfSFP7BOs22wcQ/view?usp=sharing,
Masala Rice,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,,"  ghee,  mustard,  cumin / jeera,½  saunf / fennel,pinch asafoetida / hing,few curry leaves,½  ginger garlic paste,½ onion, tomato ,½ carrot,  peas / matar, beans ,¼ capsicum,¼  turmeric,¾  kashmiri red chilli powder,  coriander powder,½  garam masala, cup cooked rice,  salt,  coriander.",https://drive.google.com/file/d/1f42W8I8vF2MKOR1_NEpVKeDqUYYxbwXH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaRice.jpg
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,,
Extra Chapati,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",20,," / cup whole wheat flour,salt as required,water as required,
 tablespoon ghee.",https://drive.google.com/file/d/1Pe5JFjgNjmuML6b0b5hfbF9AEU5z-qem/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ExtraChapati.jpg
