label,nodeType,order,path,price,link,imageLink,description
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Bhaji Plate,ProductType,3,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,,,
Shenga Poli,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1D54k6vGAib7oYAGEo4lJ3D0pBMoOeOI8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shenga-Poli.jpg,
Khava Poli,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/19oOOsmkOz6oXkVf1emtqbOVkxfpj7c7W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KhavaPoli.jpg,
Garam Dhapate,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1ggCNHSj1t-bwtWyp88Bngh33NW-A7-hx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GaramDhapate.jpg,
Garam Thalipith,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1f_tatYyTjFwT_IEiHKZXk7yibpJdLbMg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GaramThalipith.jpg,
Shabu Khichadi,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1LkGa-eqeO-OWposJd4WJf03u1-dXN900/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shabu-Khichadi.jpg,
Tomato Chutney,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/12EgS7ysa0DovVts2meTT_dNJ034g0f3V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Chutney.jpg,
Shenga Bhaji,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1eAuiPpTZd7Wa-Jdu7855EQlc40jxK8lk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shenga-Bhaji.jpg,
Kanda Bhaji,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1bf5MHHTbaacB8VIZ1MJgddlOepaGQT0W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KandaBhaji.jpg,
Ghati Sherva,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,,,
Shevbhaji,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1zHTyyI4Aoa85PJsWvoBp1GiskfT11L06/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg,
Thecha (Kharda),ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1WWEm1kU_CjZUJnLi82VZEs7qLf13756_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Thecha-Kharda.jpg,
Sheng chutney,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/16HpSCTnrJmVjfHw3jCpPgOYK357B9adr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheng-chutney.jpg,
Dal Khichadi,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1PNbeQCH3ZksaobonHyiCzwCFlavz9pBZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichadi.jpg,
Palak Khichadi,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",,https://drive.google.com/file/d/1BX9D01Vrgi8zC7KWWoGVJsKD6UAMUVtZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakKhichadi.jpg,
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Shenga Ladoo,ProductType,3,"Inventory,Food,Restaurant,Snacks,Vegeterian,",,https://drive.google.com/file/d/1DE5XCBzdVQtscGntQzXD7TiEJVqd2rJU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shenga-Ladoo.jpg,
Plain Shengdane,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",,,,
Vegeterian Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Vegeterian Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Vegeterian Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Special Thali,ProductType,3,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1ThRXYcXkRFqww4BJjcz-W3Jf9UplZfE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Super-Deluxe-Thali.jpg,
Tandoor Thali,ProductType,4,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1fcwXYXdCXg01qkKaDCC34HeMcEhBP4NW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoor-Thali.jpg,
Paratha Thali,ProductType,5,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1uj1lKA5RPlo9XkNytQgx9XNOXXCETx3c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paratha-Thali.jpg,
Puranpoli Tat,ProductType,6,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1sFQdnl-m-iHN_62O4ekBN_sGPBtBsYmn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Puranpoli-Tat.jpg,
Varan Plate,ProductType,7,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1A6SMFsWfvxI3JbXk_xLAfpGuBbCmSmZG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Varan-Plate.jpg,
Varan Bhat,ProductType,8,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1G5s0vRMbv9zPQHPF0DU2TNn0GLHQscaY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Varan-Bhat.jpg,
Anil Special,ProductType,9,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,,,
Tup Vati,ProductType,10,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,,,
Methi Besan,ProductType,11,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1mXlIpwCWnDbWwX7YuV40SRucF3SfWZQd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiBesan.jpg,
Besan Fry,ProductType,12,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1OgYQv2FLRZqiUwu03cprUeFZcbX-9i9X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BesanFry.jpg,
Bengan Bharta,ProductType,13,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1uJVx-JTUwMJC6uu4QvPGm3551008HHub/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BenganBharta.jpg,
Bengan Masala,ProductType,14,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1Xt4qjC_d5_g_GrFSVzRhriwy4Zi2gUqc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BenganMasala.jpg,
Maratha Gravy,ProductType,15,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1V6mkYTamS-Q2nVi7w_Ebq55oxwyhX3u3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MarathaGravy.jpg,
Matki Fry/Usal,ProductType,16,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1YMg7J9OJB-MlH6qpA62M1CoFqVlLx0RE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MatkiFryUsal.jpg,
Matki Masala,ProductType,17,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1Rkde83_ZidHQIBT5A9z34-kzUFm4EJNb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MatkiMasala.jpg,
Greenpiece Masala,ProductType,18,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,,,
Plain Palak,ProductType,19,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1l_lWdGT9y7iznTgTKp31G5fzJjHu45Uv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PlainPalak.jpg,
Akka Masur,ProductType,20,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1tJaAhkyL0R4sQgQiz9eWccO4ALDeMeNx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AkkaMasur.jpg,
Shevga Sheng Masala,ProductType,21,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/12XF1aLp3Dz7cPA2YvOyv0YHzIi8bxmQH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevga-Sheng-Masala.jpg,
Shevga Fry,ProductType,22,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1f7PbcO_3bQCFZTl4CwK3BRaN7dNTFqkR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevga-Fry.jpg,
Soyabean Masala,ProductType,23,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1XJaHLE_WmdYQz2tocg2xXzmrZfS11UJo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Soyabean-Masala.jpg,
Soyabean Curry,ProductType,24,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1AVv8NndPGziAvXDCjjR6-5BJVlMFF0Ug/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Soyabean-Curry.jpg,
Chana Masala,ProductType,25,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg,
Palak Lasooni,ProductType,26,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1RNCNDp91G45MsVMkedlveem9KYyQmBd-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakLasooni.jpg,
Dal Methi,ProductType,27,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1nq9PyofwK5-hx9Dl-eJYxx9rubFxJeiX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMethi.jpg,
Tawa Besan,ProductType,28,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1CArwuE_kuHJJKpUhuQUQ0YQrQFCgiwhH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Besan.jpg,
Aloo Jeera,ProductType,29,"Inventory,Food,Restaurant,Vegeterian Entree,Vegeterian,",,https://drive.google.com/file/d/1THYyiuCKuYuJ9nypldTM9ak7Xm86NTfr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooJeera.jpg,
