label,nodeType,order,path,price,link,imageLink,description
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,
Steamed Rice,ProductType,3,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,https://drive.google.com/file/d/1b1DZ5fWsFeNWCYp4VRmHwh-KSaa4ZSW4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Steamed-Rice.jpg,
Jeera Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",100,https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRice.jpg,
Onion Rice,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,https://drive.google.com/file/d/1K4THXHp2exuy0z8fYQXOwXoCtW9epeVe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionRice.jpg,
Hyderabadi Subz Biryani,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",200,https://drive.google.com/file/d/1JGo9bJ-VV2jk9bQAgbon7TiuzdArIh4g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HyderabadiSubzBiryani.jpg,
Kashmiri Pulao,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1z_cai95g4sw4LCnZ1gTz9BuyPp3DtYTz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KashmiriPulao.jpg,
Veg Biryani,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1jR3STBQoAfkKOHnvdjdNXjOE5ZqtJexz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Biryani.jpg,
Pulao,ProductType,9,"Inventory,Food,Restaurant,Rice,Vegeterian,",140,https://drive.google.com/file/d/1H-LryLIkLBuzwzQnkeZ2sKir6p0f52TV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Pulao.jpg,
Butter Khichadi,ProductType,10,"Inventory,Food,Restaurant,Rice,Vegeterian,",180,https://drive.google.com/file/d/1Rgbs1JeXAcjRDMVDy3sO_34ZURALuGHL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterKhichadi.jpg,
Chilli Onion Pulao,ProductType,11,"Inventory,Food,Restaurant,Rice,Vegeterian,",130,https://drive.google.com/file/d/1azIuJeo85LzAhv6vOxkb0uc-x4Cr6omn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/ChilliOnionPulao.jpg,
Chilli Garlic Pulao,ProductType,12,"Inventory,Food,Restaurant,Rice,Vegeterian,",140,https://drive.google.com/file/d/1QOPET4hokIGuTVFwuyonqcZfG-N-PiYU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/ChilliGarlicPulao.jpg,
Subz Dum Biryani,ProductType,13,"Inventory,Food,Restaurant,Rice,Vegeterian,",190,https://drive.google.com/file/d/17HS_s5hRJa64dVkRTAEGyR2x9MzYm024/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/SubzDumBiryani.jpeg,
Shahi Pulao,ProductType,14,"Inventory,Food,Restaurant,Rice,Vegeterian,",200,https://drive.google.com/file/d/1z4F5nGjonD6qI5K_-Qcic9UtHC2jCGO1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/ShahiPulao.jpg,
Curd Rice,ProductType,15,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1vBvzMDzVFIOmHhoFGfSV2bWWfqhHbujJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CurdRice.jpg,
Dal Khichdi,ProductType,16,"Inventory,Food,Restaurant,Rice,Vegeterian,",170,https://drive.google.com/file/d/1eYgIjQw-U3ZGT8GEPhcg9KZJWnc7BvLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdi.jpg,
Green Peas Pulao,ProductType,17,"Inventory,Food,Restaurant,Rice,Vegeterian,",140,https://drive.google.com/file/d/1C6nIrUUEfNLemnqWcoismwHUgjpMg3XL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenPeasPulao.jpg,
Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Chinese.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,,
Veg Fried Rice,ProductType,3,"Inventory,Food,Restaurant,Chinese,Vegeterian,",160,https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,
Maxican Fried Rice,ProductType,4,"Inventory,Food,Restaurant,Chinese,Vegeterian,",180,https://drive.google.com/file/d/1iMDuU4nGpRjHuQkmqlQn1lgKaDfNUQeh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MaxicanFriedRice.jpg,
Veg Garlic Fried Rice,ProductType,5,"Inventory,Food,Restaurant,Chinese,Vegeterian,",170,https://drive.google.com/file/d/19ZvDZodtXIEQ6l2GQKKddD4kH4VSsK4r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Garlic-Fried-Rice.jpg,
Schezwan Fried Rice,ProductType,6,"Inventory,Food,Restaurant,Chinese,Vegeterian,",170,https://drive.google.com/file/d/1pzlv1pfwO8wxMZK_QafdR3WMCB7-bejE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Fried-Rice.jpg,
Chilli Garlic Rice,ProductType,7,"Inventory,Food,Restaurant,Chinese,Vegeterian,",180,,,
