label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Veg Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/11YHpTPQ5aPStb76GwxFCCKa5Btc_rhbO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Noodles.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Noodles,",,,,,,
Veg Fried Noodles,ProductType,4,"Inventory,Food,Restaurant,Veg Noodles,Vegeterian,",130,,https://drive.google.com/file/d/1R2sfNK9rvcuD_7IJzc4dht4W802g7WkZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Noodles.jpg,,
Veg Schezwan Noodles,ProductType,5,"Inventory,Food,Restaurant,Veg Noodles,Vegeterian,",140,,https://drive.google.com/file/d/110qPjMnVJgCASzjlU24PKREL29s_4OW1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanNoodles.jpg,140,
Veg Triple Noodles,ProductType,6,"Inventory,Food,Restaurant,Veg Noodles,Vegeterian,",150,,https://drive.google.com/file/d/1tFeCsXI9gj-8SNeHbqeid_mDeguSnNyk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegTripleNoodles.jpg,,
Veg Singapuri Noodles,ProductType,7,"Inventory,Food,Restaurant,Veg Noodles,Vegeterian,",140,,https://drive.google.com/file/d/1dXiPWFtx4V8HdI5vKLIWqKSIzm2tmsmR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSingapuriNoodles.jpg,,
Veg Hongkong Noodles,ProductType,8,"Inventory,Food,Restaurant,Veg Noodles,Vegeterian,",150,,https://drive.google.com/file/d/178Eehi56D9hj6T2f1F3pUCLdoUq99Gyx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegHongkongNoodles.jpg,150,
Veg Main Course,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1eeKrqhcD63NDpIGx25LAq5iA92Cm7coE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/VegMainCourse.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Main Course,",,,,,,
