label,nodeType,order,path,price,description,link,imageLink
Dal,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1kIqV6ymtUXLw1Cju6QW4eoDTezD0RVJV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/Dal.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Dal,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Dal,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Dal Makhani,ProductType,4,"Inventory,Food,Restaurant,Dal,Vegeterian,",180,,https://drive.google.com/file/d/1bx4zFB3n5TKpwLaxvoc2JGDgMQI_4sWj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMakhani.jpg
Dal Maharani,ProductType,5,"Inventory,Food,Restaurant,Dal,Vegeterian,",200,,https://drive.google.com/file/d/1B8Y-uWJAc5FgLQ3w3u3-pkjvrJHhfJJr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/DalMaharani.jpg
Dal Fry,ProductType,6,"Inventory,Food,Restaurant,Dal,Vegeterian,",150,,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg
Dal Tadka,ProductType,7,"Inventory,Food,Restaurant,Dal,Vegeterian,",160,,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg
Dal Pancham,ProductType,8,"Inventory,Food,Restaurant,Dal,Vegeterian,",180,,https://drive.google.com/file/d/1jps_k6d6vLrGjJhbysxJJar2j08mt9Kz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/DalPancham.jpg
Dal Bukhara,ProductType,9,"Inventory,Food,Restaurant,Dal,Vegeterian,",200,,https://drive.google.com/file/d/1vLnfj9nd8u2Fpdc6H5MUUDV8F6YIRFtu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/DalBukhara.jpg
Salad,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Salad,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Salad,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Green Salad,ProductType,4,"Inventory,Food,Restaurant,Salad,Vegeterian,",100,,https://drive.google.com/file/d/13f6xLUaMAgsL5WTIgZ5CBWFIUQK4FgBO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenSalad.jpg
Cucumber Salad,ProductType,5,"Inventory,Food,Restaurant,Salad,Vegeterian,",100,,https://drive.google.com/file/d/1urPxggPSR02xdA_cmkKcZJzlG-nO_1c6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/CucumberSalad.jpg
Tandoori Salad,ProductType,6,"Inventory,Food,Restaurant,Salad,Vegeterian,",100,,https://drive.google.com/file/d/133dLuf7tZTR93g83hGfePGoo9R7czBAM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriSalad.jpg
Raita,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Raita.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Raita,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
