label,nodeType,order,path,price,description,link,imageLink
Veg Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1D-Nog4z8En2b458mwiL_0-7ohryNjyVy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/VegSnacks.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Snacks,",,,,
Paneer Chilli 10pcs,ProductType,4,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",170,,https://drive.google.com/file/d/1HbX3KIU9Lgq8x6eJfXB_mwt7TdA2IxhR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/PaneerChilli10pcs.jpg
Paneer Manchurian 10pcs,ProductType,5,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",170,,https://drive.google.com/file/d/1smOTAOr4tUMzB132fn38Ja5yJpyBc7Ds/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/PaneerManchurian10pcs.jpg
Mix Veg Pakoda 10pcs,ProductType,6,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",100,,https://drive.google.com/file/d/1b08QfuPe_a4dZn3BaC-jbaioBkzj1j2r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/MixVegPakoda10pcs.jpg
Gobi Manchurian 10pcs,ProductType,7,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",100,,https://drive.google.com/file/d/1_3O9TZYqDKPExnLLk9cG86H1aoWBHVcZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/GobiManchurian10pcs.jpg
Veg Soup,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1yLlYEIedcl0jUYKgFBGLxxLSHqElVT62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Soup.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soup,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Soup,",,,,
