label,nodeType,order,path,price,description,link,imageLink
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Shevga Fry,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",140,,https://drive.google.com/file/d/1f7PbcO_3bQCFZTl4CwK3BRaN7dNTFqkR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevga-Fry.jpg
Fanas Jackfruit Fry,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",35,,https://drive.google.com/file/d/13pu9_9HYazZp8G1exhtE__9WxmpIwKE4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/FanasJackfruitFry.jpg
Onion Pakoda,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1GSiQ3dldo8AURsDTZvnk5venQv5TLYWe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionPakoda.jpg
Paneer Pakoda,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",160,,https://drive.google.com/file/d/1GXXvajp0oAFz1nuXU7rs31No579wKwgl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPakoda.jpg
Chilli Pakoda,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1GJ_RmOPw-H1FwnqOZHcIOaUXxJwoELqO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChilliPakoda.jpg
Aloo Pakoda,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,,https://drive.google.com/file/d/1uWwVdDLBut5h078Fs6FNOy_Uq44xxECR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooPakoda.jpg
Veg Pakoda,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",160,,https://drive.google.com/file/d/1nZECSaGTjOsbjZFaCg0dQdISLgxim1qT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Pakoda.jpg
Peanut Roast,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/15QnqZAStK4x8vrDLHmLZMhHWNHSV4L1n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PeanutRoast.jpg
Peanut Boiled,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/101bd7b79sIuDHdb-q6Xhm7Gge_hFR-0Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/PeanutBoiled.jpg
Chola Bhatura,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,,https://drive.google.com/file/d/1Dh5_YGx6fyHrTGR3DRD6Mj9qwvKWm_xb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CholaBhatura.jpg
Veg Cutlet,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,,https://drive.google.com/file/d/1W5s16wsJVkRFqD0izI03Jn94U8KEd5NJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCutlet.jpg
Finger Chips,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg
Sabudana Vada,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1O6ziuAElEJ630iq-ZT8Wo5XdrYKapzLW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaVada.jpg
Sabudana Khichdi,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1e1uMS18TS-r3TfI7pxUzytlfmY73uUyZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaKhichdi.jpg
Aloo Chivda,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1E7X8l9GvtRduWj6yjIktoIMfJnc52EGO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/AlooChivda.jpg
Nylon Sabudana,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1qplHmAMomcaHEOGCVdi6iNI6E0TXvj5E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/NylonSabudana.jpeg
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Tomato Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",70,,https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg
Veg Hot & Sour Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",70,,https://drive.google.com/file/d/1qflrDTDVAq-39jgZpWoH-2bsNNsmbSOQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegHotSourSoup.jpg
Veg Manchow Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",70,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg
Mushroom Hot & Sour Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",70,,https://drive.google.com/file/d/1AefcfN08Fhk6-O4rsM_IRQPjluKN7X44/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/MushroomHotSourSoup.jpg
Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Chinese.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chinese,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Veg Manchurian,ProductType,4,"Inventory,Food,Restaurant,Chinese,Vegeterian,",140,,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg
Paneer Manchurian,ProductType,5,"Inventory,Food,Restaurant,Chinese,Vegeterian,",180,,https://drive.google.com/file/d/1EqHE3hvCkPqEYjP6uu4p5S3htSY97pAP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerManchurian.jpg
Gobi Manchurian,ProductType,6,"Inventory,Food,Restaurant,Chinese,Vegeterian,",140,,https://drive.google.com/file/d/1mgG8Dsqth64ofBMGNjgKK3jCOuEAatZF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiManchurian.jpg
Paneer Kentucky,ProductType,7,"Inventory,Food,Restaurant,Chinese,Vegeterian,",220,,https://drive.google.com/file/d/1oDEcl7wjHCppCo5PUdONIXKYJg5F-4kW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKentucky.jpg
Paneer 65,ProductType,8,"Inventory,Food,Restaurant,Chinese,Vegeterian,",220,,https://drive.google.com/file/d/18eQOtotfInWqsh70Rc6NLKcegEIaW-3Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paneer65.jpg
Paneer Chilli,ProductType,9,"Inventory,Food,Restaurant,Chinese,Vegeterian,",220,,https://drive.google.com/file/d/1Kk0U0y2YhiaEMjyJl-zWAzSE1Y1J7mHd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paneerchilli.jpg
Chana Chilli,ProductType,10,"Inventory,Food,Restaurant,Chinese,Vegeterian,",160,,https://drive.google.com/file/d/1YNDltsa5KWAs1klYgJSDUSiDjC_377yJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaChilli.jpg
Soya Chilli,ProductType,11,"Inventory,Food,Restaurant,Chinese,Vegeterian,",160,,https://drive.google.com/file/d/1nnPDBGG0RqbB6OaJo9J3RUDgc1w2fAiP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/SoyaChilli.jpg
Veg 65,ProductType,12,"Inventory,Food,Restaurant,Chinese,Vegeterian,",180,,https://drive.google.com/file/d/1vNWQi-EBkMH-6PuGayKQApq8nSpw6IHV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg65.jpg
Veg Crunchy,ProductType,13,"Inventory,Food,Restaurant,Chinese,Vegeterian,",220,,https://drive.google.com/file/d/1JbF4IP87oga3A6abBI1p2fKiscph9msu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCrunchy.jpg
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Veg Noodles,ProductType,4,"Inventory,Food,Restaurant,Noodles,Vegeterian,",160,,https://drive.google.com/file/d/11YHpTPQ5aPStb76GwxFCCKa5Btc_rhbO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Noodles.jpg
Veg Hakka Noodles,ProductType,5,"Inventory,Food,Restaurant,Noodles,Vegeterian,",160,,https://drive.google.com/file/d/1Q90LHM1ZJtlXVlbMoWnysu0n9Ip0TJG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hakka-Noodles.jpg
Veg Fried Noodles,ProductType,6,"Inventory,Food,Restaurant,Noodles,Vegeterian,",160,,https://drive.google.com/file/d/1R2sfNK9rvcuD_7IJzc4dht4W802g7WkZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Noodles.jpg
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
