label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,,
Idli,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1WtX7q-cTFbqcE0y1XfEbdUyRXfQT0ai_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/Idli.jpg,80,80
Idli Vada,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1a8DjWj-9MZr-g7cInbA_G23OamZdsMzi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/IdliVada.jpeg,80,80
Mendu Vada,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1P3cYg3IUZ4G8KkZ7ZwfGb94edpEARK0m/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/MenduVada.jpg,80,80
Dahi Vada,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1-BwtRPHlb0C4bpqSXJrWa4FUJYm4O70Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dahivada.jpg,,
Sabudana Vada,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",75,,https://drive.google.com/file/d/1O6ziuAElEJ630iq-ZT8Wo5XdrYKapzLW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaVada.jpg,,
Sabudana Khichdi,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",75,,https://drive.google.com/file/d/1e1uMS18TS-r3TfI7pxUzytlfmY73uUyZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaKhichdi.jpg,,
Finger Chips,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,90,90
Puri Bhaji,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png,80,80
Kanda Pakoda,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1clYZjpb4gur6hHQAigvPsDg4bearEZkd/view?usp=sharing,,80,80
Mirchi Pakoda,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1rDhVgewtIDrnwz9BYxrHpklktZtEam0Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MirchiPakoda.jpg,80,80
Mix Pakoda,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1B8nlMxSnVDk54de4vUS_mTtm5bMHNhgh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixPakoda.jpg,80,80
Paneer Pakoda,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",110,,https://drive.google.com/file/d/1GXXvajp0oAFz1nuXU7rs31No579wKwgl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPakoda.jpg,110,110
Masala Dosa,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",95,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg,95,95
Onion Uttapa,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",95,,https://drive.google.com/file/d/1uGrbHX2yFKIWdWwv_eXzViDguLNwk97v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/aprilimages/OnionUttapa.jpg,95,95
Schezwan Masala Dosa,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,https://drive.google.com/file/d/10MoB-IDNGiRGbPAePPLWwfrLEGVa_i7L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/SchezwanMasalaDosa.jpg,,
Paneer Chilli Dosa,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",165,,https://drive.google.com/file/d/1aPpDI3Whh_6guW4TeQaSWFaPedhL-_8e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilliDosa.jpg,,
Palak Masala Dosa,ProductType,20,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,https://drive.google.com/file/d/1cqUPj9V01W2Ng5p7ipWsGUwHI5-USVr5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/PalakMasalaDosa.jpg,130,130
Cheese Dosa,ProductType,21,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,https://drive.google.com/file/d/1H9Den3hRa_vDSF0ueBYGLC3Qlgj2s9QU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseDosa.png,,
Sagar Special Dosa,ProductType,22,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,,,,
Paper Masala Dosa,ProductType,23,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,https://drive.google.com/file/d/1NMkJ2wBDEnFxdDmUUpagj8A2ZA9tlTZE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paper-masala-dosa.jpg,130,130
Rava Masala Dosa,ProductType,24,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,https://drive.google.com/file/d/17Bx26DlKVy4Z5pnsEYFfSDcLS1-wIqZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/RavaMasalaDosa.jpg,130,130
Spring Dosa,ProductType,25,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,https://drive.google.com/file/d/1QYgeCbLebF90Z929XhqUZLRLIeBSg1bv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/SpringDosa.jpg,130,130
Mysore Masala Dosa,ProductType,26,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,,https://drive.google.com/file/d/1jXxK1PO3BkkFzE7FRk7GMEaOVeb2wp-y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mysoremasaladosa.jpg,130,130
Masala Uttapa,ProductType,27,"Inventory,Food,Restaurant,Snacks,Vegeterian,",110,,https://drive.google.com/file/d/11DfCI_VbkkFDYydmJ6IkBcmp-w09fx8c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/aprilimages/MasalaUttapa.jpeg,110,110
Tomato Omlett,ProductType,28,"Inventory,Food,Restaurant,Snacks,Vegeterian,",110,,https://drive.google.com/file/d/1kCpY5YWvkBQq7gjqYYemNwc53INbA7TZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TomatoOmlett.jpg,,
Extra Butter,ProductType,29,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1iMOJcj0bpEwy1BWOT_Cvq8_coXkJcxt4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraButter.jpg,30,30
Extra Cheese,ProductType,30,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/10YVSQDdgja9L1Tbrn0rPPPuAZJbTUmcF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraCheese.jpg,30,30
Roasted,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChillyCheeseroast.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roasted,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roasted,",,,,,,
Roast Papad,ProductType,4,"Inventory,Food,Restaurant,Roasted,Vegeterian,",25,,https://drive.google.com/file/d/1DRmj-yoGkysLNLLM1wJOzO9piiVI65EZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/RoastPapad.jpg,25,25
Fry Papad,ProductType,5,"Inventory,Food,Restaurant,Roasted,Vegeterian,",25,,https://drive.google.com/file/d/1CXp-AUOHGYhoMisfi_jKPGpu_ezSeqan/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FryPapad.jpg,25,25
Masala Papad,ProductType,6,"Inventory,Food,Restaurant,Roasted,Vegeterian,",30,,https://drive.google.com/file/d/1ypAnHqCtC52zDbEKyPOq7b5i9Uwj2c_r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MasalaPapad.jpg,30,30
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soups,",,,,,,
Tomato Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",120,,https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg,120,120
Palak Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",120,,https://drive.google.com/file/d/1b_lZk1-jhMLuqQF-BoqOibwGWxw_y8qi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakSoup.jpg,120,120
Veg Sweet Corn Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",120,,https://drive.google.com/file/d/1DhM9DUO6aGaH98qUCjU6GjG9Q4SeSyg2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSweetCornSoup.jpg,120,120
Hot & Sour Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",120,,https://drive.google.com/file/d/1teNyAur_VckwNp4ujk5k5x5svxiTBSGq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotSourSoup.jpg,120,120
Veg Manchow Soup,ProductType,8,"Inventory,Food,Restaurant,Soups,Vegeterian,",120,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg,120,120
Veg Clear Soup,ProductType,9,"Inventory,Food,Restaurant,Soups,Vegeterian,",120,,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg,120,120
Lemon Coriander Soup,ProductType,10,"Inventory,Food,Restaurant,Soups,Vegeterian,",120,,https://drive.google.com/file/d/1KHrpqE-RlZ6MBo-hCx_BdLBH0GRVxmyt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LemonCorianderSoup.jpg,120,120
Veg Minestrone Soup,ProductType,11,"Inventory,Food,Restaurant,Soups,Vegeterian,",120,,https://drive.google.com/file/d/1AlEuJUOk7D2eIHU9tonO1FcUD0jjVk3L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/VegMinestroneSoup.jpg,120,120
