label,nodeType,order,path,price,description,ingredients,link,imageLink
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Vegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Chicken Handi,ProductType,4,"Inventory,Food,Restaurant,Entree,Non Vegeterian,",80,," Chicken 200gm,3 finely chopped Onions,1 finely chopped Tomato,2 slit Green chilies,1/4 cup Curd / Yogurt, 1 tsp Ginger-Garlic paste,1 tsp Garam masala,1 tsp Red chili powder,1 tsp Coriander powder,1/4 tsp Turmeric powder,Salt to taste,3 tsp Oil.",https://drive.google.com/file/d/1RMADFPBuSEsBClMMjRRF3Ywu4mtb54pt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandi.jpg
Chicken Handi Full,ProductUnit,5,"Inventory,Food,Restaurant,Entree,Non Vegeterian,Chicken Handi,",80,," Chicken 200gm,3 finely chopped Onions,1 finely chopped Tomato,2 slit Green chilies,1/4 cup Curd / Yogurt, 1 tsp Ginger-Garlic paste,1 tsp Garam masala,1 tsp Red chili powder,1 tsp Coriander powder,1/4 tsp Turmeric powder,Salt to taste,3 tsp Oil.",https://drive.google.com/file/d/1LabfJ7U7HGWmo2mIPWym0Wm76D0yr7tH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiFull.jpg
Chicken Handi Half,ProductUnit,6,"Inventory,Food,Restaurant,Entree,Non Vegeterian,Chicken Handi,",50,," Chicken 200gm,3 finely chopped Onions,1 finely chopped Tomato,2 slit Green chilies,1/4 cup Curd / Yogurt, 1 tsp Ginger-Garlic paste,1 tsp Garam masala,1 tsp Red chili powder,1 tsp Coriander powder,1/4 tsp Turmeric powder,Salt to taste,3 tsp Oil.",https://drive.google.com/file/d/1XLzwK9SmXm48SjgSpen2LYnKWNg5f2Pv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiHalf.jpg
Chicken 65,ProductType,7,"Inventory,Food,Restaurant,Entree,Non Vegeterian,",80,,"250gm chicken Pcs ,1 teaspoon salt,½ teaspoon chili powder,1 teaspoon chopped garli,1 teaspoon finely chopped green chile peppers,4 tablespoons cornstarch,etc",https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65.jpg
Chicken Masala,ProductType,8,"Inventory,Food,Restaurant,Entree,Non Vegeterian,",100,,"200 gms Chicken,2 tbsp coriander powder,4 onions thinly sliced,2 tsp Garlic paste,salt as required,4 tbsp ghee,2 cup water,4 tbsp ghee,½ cup Yoghurt,2 tsp Ginger Paste,2 tsp red chilli powder,
3 Tomatoes finely chopped,1 tsp Garam masala powder,½ tsp turmeric,etc.",https://drive.google.com/file/d/16eM27vE_lLNM8GKZT5a35PjfaUi0laY9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMasala.jpg
Chicken Khurma,ProductType,9,"Inventory,Food,Restaurant,Entree,Non Vegeterian,",80,,,https://drive.google.com/file/d/10nrNRXUi6Uw4oFmUzusjS2VYbxj9yDmq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKhurma.jpg
Chicken Fry,ProductType,10,"Inventory,Food,Restaurant,Entree,Non Vegeterian,",80,,"salt 1/4 tsp,Oil 100 ml,onion 100 gms,ginger 5 gms,Chilly 5 gms,
Pepper powder 1/2 tsp,chicken masala 3/4 tsp,Chicken 200 gms.",https://drive.google.com/file/d/1mWmrLNgJfrNpnzlbAzFVibM_tkVFr_ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFry.jpg
Chicken Leg Piece,ProductType,11,"Inventory,Food,Restaurant,Entree,Non Vegeterian,",120,,"chicken Leg Pcs, chili powder,chopped garlic, chopped green chile peppers,salt,etc",https://drive.google.com/file/d/1ODdpZhyNV57PXbgk6pBg5Q8D-M37-6jZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLegPiece.jpg
Chicken Lolipop,ProductType,12,"Inventory,Food,Restaurant,Entree,Non Vegeterian,",150,,"250gm chicken Pcs ,1 teaspoon salt,½ teaspoon chili powder,1 teaspoon chopped garli,1 teaspoon finely chopped green chile peppers,4 tablespoons cornstarch,etc",https://drive.google.com/file/d/1DIWmP2-gzJpyfkJAbYYPaH8vFPHOj4J5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLolipop.jpg
