label,nodeType,order,path,price,description,ingredients,link,imageLink
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Jeera Dal,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",70,,"Masoor Dal / cups,Toowar Dal / cups,Dry Red Chilli  nos,turmeric powder  ,Asafoetida / ,Cumin Seeds  ,green chilli  nos,Coriander leaves  sprig,Garlic chopped  ,Ghee  ,Salt as per taste  ./  kashmiri chilli powder,/  garam masala powder,  kasoori methi,  coriander leaves, cups water + as needed,salt to taste.",https://drive.google.com/file/d/1EJ7aQXFCzNGyeOGe3YgKlynwaIM20zh1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraDal.jpg
Butter Dal,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,"Masoor Dal / cups,Toowar Dal / cups,Dry Red Chilli  nos,turmeric powder  ,Asafoetida / ,Cumin Seeds  ,green chilli  nos,Coriander leaves  sprig,Garlic chopped  ,Ghee  ,Salt as per taste  ./  kashmiri chilli powder,/  garam masala powder,  kasoori methi,  coriander leaves, cups water + as needed,salt to taste,Butter.",https://drive.google.com/file/d/1BkaDmQBgdeoxMDlGfpzS5S9xhSBqeqGg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterDal.JPG
Dal Fry,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,"½ cup toor dal,. cups water , pinch turmeric powder, to  tablespoons oil (,½ to ¾ teaspoon mustard seeds, teaspoon cumin seeds,⅓ cup finely chopped onions, green chilies , to  dry red chilies, to  curry leaves, to  pinches asafoetida powder ,¼ to ½ teaspoon Garam Masala,etc.",https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg
Dal Tadka,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,"½ cup toor da,  masoor dal ,¼  turmeric,½  salt,  oil,½ cup water,  ghee / clarified butter,½  cumin / jeera, bay leaf / tej patta,pinch hing / asafoetida, dried red chilli, clove garlic , inch ginger, chilli (slit),¼  turmeric,½  kashmiri red chilli powder,½  coriander powder,½  salt, tomato ,  coriander,  kasuri methi ,¼  garam masala.",https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg
Dal Kolhapuri,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,," cup Whole moongdal,  Ginger paste, Onion, Tomato,  Desighee,to taste Salt and red chilli powder,to taste Kolhapuri masal(coriander seeds,poppy seeds,dry red chilli,tej patta,zeera,cardamom).",https://drive.google.com/file/d/1xrOq7mnzkFDeljYtoKkbDC4HMKFbZsJH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKolhapuri.jpg
Udit Dal,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,,https://drive.google.com/file/d/1q8zQbVY22cZEjRsb0J54vBXG74GtHVqh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/UditDal.jpg
Moong Dal,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,,https://drive.google.com/file/d/1OiezP084BTGbi7vB5TSlE6vOH8WCZpFm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/MoongDal.jpg
Tawa Besan,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,," Green chilies,  Garlic,/  Cumin seeds, Lemon,to taste Salt, Onion,/ cup Gramflour / besan,as needed Oil,/  Turmeric powder.",https://drive.google.com/file/d/1CArwuE_kuHJJKpUhuQUQ0YQrQFCgiwhH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Besan.jpg
Besan,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,,,
Besan Masala,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,, ,
Shevga Curry,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,," pieces Drumstick,  Chilli, powder,  Coriander, powder,  Coriander, pinch Hing, Onion,  Peanut, Tomato,  Ginger garlic paste,  Mustard,  Garam masala,  Poppy seeds,  Salt,  Sesame,/  Turmeric, cup Water.",https://drive.google.com/file/d/1CeDA7KnJ6fyLIHv-ajlA3o-9zVvupG1n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ShevgaCurry.JPG
Chana Masala,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,," cup chickpea / chana,water (for soaking),¼  baking soda,¾  salt, cup water (for pressure cooking),¼ cup coriander seeds,¼ cup cumin / jeera,  pepper,  clove, pod black cardamom, inch cinnamon, mace / javitri,  fennel / saunf,  shah jeera / caraway seed, dried red chilli,  aamchur,  kasuri methi,  turmeric,  ghee / clarified butter, pod cardamom, bay leaf,  cumin / jeera, onion (finely chopped), chilli (slit),  ginger garlic paste,½  salt, cup tomato puree,  coriander (finely chopped).",https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg
Shev Bhaji,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,," cup spicy sev,¾ cup onion,¾ cup dry grated coconut,- garlic cloves , teaspoon grated ginger , teaspoon jeera, tablespoon oil preferably peanut oil, teaspoon dhana powder , teaspoon turmeric powder , - teaspoon red  bedgi mirchi, teaspoon garam masala, teaspoon finely chopped coriander,salt as required, cups of water.",https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg
