label,nodeType,order,path,price,link,imageLink,Swiggy ,Zomato,description
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Starters,Vegeterian,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,,
Veg Chilly,ProductType,4,"Inventory,Food,Restaurant,Starters,Vegeterian,",100,https://drive.google.com/file/d/1uajZYs-SoWFHXgfHEpp9emy3K1lt9Hkp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegChilly.jpg,,,
Veg Crispy,ProductType,5,"Inventory,Food,Restaurant,Starters,Vegeterian,",140,https://drive.google.com/file/d/1eRoWy7sVeONn6q-umwbzYIj5GCmDsI26/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegCrispy.jpg,150,150,
Veg Machurian,ProductType,6,"Inventory,Food,Restaurant,Starters,Vegeterian,",100,https://drive.google.com/file/d/10LaEtgt23KonpBlyLu0EzRFqT2D3IV8Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VegMachurian.jpg,,160,
Veg 65,ProductType,7,"Inventory,Food,Restaurant,Starters,Vegeterian,",100,https://drive.google.com/file/d/1vNWQi-EBkMH-6PuGayKQApq8nSpw6IHV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg65.jpg,150,165,
Gobi Manchurian,ProductType,8,"Inventory,Food,Restaurant,Starters,Vegeterian,",120,https://drive.google.com/file/d/1mgG8Dsqth64ofBMGNjgKK3jCOuEAatZF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiManchurian.jpg,140,155,
Gobi Chilly,ProductType,9,"Inventory,Food,Restaurant,Starters,Vegeterian,",120,https://drive.google.com/file/d/1NoJthUNrvNTbBYZgVlUu1jJze3EGobFY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiChilly.jpg,150,,
Paneer Chilly,ProductType,10,"Inventory,Food,Restaurant,Starters,Vegeterian,",160,https://drive.google.com/file/d/1kCqkt77Pxcbez6FkI0cGxMSwSl6KLsdx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilly.jpg,200,,
Paneer Manchurian,ProductType,11,"Inventory,Food,Restaurant,Starters,Vegeterian,",160,https://drive.google.com/file/d/1EqHE3hvCkPqEYjP6uu4p5S3htSY97pAP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerManchurian.jpg,190,,
Paneer Crispy,ProductType,12,"Inventory,Food,Restaurant,Starters,Vegeterian,",160,https://drive.google.com/file/d/1TJp0KX-8wfgwRILDcIYKAlOmRFxEiX8y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerCrispy.jpg,200,,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,,
Veg Fried Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,140,150,
Veg Triple Rice,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",130,https://drive.google.com/file/d/1S84EA_U3l0u3TB0aIWPlx5c7vcMEU8LT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/VegTripleRice.jpg,,,
Veg Singapore Rice,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",100,https://drive.google.com/file/d/1h1rfg0xvlE0AE9_kpzW1zCh0kyckxKmG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSingaporeRice.jpg,170,,
Veg Schezwan Rice,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,https://drive.google.com/file/d/1-I-WSFeFbKd9hlnc9-xzXQYn5XKPgbKD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanRice.jpg,160,,
Steam Rice,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,https://drive.google.com/file/d/1JwfmCVcMa9KTZbWP9pCn79TsIEWL0c1s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SteamRice.jpg,70,,
Steam Rice Full,ProductUnit,9,"Inventory,Food,Restaurant,Rice,Vegeterian,Steam Rice,",70,https://drive.google.com/file/d/1RmdWMYUP-cS6cEoP47C4jrzK-XbS_o86/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SteamRiceFull.jpg,70,,
Steam Rice Half,ProductUnit,10,"Inventory,Food,Restaurant,Rice,Vegeterian,Steam Rice,",40,https://drive.google.com/file/d/1rz5zXPIQGSpQfEGwxkotCPgigfE2dDqK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Steam-Rice-Half.jpg,40,,
Jeera Rice,ProductType,11,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRice.jpg,90,,
Jeera Rice Full,ProductUnit,12,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",90,https://drive.google.com/file/d/1XWi_RFUxoXm7T2NMDEQrUBKa57-mY2EL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceFull.gif,90,,
Jeera Rice Half,ProductUnit,13,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",55,https://drive.google.com/file/d/1gab5eRuLll1Ed8DokZQ1FuTko20Esbwa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceHalf.jpg,60,65,
Veg Biryani,ProductType,14,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,https://drive.google.com/file/d/1jR3STBQoAfkKOHnvdjdNXjOE5ZqtJexz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Biryani.jpg,120,130,
Veg Pulav,ProductType,15,"Inventory,Food,Restaurant,Rice,Vegeterian,",130,https://drive.google.com/file/d/1JVN_maOr1Clvt-SlU51QylwBcZng4liR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPulav.jpg,140,150,
Dal Khichdi,ProductType,16,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,https://drive.google.com/file/d/1eYgIjQw-U3ZGT8GEPhcg9KZJWnc7BvLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdi.jpg,140,150,
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Noodles,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,,
