label,nodeType,order,path,price,description,link,imageLink
Maharashtrian Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1WxOGbCZF3hlCn-_s-nxEXAooyb8CBWa2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/MaharashtrianBreakfast.png
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,Maharashtrian Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterain,ProductLine,2,"Inventory,Food,Restaurant,Maharashtrian Breakfast,",,,,
Puri Bhaji,ProductType,3,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",45,,https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png
Aloo Vada,ProductType,4,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",35,,https://drive.google.com/file/d/1guh9RCBy_N69Ni8tZ61vPxXfGKU41Yyy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooVada.jpg
Khichadi,ProductType,5,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",20,,https://drive.google.com/file/d/1ir4S6PiQHq6sI1ulqEFIXvlmuWa3dayK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Khichadi.jpg
Shabudana,ProductType,6,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",35,,https://drive.google.com/file/d/1jwr-SPdd9Re4PTyfOyuNpZWuP-Gu0BDa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shabudana.jpg
Sheera,ProductType,7,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",20,, ,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheera.jpg
Dahi Misal,ProductType,8,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",35,,https://drive.google.com/file/d/1EVOvE6Fgp8fCcDYYUT9HDoZ2t_E44iCR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiMisal.jpg
Upma,ProductType,9,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",20,,https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg
Bhaji Misal,ProductType,10,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",35,, ,
Papad,ProductType,11,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",15,,https://drive.google.com/file/d/16hT2z2acPZOT8kC3lLy6aGyloDfdTzJO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Papad.jpg
Masala Papad,ProductType,12,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",20,,https://drive.google.com/file/d/1ypAnHqCtC52zDbEKyPOq7b5i9Uwj2c_r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MasalaPapad.jpg
Dahi Wati,ProductType,13,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",15,,https://drive.google.com/file/d/1XKB5-vJScr6ytIBqV44tfvNzz5vAyX9H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiWati.jpg
Dosa,ProductType,14,"Inventory,Food,Restaurant,Maharashtrian Breakfast,Vegeterain,",40,,https://drive.google.com/file/d/1S27_SamV5I_MnNM6yoDxAQT_kPAyDE-1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dosa.jpg
South Indian Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1hdUcV6tcWyjAYkqZH3mT8rgtupCqQr7g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/SouthIndianBreakfast.jpg
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,South Indian Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,South Indian Breakfast,",,,,
Dosa,ProductType,3,"Inventory,Food,Restaurant,South Indian Breakfast,Vegeterain,",40,,https://drive.google.com/file/d/1S27_SamV5I_MnNM6yoDxAQT_kPAyDE-1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dosa.jpg
Masala Dosa,ProductType,4,"Inventory,Food,Restaurant,South Indian Breakfast,Vegeterain,",50,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg
