label,nodeType,order,path,price,ingredients,link,imageLink,Swiggy ,Zomato,description
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,,,
Matki Fry,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,"Ankurit moth,  Onion chopped,  Tomato chopped,  Green chilli chopped,  Turmeric powder,  Coriander chilli powder  , taste Salt,   Water, ",https://drive.google.com/file/d/1wRz1Wq71HsdPwf6VK_T6eNbhILB5XxLr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MatkiFry.jpg,,90,
Chana Fry,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1RFS1DNPZQpWE-68Jhzmt8L7N6myxbdTT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChanaFry.jpg,,90,
Green Piece Fry,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1mZdJ7pAilf5ooVu5rNGhwfjgMBUNyNa3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/GreenPieceFry.jpg,,90,
Kanda Pakoda,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,"onion, chilli ,  coriander,  chilli powder,  turmeric,  cumin powder,  ajwain,  ginger paste,salt,besan   flour,  rice flour,oil (for frying).",https://drive.google.com/file/d/1clYZjpb4gur6hHQAigvPsDg4bearEZkd/view?usp=sharing,,,90,
Chilli Pakoda,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80," to   to  green chillie,oil for deep frying, ,   flour (besan),  red chilli powder,  turmeric powder,  Garam Masala,salt ,water",https://drive.google.com/file/d/1GJ_RmOPw-H1FwnqOZHcIOaUXxJwoELqO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChilliPakoda.jpg,,90,
Chilli Cut Pakoda,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1IwEFAhrcfKvdgWoGT55sWrpc_I-kYk0T/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChillicutPakoda.jpg,,90,
Soyabean Fry,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,"  soya chunks,. to  s water, pinch salt, inch cinnamon, cloves, green cardamom,  thinly sliced onions,  finely chopped ginger,  finely chopped garlic, to  curry leaves, to  green chillies,finely chopped tomatoes,  turmeric powder.",https://drive.google.com/file/d/1yeQta5qvP54FwQW3ZecQX2CKGKMIr9w1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SoyabeanFry.jpg,,90,
Soyabean Roast,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80," s soya chunks, onions (sliced), green chilies (slit),  ginger garlic paste,  chili powder,  turmeric powder,  coriander powder,chicken masala, sprigs curry leaves,  sliced coconut ,  mustard seeds,salt ,oil .",https://drive.google.com/file/d/1kyP3UX3RO5K8__8zfLlJoGx_1pkW-wGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SoyabeanRoast.jpg,,90,
Chana Roast,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1VwIaIOqpwZcXMFxcjxhg4ORhmIWHfk3Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChanaRoast.jpg,,90,
Chana Roast Cotting,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1jfWXUG8KdHXhbRJjtADZJ8AvQ_FVRHdR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ChanaRoastCotting.jpg,,,
Finger Chips,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,"  potato,cold water,oil (for frying),chilli powder,salt",https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,,90,
Finger Chips Masala,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1zg6l0HgwVxhrO7Y-hdzCrW_GTuVYc9Kq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FingerChipsMasala.jpg,,100,
Lasan Fry,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1d-20HQTY1dlG_soAS_9tWw7AVgK0JY3P/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/LasanFry.jpg,,90,
Tawa Shengdana,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1CS_JrEMmbn1WVTJJUhFDeZdzobX7jTRW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Shengdana.jpg,,,
Shengdana Oil Roast,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1Ov2P5anq-w5eyvPdP9cUJsvoSIJcOCFC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ShengdanaOilRoast.jpg,,70,
Shendana Fry,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,"Raw Peanuts   ,Salt ,Red chilli powder  ,Garam masala powder  ,Chaat masala  .",https://drive.google.com/file/d/1uQqcOQ3w3gi2Wjb-AqLteAE6KBISEGMS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ShendanaFry.jpg,,70,
Hawai Bhendi,ProductType,20,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,,,,,,
Veg Machurian,ProductType,21,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120," grated cabbage, grated carrot,  maida,  Salt,  chilli sauce,  soya sauce,  tomato ketchup,  lemon juice,  sugar,capsicum, onion,  chopped",https://drive.google.com/file/d/10LaEtgt23KonpBlyLu0EzRFqT2D3IV8Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VegMachurian.jpg,,,
Chana Chilli,ProductType,22,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,"  chikpea  chana ,  kashmiri red chilli powder,salt,oil for deep frying,  corn flour, clove garlic, inch ginger, green chilli,  spring onions , onion, cubes capsicum,  chilli sauce,  tomato sauce,  vinegar,  pepper,  soy sauce,  salt.",https://drive.google.com/file/d/1YNDltsa5KWAs1klYgJSDUSiDjC_377yJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaChilli.jpg,,130,
Chana 65,ProductType,23,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,,https://drive.google.com/file/d/1r6CXgcqtLUZ1eqZ4VpJgIrjpyeD2epXe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/Chana65.jpg,,130,
Paneer Chilli,ProductType,24,"Inventory,Food,Restaurant,Snacks,Vegeterian,",150,"""Paneer:   cubed,Onions:  finely sliced,Capsicum:  sliced,Green chillies: ,Garlic:   finely chopped,Corn flour:   ,Salt:  ,Black pepper powder:  ,Soya sauce:  ,Tomato sauce:  ,Red chilli sauce:  """,https://drive.google.com/file/d/1Kk0U0y2YhiaEMjyJl-zWAzSE1Y1J7mHd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paneerchilli.jpg,,,
Paneer 65,ProductType,25,"Inventory,Food,Restaurant,Snacks,Vegeterian,",150,"  Paneer ,  Rice Flour,   flour (besan),  cornstarch,  green chili paste,  garlic paste,  ginger paste, red chili powder, to  Garam Masala,  lemon juice ,  oil –,salt ,  finely chopped onions, to  green chilies , finely chopped ginger, finely chopped garlic, to  dry red chilies , to  pinches salt.",https://drive.google.com/file/d/18eQOtotfInWqsh70Rc6NLKcegEIaW-3Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paneer65.jpg,,160,
Paneer Roast,ProductType,26,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,,https://drive.google.com/file/d/1VnPZOIvrXBUDEA6vyqEHzUS6eJlfiCRB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerRoast.jpg,,130,
Veg Crunchy,ProductType,27,"Inventory,Food,Restaurant,Snacks,Vegeterian,",140,,https://drive.google.com/file/d/1JbF4IP87oga3A6abBI1p2fKiscph9msu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCrunchy.jpg,,150,
Harabhara Kabab,ProductType,28,"Inventory,Food,Restaurant,Snacks,Vegeterian,",140,,https://drive.google.com/file/d/1BrPwx-w-1MjPfTMaqxvQ8dO_Ru7736Ex/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/HaraBharaKabab.jpg,,,
Roasted,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChillyCheeseroast.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roasted,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roasted,",,,,,,,
Roast Papad 2 Piece,ProductType,4,"Inventory,Food,Restaurant,Roasted,Vegeterian,",24,,https://drive.google.com/file/d/1KOkR0S9AJQM5RmRhJBE2qlnT3qqVClk1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roast-Papad-2-Piece.jpg,,,
Fry Papad 2 Piece,ProductType,5,"Inventory,Food,Restaurant,Roasted,Vegeterian,",30,,https://drive.google.com/file/d/1pkB-SMyZrEPcxt429T6l6WNH6A5dco8m/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FryPapad2Piece.jpg,,,
Masala Papad 2 Piece,ProductType,6,"Inventory,Food,Restaurant,Roasted,Vegeterian,",40,,,,,,
Papad Bhurji,ProductType,7,"Inventory,Food,Restaurant,Roasted,Vegeterian,",60,,https://drive.google.com/file/d/11JFQvy-40nCvCVNkd3LUlkTWe55gvFNX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PapadBhurji.jpg,,,
Salad,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Salad,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Salad,",,,,,,,
Salad,ProductType,4,"Inventory,Food,Restaurant,Salad,Vegeterian,",40,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg,,40,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soups,",,,,,,,
Tomato Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",80," fresh tomatoes, slice onion, cloves garlic,  chicken ,  butter,  allpurpose flour,  salt,  white sugar, or .",https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg,,90,
