label,nodeType,order,path,price,description,ingredients,link,imageLink
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Soyabean Fry,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,,https://drive.google.com/file/d/1yeQta5qvP54FwQW3ZecQX2CKGKMIr9w1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SoyabeanFry.jpg
soyabean Roast,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,,https://drive.google.com/file/d/1kyP3UX3RO5K8__8zfLlJoGx_1pkW-wGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SoyabeanRoast.jpg
Chilli Pakoda,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,"6 to 7 medium to large green chillie,oil for deep frying, as required,1 cup gram flour (besan),¼ tsp red chilli powder,¼ tsp turmeric powder,¼ tsp Garam Masala,salt as required,water as required,",https://drive.google.com/file/d/1GJ_RmOPw-H1FwnqOZHcIOaUXxJwoELqO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChilliPakoda.jpg
Onion Pakoda,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,"6 to 7 medium to large  Onion,oil for deep frying, as required,1 cup gram flour (besan),¼ tsp red chilli powder,¼ tsp turmeric powder,¼ tsp Garam Masala,salt as required,water as required,",https://drive.google.com/file/d/1GSiQ3dldo8AURsDTZvnk5venQv5TLYWe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionPakoda.jpg
Finger Chips,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,"4 large potato,cold water ,oil (for frying),½ tsp chilli powder,½ tsp salt,",https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg
Masala Papad,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,"1 papad,oil (for frying),2 tbsp onion,2 tbsp tomato,2 tbsp sev,pinch chaat masala,pinch chilli powder,etc",https://drive.google.com/file/d/1ypAnHqCtC52zDbEKyPOq7b5i9Uwj2c_r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MasalaPapad.jpg
Plain Papad Big,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,,https://drive.google.com/file/d/1eoWZ2IBpXoc9rvFwMgAN1rqNo7K1Vmc4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/PlainPapadBig.jpg
Plain Papad Small,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",10,,,https://drive.google.com/file/d/11EkUMy7ltMasAsEF5SMHmwQ4LqFpCYnG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/PlainPapadSmall.jpg
Matki Fry,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,"2,cup Ankurit moth,1/2 cup Onion chopped,1/2 cup Tomato chopped,1 tsp Green chilli chopped,1/2 tsp Turmeric powder,1 tbsp Coriander chilli powder ,as per taste Salt,1 cup Water,1 tbsp Coriander,1 tbsp Oil,",https://drive.google.com/file/d/1wRz1Wq71HsdPwf6VK_T6eNbhILB5XxLr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MatkiFry.jpg
Shevga Fry,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,,https://drive.google.com/file/d/1f7PbcO_3bQCFZTl4CwK3BRaN7dNTFqkR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevga-Fry.jpg
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
Jeera Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,,"½ cup basmati rice,1 tsp oil,½ tsp salt,½ tsp salt,2 tbsp coriander,water,etc",https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRice.jpg
Jeera Rice Full,ProductUnit,5,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",90,,"½ cup basmati rice,1 tsp oil,½ tsp salt,½ tsp salt,2 tbsp coriander,water,etc",https://drive.google.com/file/d/1XWi_RFUxoXm7T2NMDEQrUBKa57-mY2EL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceFull.gif
Jeera Rice Half,ProductUnit,6,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",50,,"½ cup basmati rice,1 tsp oil,½ tsp salt,½ tsp salt,2 tbsp coriander,water,etc",https://drive.google.com/file/d/1gab5eRuLll1Ed8DokZQ1FuTko20Esbwa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceHalf.jpg
Plain Rice,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",80,,"1 cup Rice,3 cups Water,1 tsp Oil (optional),1 tsp Salt (optional)",https://drive.google.com/file/d/18J_mJa06XUs-QW11tFlny9iB4N4MgBaj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Rice.jpg
Plain Rice Full,ProductUnit,8,"Inventory,Food,Restaurant,Rice,Vegeterian,Plain Rice,",80,,"1 cup Rice,3 cups Water,1 tsp Oil (optional),1 tsp Salt (optional)",https://drive.google.com/file/d/1dUIF8EVW5-rM5FBwTvYL7kMpDGgKkHQg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Rice.jpg
Plain Rice Half,ProductUnit,9,"Inventory,Food,Restaurant,Rice,Vegeterian,Plain Rice,",40,,"1 cup Rice,3 cups Water,1 tsp Oil (optional),1 tsp Salt (optional)",https://drive.google.com/file/d/1dUIF8EVW5-rM5FBwTvYL7kMpDGgKkHQg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Rice.jpg
Masala Rice,ProductType,10,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,,,https://drive.google.com/file/d/1f42W8I8vF2MKOR1_NEpVKeDqUYYxbwXH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaRice.jpg
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,,
Jawar Bhakri,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",10,,"""jowar flour 1 cups,rice flour 2 tbsp,hot water 1/4 cups,salt to taste 1 tsp",https://drive.google.com/file/d/1eYph0RkH20vg3t5s9WELqLg3mxaJkk57/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/JawarBhakri.jpg
Bajri,ProductType,5,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",10,,"""Bajri flour 1 cups,rice flour 2 tbsp,hot water 1/4 cups,salt to taste 1 tsp",https://drive.google.com/file/d/1SK_eX-7lgofYtsx0VHX0M_EpxMiZ1PMz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/Bajri.jpg
Paratha,ProductType,6,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",10,,"whole wheat flour 2 cups,Salt 1 tsp,water 3/4 cups,ghee (clarified butter) 1 cups",https://drive.google.com/file/d/1TzQe_S2wAAEOYGt6H0PIyCfvU5Kmrnwx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paratha.jpg
Veg Sabji,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1OLwS9geXwYAiZZ7HDGwwTONT3HbCWFcy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSabji.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Sabji,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Sabji,",,,,,
Paneer Tikka Masala,ProductType,4,"Inventory,Food,Restaurant,Veg Sabji,Vegeterian,",150,,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg
Paneer Masala,ProductType,5,"Inventory,Food,Restaurant,Veg Sabji,Vegeterian,",150,,,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg
Palak Paneer,ProductType,6,"Inventory,Food,Restaurant,Veg Sabji,Vegeterian,",150,,"500 gms Spinach, pureed,15-16 Paneer cubes,2 tbsp Oil,1 tsp Cumin seeds,1 Bay leaf,1 tsp Ginger, finely chopped,1 tsp Garlic, finely chopped,1 cup Onion paste (boiled), grated,1/2 cup Tomato, pureed,2 tsp Salt,1/2 tsp Garam masala,1/2 tsp Red pepper, powdered,1 tbsp Cream,etc",https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg
Gobi Masala,ProductType,7,"Inventory,Food,Restaurant,Veg Sabji,Vegeterian,",100,,,https://drive.google.com/file/d/1COWKM46hafRmzQy4uTTfPIXcAvZaZF7a/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiMasala.jpg
Baigan Masala,ProductType,8,"Inventory,Food,Restaurant,Veg Sabji,Vegeterian,",90,,,https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg
Shev Bhaji,ProductType,9,"Inventory,Food,Restaurant,Veg Sabji,Vegeterian,",90,,"1 cup spicy sev,¾ cup onion,¾ cup dry grated coconut,9-10 garlic clove,2 teaspoon grated ginger ,1 teaspoon jeera,1 tablespoon oil preferably peanut oil ,2 teaspoon dhana powder,1 teaspoon garam masala ,salt as required,4 cups of water,etc",https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg
Shevga,ProductType,10,"Inventory,Food,Restaurant,Veg Sabji,Vegeterian,",100,,,,
Veg Kolhapuri,ProductType,11,"Inventory,Food,Restaurant,Veg Sabji,Vegeterian,",100,,"½ medium sized potato,1 small carrot,5 beans,1 cup gobi / cauliflower,2 cups water,½ tsp salt,1 tsp sesame seeds,½ tsp cumin seeds,1 tsp coriander seeds,1 inch cinnamon stick,2 cloves,4 black pepper,3 dried kashmiri red chili,2 tbsp coconut ,3 tbsp oil,1 medium sized onion,1 tsp ginger-garlic paste,2 medium sized tomatoes,½ tsp turmeric / haldi,salt to taste,1 cup water,",https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg
