label,nodeType,order,path,price,description,ingredients,link,imageLink
Main Course,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1m5XsBb7LQLRcRXeE4fsSnXTi-B3tSBuH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MainCourse.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Main Course,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Main Course,",,,,,
Chicken Chatpata,ProductType,4,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",160,,"chicken -  g,lemon juice -  ,onion seeds (kalonji) -  ,tomato puree - / cup,red chilli -  ,mustard seeds -  ,oil - ,salt to taste,coriander leaves, chopped - / cup,turmeric powder -  ,coriander powder -  ,ginger and garlic paste -   each.",https://drive.google.com/file/d/1jSvbzJcviOtx3MCJZ17Kkk-eiOMPL68f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ChickenChatpata.jpg
Chicken Angara,ProductType,5,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,"Chicken  ,Yogurt ½ cup,Ginger garlic paste  ,Turmeric powder ¼ ,Red chili powder  ,Coriander powder ½ ,Cumin powder  ,Red chili paste  ,Salt to taste,Fried onion (grated) ¼ cup,Tomato paste ½ cup,Almond paste  ,Clarified butter ½ cup,Ginger and fresh coriander for garnish.",https://drive.google.com/file/d/18gwt4OLjzx18MzmZPlFXRjIwluiEeeb-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenAngara.jpg
Chicken Maharaja,ProductType,6,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",150,," g - chicken, g - fresh cream, g - fresh tomato puree, g - butter, g - kasturi methi,  - garam - masala,Salt to taste,  - curd,  each - garlic paste, ginger paste.",https://drive.google.com/file/d/1WaUnrjrXIZcc7tzb-r8CiW8NrYFq_m0_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMaharaja.jpg
Chicken Korma,ProductType,7,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,," pounds boneless skinless chicken breasts, teaspoons extra virgin olive oil, teaspoons garam masala, teaspoons curry powder,/ teaspoon salt,/ teaspoon freshly ground black pepper,etc",https://drive.google.com/file/d/1IimFcqKkIfEAHeDjOYVeam2dPxcjU_rg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKorma.jpg
Chicken Curry,ProductType,8,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",120,," s Chicken,  coriander powder, onions thinly sliced,  Garlic paste,salt as required,  ghee, cup water,  ghee,½ cup Yoghurt,  Ginger Paste,  red chilli powder,
 Tomatoes finely chopped,  Garam masala powder,½  turmeric,etc.",https://drive.google.com/file/d/1dU5-tSB4k1PcuEGJMCv4sWBNDgUrp2y5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenCurry.jpg
Chicken Masala,ProductType,9,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,,""" s Chicken,  coriander powder, onions thinly sliced,  Garlic paste,salt as required,  ghee, cup water,  ghee,½ cup Yoghurt,  Ginger Paste,  red chilli powder, Tomatoes finely chopped,  Garam masala powder,½  turmeric,etc.",https://drive.google.com/file/d/16eM27vE_lLNM8GKZT5a35PjfaUi0laY9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMasala.jpg
Chicken 65,ProductType,10,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",120,," chicken Pcs , teaspoon salt,½ teaspoon chili powder, teaspoon chopped garli, teaspoon finely chopped green chile peppers, tablespoons cornstarch,etc",https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65.jpg
Chicken Leg Peas,ProductType,11,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",75,,"chicken Leg Pcs, chili powder,chopped garlic, chopped green chile peppers,salt,etc",https://drive.google.com/file/d/1HRrgGYT3ZPDMLezcHDO0P133xEq1oHed/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/ChickenLegPeas.jpg
Butter Chicken,ProductType,12,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,"  Red Chilli Powder,  Ginger-Garlic Paste,  Salt,  Lemon Juice,/  Garam Masala,  Kasuri Methi,  Oil, to taste Butter Cubes, Cinnamon Stick, sliced, Tomatoes, chopped,  Ginger-Garlic Paste, /  Red Chilli Powder,  Kasuri Methi,  Cardamom Powder, Green Chilli.",https://drive.google.com/file/d/13BFw9Vk7UW7grE4fxHCmBswFC3wSG4uf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterChicken.jpg
Chicken Kadai,ProductType,13,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",200,," teaspoon black peppercorns, teaspoons coriander seeds, teaspoons cumin seeds, tablespoons ghee, bay leaf, medium onions chopped, garlic cloves minced,- inch ginger minced, teaspoons salt, teaspoon Kashmiri chili powder, pounds skinless chicken thighs cut into quarters, teaspoon garam masala.",https://drive.google.com/file/d/1C8cxqgdypW9jEspNKDp3OcfYHm85b71r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKadai.jpg
Dum Chicken,ProductType,14,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",250,,,https://drive.google.com/file/d/18LLiC57kDusibfeU2pP84e5jkszS0ySj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/DumChicken.jpg
Dry Chicken,ProductType,15,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",200,,,https://drive.google.com/file/d/16h5IM8Lz35rLsG8_tLz27wvT3HHM5qn3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/DryChicken.jpg
Chicken Tawa,ProductType,16,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",250,,,https://drive.google.com/file/d/13R5cQOyDXNNPjbruhS06ERhGQKBAYZ9N/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenTawa.jpg
Anda Curry,ProductType,17,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",120,,"- Hard Boiled Eggs, tablespoon Oil, Large Onions Roughly Chopped, Large Tomato Roughly Chopped,"" Ginger Piece Finely Chopped, teaspoon Coriander Seeds,Water as needed,Salt as needed,etc",https://drive.google.com/file/d/1BCryV9DFuzGTHFf0DaHehExwimD3aw2Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaCurry.jpg
Non Veg Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1jdolLKli3NyC1zxk_um1s75h37gof4Is/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/NonVegRice2.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Non Veg Rice,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Non Veg Rice,",,,,,
