label,nodeType,order,path,price,description,link,imageLink,ingredients
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
Sangam,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,",40,,,,
Chicken Biryani,ProductType,5,"Inventory,Food,Restaurant,Rice,NonVegeterian,",60,,https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,,"350 gm chopped chicken,300 gm boiled basmati rice,20 gm garam masala powder,30 ml ghee,10 ml water,60 gm beaten yoghurt ,15 gm ginger paste,15 gm garlic paste,salt as required,1 tablespoon coriander leaves,7 gm red chilli powder,Etc"
Chicken Biryani Full,ProductUnit,6,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Biryani,",60,,https://drive.google.com/file/d/1cB4acCApo4z12zUML2oy6S9GRCDvT72p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryaniFull.jpg,"350 gm chopped chicken,300 gm boiled basmati rice,20 gm garam masala powder,30 ml ghee,10 ml water,60 gm beaten yoghurt ,15 gm ginger paste,15 gm garlic paste,salt as required,1 tablespoon coriander leaves,7 gm red chilli powder,Etc"
Chicken Biryani Half,ProductUnit,7,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Biryani,",40,,https://drive.google.com/file/d/1aloKeSRYqs7qHXeY2iQsIPyXg_uX_UtY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryaniHalf.jpg,"350 gm chopped chicken,300 gm boiled basmati rice,20 gm garam masala powder,30 ml ghee,10 ml water,60 gm beaten yoghurt ,15 gm ginger paste,15 gm garlic paste,salt as required,1 tablespoon coriander leaves,7 gm red chilli powder,Etc"
Biryani Handi,ProductType,8,"Inventory,Food,Restaurant,Rice,NonVegeterian,",60,,https://drive.google.com/file/d/156L93UbErZKgczGrceVWTYaXZ8RW41h2/view?usp=sharing,,
Tahari Handi,ProductType,9,"Inventory,Food,Restaurant,Rice,NonVegeterian,",60,,https://drive.google.com/file/d/1EMXx4ul6Kb3bzL1Us7pQRcC8vZG0POXx/view?usp=sharing,,
Chicken Biryani Handi,ProductType,10,"Inventory,Food,Restaurant,Rice,NonVegeterian,",90,,https://drive.google.com/file/d/1IWXrpAFtTQ0EC0TY7imGq1zdTiehNP9g/view?usp=sharing,,
