label,nodeType,order,path,price,description,link,imageLink,Swiggy
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,
Shira,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",60,,https://drive.google.com/file/d/1-CKidmsaA96NbSwCxk6s9ELoac13LUry/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shira.jpg,60
Upma,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",55,,https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg,
Udid Wada,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1QxWhlWUB2Z0y2quXfv96YfJsK_JlRE7j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/UdidWada.jpg,
Idli,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",70,,https://drive.google.com/file/d/1WtX7q-cTFbqcE0y1XfEbdUyRXfQT0ai_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/Idli.jpg,70
Puri Bhaji,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png,
Misal Pav,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/10zM6xFtQkYtAL4YWGywPsxiCdULwwfcN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MisalPav.jpg,
Dahi Misal,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",85,,https://drive.google.com/file/d/1EVOvE6Fgp8fCcDYYUT9HDoZ2t_E44iCR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiMisal.jpg,
Masala Dosa,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg,
Sada Dosa,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",75,,https://drive.google.com/file/d/1BfV6qb8VSQOEdjF50P7dvolLiVExsGGj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SadaDosa.jpg,
Onion Uttapa,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1uGrbHX2yFKIWdWwv_eXzViDguLNwk97v/view?usp=sharing,,
Plain Uttapa,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",75,,https://drive.google.com/file/d/1bdbwkdEN5twkwGKVzBUV5Bwce4cqTDRP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/aprilimages/PlainUttapa.jpg,
Tomato Omlett,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",85,,https://drive.google.com/file/d/1kCpY5YWvkBQq7gjqYYemNwc53INbA7TZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TomatoOmlett.jpg,
Sabudana Wada,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1kihbwrwdRV5ZOK2X9Y89eZjdhxndH0ks/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaWada.jpg,
Sabudana Khichdi,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1e1uMS18TS-r3TfI7pxUzytlfmY73uUyZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaKhichdi.jpg,
Finger Chips,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,
Dahi Wada,ProductType,19,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",95,,https://drive.google.com/file/d/1XSgQiyz7qgi77zcbrPshoQKVHbKIPO8z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/DahiWada.jpg,
Rava Masala Dosa,ProductType,20,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",95,,https://drive.google.com/file/d/17Bx26DlKVy4Z5pnsEYFfSDcLS1-wIqZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/RavaMasalaDosa.jpg,
Mysore Masala Dosa,ProductType,21,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",95,,https://drive.google.com/file/d/1jXxK1PO3BkkFzE7FRk7GMEaOVeb2wp-y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mysoremasaladosa.jpg,
Cut Dosa,ProductType,22,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",95,,https://drive.google.com/file/d/1l8pElnwn_LfSa3XWFCL_UOqoF0kED8Eb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CutDosa.jpg,
Spring Dosa,ProductType,23,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/1QYgeCbLebF90Z929XhqUZLRLIeBSg1bv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/SpringDosa.jpg,
Sai Special Dosa,ProductType,24,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",115,,,,
Paper Dosa,ProductType,25,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/18P7_DSAP2PRRWE2t4cq1cXZLjGwenZJQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paper-Dosa.jpg,
Pav Bhaji,ProductType,26,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",80,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soups,",,,,,
Cream Of Tomato Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,,https://drive.google.com/file/d/1WHFUPHIxPdlEVtTuT5s9h1J7Jj00Mi0K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/creamoftomatosoup.jpg,
Sweet Corn Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,https://drive.google.com/file/d/1_1FoZQ6LO1CAso_34uhApiZBAirl2JuB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sweet-Corn-Soup.jpg,
Hot & Sour Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,https://drive.google.com/file/d/1teNyAur_VckwNp4ujk5k5x5svxiTBSGq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotSourSoup.jpg,
Veg Manchow Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg,
Veg Clear Soup,ProductType,8,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg,
Lemon Coriander Soup,ProductType,9,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,https://drive.google.com/file/d/1KHrpqE-RlZ6MBo-hCx_BdLBH0GRVxmyt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LemonCorianderSoup.jpg,
Minestrone Soup,ProductType,10,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,https://drive.google.com/file/d/1U4oqwCDKxuSIYmKkTiLoh1EAC6Q184zK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MinestroneSoup.jpg,
Lung Fung Soup,ProductType,11,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,https://drive.google.com/file/d/1Xx7J2_4ft-F-KYH5zc6l06o-JElEJQF3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/LungFungSoup.jpg,
Cream Of Spnich Soup,ProductType,12,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,,,
Spring Onion Soup,ProductType,13,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,,https://drive.google.com/file/d/1TFfsebEZsIDNCsctBT-TwF-CQeqKLQIU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/SpringOnionSoup.jpg,
Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Chinese.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chinese,",,,,,
Veg Manchurian Dry,ProductType,4,"Inventory,Food,Restaurant,Chinese,Vegeterian,",160,,https://drive.google.com/file/d/1WUVLy-4rg52XSvwqhUfVZYomOF7VhOB2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/veg-manchurian-dry.jpg,
Veg Manchurian Soule,ProductType,5,"Inventory,Food,Restaurant,Chinese,Vegeterian,",170,,,,
Gobi Manchurian Dry,ProductType,6,"Inventory,Food,Restaurant,Chinese,Vegeterian,",170,,https://drive.google.com/file/d/1F4ktcKuuD5MmUHJ4sSrUbt_X6owksT9H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobimanchurianDry.jpg.jpg,
Paneer Manchurian,ProductType,7,"Inventory,Food,Restaurant,Chinese,Vegeterian,",190,,https://drive.google.com/file/d/1EqHE3hvCkPqEYjP6uu4p5S3htSY97pAP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerManchurian.jpg,
Veg Gold Finger,ProductType,8,"Inventory,Food,Restaurant,Chinese,Vegeterian,",180,,https://drive.google.com/file/d/1OtmQmBkm0aOKqmRoVKfTUrIHHUScmIqd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegGoldFinger.jpg,
Veg Gold Coin,ProductType,9,"Inventory,Food,Restaurant,Chinese,Vegeterian,",180,,https://drive.google.com/file/d/169Sq_FvgffIEL6BxlIZAN3-Iz_hl8fwa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegGoldCoin.jpg,
Veg Spring Roll,ProductType,10,"Inventory,Food,Restaurant,Chinese,Vegeterian,",190,,https://drive.google.com/file/d/1B6jABivt6vPzdMLxzUamh_sH58-CN1Nl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Spring-Roll.jpg,
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Starters,",,,,,
Roasted Papad,ProductType,4,"Inventory,Food,Restaurant,Starters,Vegeterian,",40,,https://drive.google.com/file/d/1of1vgMY8AXJeDPdUGKu4-2fJb9nwbbQ4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/RoastedPapad.jpg,
Fry Papad,ProductType,5,"Inventory,Food,Restaurant,Starters,Vegeterian,",43,,https://drive.google.com/file/d/1CXp-AUOHGYhoMisfi_jKPGpu_ezSeqan/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FryPapad.jpg,
Masala Papad,ProductType,6,"Inventory,Food,Restaurant,Starters,Vegeterian,",45,,https://drive.google.com/file/d/1ypAnHqCtC52zDbEKyPOq7b5i9Uwj2c_r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MasalaPapad.jpg,
