label,nodeType,order,path,price,link,imageLink,description
Veg Soups,ProductClass,1,"Inventory,Food,Restaurant,",,https://drive.google.com/file/d/12bf4DzJCrUBgVqvk6kCaQp_Y3jXidoRn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2022022/VegSoups.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soups,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soups,",,,,
Manchow Soup,ProductType,3,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",60,https://drive.google.com/file/d/1BijFXiqsbR-131VPPi7c_m-RTkvarToW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ManchowSoup.jpg,
Hot and Sour Soup,ProductType,4,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",60,https://drive.google.com/file/d/1lKGpyKmEvcYbRns_2VEx1uBV01301bpF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotSourSoup.jpg,
Tomato Soup,ProductType,5,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",80,https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg,
Roasted,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChillyCheeseroast.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roasted,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roasted,",,,,
Roast Papad,ProductType,3,"Inventory,Food,Restaurant,Roasted,Vegeterian,",10,https://drive.google.com/file/d/1DRmj-yoGkysLNLLM1wJOzO9piiVI65EZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/RoastPapad.jpg,
Roast Papad Masala,ProductType,4,"Inventory,Food,Restaurant,Roasted,Vegeterian,",15,https://drive.google.com/file/d/1N_Gib5-CNYgYdLBFHminlae2h2QdfzWs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roast-Papad-Masala.jpg,
Fry Papad,ProductType,5,"Inventory,Food,Restaurant,Roasted,Vegeterian,",20,https://drive.google.com/file/d/1CXp-AUOHGYhoMisfi_jKPGpu_ezSeqan/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FryPapad.jpg,
Masala Papad,ProductType,6,"Inventory,Food,Restaurant,Roasted,Vegeterian,",25,https://drive.google.com/file/d/1ypAnHqCtC52zDbEKyPOq7b5i9Uwj2c_r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MasalaPapad.jpg,
Veg Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,https://drive.google.com/file/d/1D-Nog4z8En2b458mwiL_0-7ohryNjyVy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220306/VegSnacks.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Snacks,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Snacks,",,,,
Chana Fry,ProductType,3,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",65,https://drive.google.com/file/d/1RFS1DNPZQpWE-68Jhzmt8L7N6myxbdTT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChanaFry.jpg,
Matki Fry,ProductType,4,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",60,https://drive.google.com/file/d/1wRz1Wq71HsdPwf6VK_T6eNbhILB5XxLr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MatkiFry.jpg,
Kaju Fry,ProductType,5,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",150,https://drive.google.com/file/d/14pS6LbfIkpDZLor8faaidQRf0SZpFMf3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuFry.JPG,
Paneer Fry,ProductType,6,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",75,https://drive.google.com/file/d/1ifefrKkC4BGSNckcNYwL3ANaUWEmDlk7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerFry.jpg,
Chana Roast,ProductType,7,"Inventory,Food,Restaurant,Veg Snacks,Vegeterian,",70,https://drive.google.com/file/d/1VwIaIOqpwZcXMFxcjxhg4ORhmIWHfk3Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChanaRoast.jpg,
