label,nodeType,order,path,price,link,imageLink,Swiggy,description
Fruit Frappe,ProductClass,2,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/FruitFrappe.jpg,,
Vegeterian,ProductLine,1,"Inventory,Food,Restaurant,Fruit Frappe,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,1,"Inventory,Food,Restaurant,Fruit Frappe,",,,,,
Mango,ProductType,3,"Inventory,Food,Restaurant,Fruit Frappe,Vegeterian,",89,https://drive.google.com/file/d/19rFCjjqufhkfBycgRfC4BBdfT-ihyzi4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mango.jpg,,
Strawberry,ProductType,4,"Inventory,Food,Restaurant,Fruit Frappe,Vegeterian,",89, ,,,
Litchi,ProductType,5,"Inventory,Food,Restaurant,Fruit Frappe,Vegeterian,",89,https://drive.google.com/file/d/1rYDBRLKPLKq9PBc_-Uow1_z-R-tg-EbC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Litchi.jpg,,
Orange,ProductType,6,"Inventory,Food,Restaurant,Fruit Frappe,Vegeterian,",89,https://drive.google.com/file/d/1orKY7Dlg7mo4F-GQEUiYgz4jnoSfmTG1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Orange.jpg,,
Pineapple,ProductType,7,"Inventory,Food,Restaurant,Fruit Frappe,Vegeterian,",89, ,,,
Black Current,ProductType,8,"Inventory,Food,Restaurant,Fruit Frappe,Vegeterian,",89,https://drive.google.com/file/d/1wcMoHOq9vo6wPomKC12rxnAf_4SrxZZm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BlackCurrent.jpg,,
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,,
Vegeterian,ProductLine,1,"Inventory,Food,Restaurant,Beverages,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,,
Assam Tea,ProductType,3,"Inventory,Food,Restaurant,Beverages,Vegeterian,",29,https://drive.google.com/file/d/1FLvjCIzo2diA0zqiTgqLf3oS3mkd45Xd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AssamTea.jpg,,
Masala Tea,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",29,https://drive.google.com/file/d/1Znxy3oUuesqcywgh8G5luO2wTwBdzTWx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaTea.jpg,,
Green Tea,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",29,https://drive.google.com/file/d/1-XQY8bVCJJL4wyTlmkEjON8OWZWfuenB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenTea.jpg,,
Lemon Hot Tea,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",29,https://drive.google.com/file/d/11M3YE3gMq8gzj1IlQn32hM9mucTRByiO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LemonHotTea.jpg,,
Cappuccino,ProductType,2,"Inventory,Food,Restaurant,Beverages,Vegeterian,",49,https://drive.google.com/file/d/1i6vzef5SsIbTe9pv5_HQssODTUyGe7r1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Cappuccino.jpg,,
