label,nodeType,order,path,price,description,ingredients,link,imageLink
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Dal Fry,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,"½ cup toor dal,1.5 cups water ,1 pinch turmeric powder,2 to 3 tablespoons oil (,½ to ¾ teaspoon mustard seeds,1 teaspoon cumin seeds,⅓ cup finely chopped onions,2 green chilies ,2 to 3 dry red chilies,10 to 12 curry leaves,1 to 2 pinches asafoetida powder ,¼ to ½ teaspoon Garam Masala,etc.",https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg
Baigan Masala,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,"4 nos baingan,2 tsp cumin seeds,2 tsp coriander seeds,2 tsp sesame seeds,1/4 cup dessicated coconut,2 tbsp oil,1 nos onion, chopped,7-8 nos curry leaves,1/2 tsp ginger garlic paste,1/2 tsp salt,1/2 tsp turmeric powder,1/2 tsp red chilli powder,1 tsp tamarind paste,2 tsp coriander leaves,1 cup water,",https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg
Aloo Masala,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,"500 g Potatoes,50 ml Olive Oil,2 Onions,3 Tomatoes,1 tsp Chilli Powder,1 tsp Salt,1 tsp Turmeric Powder,1 tsp Garam Masala,1 tsp Cumin Seeds Jeera,2 Green Chillies,100 ml Water,Coriander.",https://drive.google.com/file/d/1OayDolO7_G7HBt7yyQDu_xyf9NVeXVQd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMasala.jpg
Shevga Masala,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,"2 Medium-sized drumsticks cut into 5cm pieces,1 medium Onion chopped,10-15 Curry Leaves,2 tbsp Ghee,2 Green chilies chopped,1 tbsp Chopped ginger-garlic,1 medium Tomato chopped,1 tsp Jeera,1 tsp Mustard Seeds,1 tsp Haldi,A pinch of Kasuri methi,Salt according to taste.",https://drive.google.com/file/d/1PLNegM8wBDLPbjDiiekLmoOYgxcpkeAj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevga-Masala.jpg
Shev Bhaji,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",70,,"1 cup spicy sev,¾ cup onion,¾ cup dry grated coconut,9-10 garlic cloves ,2 teaspoon grated ginger ,1 teaspoon jeera,1 tablespoon oil preferably peanut oil,2 teaspoon dhana powder ,1 teaspoon turmeric powder ,2 -3 teaspoon red  bedgi mirchi,1 teaspoon garam masala,1 teaspoon finely chopped coriander,salt as required,4 cups of water.",https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg
Gobi Masala,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,"2 cups cauliflower ,",https://drive.google.com/file/d/1COWKM46hafRmzQy4uTTfPIXcAvZaZF7a/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiMasala.jpg
Tomato Chutney,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,"1 Tbsp Oil,1 tsp Mustard Seeds,10 Curry Leaves,1 Garlic Cloves,1 tsp Ginger,5 Tomatoes,5 tsp Red Chilli Powder,1/2 tsp Black Pepper,1/2 tsp Salt,1 tsp Sugar,1 tsp Vinegar.",https://drive.google.com/file/d/12EgS7ysa0DovVts2meTT_dNJ034g0f3V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Chutney.jpg
Soyabean,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",70,,,,
Paneer Masala,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,"200 grams paneer (cut into 1-inch pieces)½ teaspoon salt,½ teaspoon Kashmiri red chili powder,½ teaspoon turmeric powder,2 tablespoons vegetable oil,2 tablespoons vegetable oil,▢2 tablespoons ghee,2 green cardamoms ,2-3 cloves,5-6 black peppercorns,1 inch piece of cinnamon stick,3-4 whole dry red chilies,1 teaspoon cumin seeds,¼ teaspoon asafetida (hing),1 cup finely chopped onions,2 teaspoons ginger garlic paste,2 teaspoons coriander powder,½ teaspoon turmeric powder,½ teaspoon cumin powder,½ teaspoon cumin powder,2-3 green chilies ,",https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg
Kaju Curry,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,,"1 cup cashews – 120 grams,1 tablespoon Butter,1.5 cups chopped tomatoes,1 tej patta ,½ cup water,18 to 20 cashews,1 teaspoon Ginger Garlic Paste,1 or 2 green chilies,½ teaspoon kashmiri red chili powder,½ teaspoon Garam Masala,⅔ to ¾ cup water,2 tablespoons Butter,¼ to ½ teaspoon sugar,1 teaspoon kasuri methi,1 to 2 tablespoon chopped coriander leaves,salt as required.",https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg
